scenario,region,param,class,class2,x,value
BAU,All of Thailand,buildingFloorspace,comm,NA,2015,0.343573
BAU,All of Thailand,buildingFloorspace,comm,NA,2020,0.37470000000000003
BAU,All of Thailand,buildingFloorspace,comm,NA,2025,0.4072
BAU,All of Thailand,buildingFloorspace,comm,NA,2030,0.43679999999999997
BAU,All of Thailand,buildingFloorspace,comm,NA,2035,0.4648
BAU,All of Thailand,buildingFloorspace,comm,NA,2040,0.49269999999999997
BAU,All of Thailand,buildingFloorspace,comm,NA,2045,0.5202
BAU,All of Thailand,buildingFloorspace,comm,NA,2050,0.5464
BAU,All of Thailand,buildingFloorspace,resid rural,NA,2015,0.7072409000000001
BAU,All of Thailand,buildingFloorspace,resid rural,NA,2020,0.7979
BAU,All of Thailand,buildingFloorspace,resid rural,NA,2025,0.8922
BAU,All of Thailand,buildingFloorspace,resid rural,NA,2030,0.9732000000000001
BAU,All of Thailand,buildingFloorspace,resid rural,NA,2035,1.0472
BAU,All of Thailand,buildingFloorspace,resid rural,NA,2040,1.1186
BAU,All of Thailand,buildingFloorspace,resid rural,NA,2045,1.1861
BAU,All of Thailand,buildingFloorspace,resid rural,NA,2050,1.2474999999999998
BAU,All of Thailand,buildingFloorspace,resid urban,NA,2015,0.43746535
BAU,All of Thailand,buildingFloorspace,resid urban,NA,2020,0.4936
BAU,All of Thailand,buildingFloorspace,resid urban,NA,2025,0.5518
BAU,All of Thailand,buildingFloorspace,resid urban,NA,2030,0.602
BAU,All of Thailand,buildingFloorspace,resid urban,NA,2035,0.6478
BAU,All of Thailand,buildingFloorspace,resid urban,NA,2040,0.6920999999999999
BAU,All of Thailand,buildingFloorspace,resid urban,NA,2045,0.7337
BAU,All of Thailand,buildingFloorspace,resid urban,NA,2050,0.7716
BAU,All of Thailand,elecByDetailedTechTWh,biomass,NA,2015,6.8019841666667205
BAU,All of Thailand,elecByDetailedTechTWh,biomass,NA,2020,3.1239149166666915
BAU,All of Thailand,elecByDetailedTechTWh,biomass,NA,2025,5.326373055555598
BAU,All of Thailand,elecByDetailedTechTWh,biomass,NA,2030,8.845183777777848
BAU,All of Thailand,elecByDetailedTechTWh,biomass,NA,2035,14.075451444444557
BAU,All of Thailand,elecByDetailedTechTWh,biomass,NA,2040,19.707110138889046
BAU,All of Thailand,elecByDetailedTechTWh,biomass,NA,2045,23.457046555555742
BAU,All of Thailand,elecByDetailedTechTWh,biomass,NA,2050,26.906255333333547
BAU,All of Thailand,elecByDetailedTechTWh,coal,NA,2015,34.576933333333606
BAU,All of Thailand,elecByDetailedTechTWh,coal,NA,2020,37.56216694444475
BAU,All of Thailand,elecByDetailedTechTWh,coal,NA,2025,40.935481055555876
BAU,All of Thailand,elecByDetailedTechTWh,coal,NA,2030,45.71383066666703
BAU,All of Thailand,elecByDetailedTechTWh,coal,NA,2035,52.243232166667084
BAU,All of Thailand,elecByDetailedTechTWh,coal,NA,2040,59.84443991666715
BAU,All of Thailand,elecByDetailedTechTWh,coal,NA,2045,65.73873316666719
BAU,All of Thailand,elecByDetailedTechTWh,coal,NA,2050,70.62650416666723
BAU,All of Thailand,elecByDetailedTechTWh,gas,NA,2015,127.6102277777788
BAU,All of Thailand,elecByDetailedTechTWh,gas,NA,2020,122.62553277777876
BAU,All of Thailand,elecByDetailedTechTWh,gas,NA,2025,128.43358638888992
BAU,All of Thailand,elecByDetailedTechTWh,gas,NA,2030,141.22096861111223
BAU,All of Thailand,elecByDetailedTechTWh,gas,NA,2035,157.12120388889014
BAU,All of Thailand,elecByDetailedTechTWh,gas,NA,2040,173.58815444444582
BAU,All of Thailand,elecByDetailedTechTWh,gas,NA,2045,188.80778583333483
BAU,All of Thailand,elecByDetailedTechTWh,gas,NA,2050,199.5991397222238
BAU,All of Thailand,elecByDetailedTechTWh,geothermal,NA,2015,9.998555555555636e-4
BAU,All of Thailand,elecByDetailedTechTWh,geothermal,NA,2020,0.0011751709722222317
BAU,All of Thailand,elecByDetailedTechTWh,geothermal,NA,2025,0.0013541351111111218
BAU,All of Thailand,elecByDetailedTechTWh,geothermal,NA,2030,0.0016288386944444575
BAU,All of Thailand,elecByDetailedTechTWh,geothermal,NA,2035,0.0020225398055555717
BAU,All of Thailand,elecByDetailedTechTWh,geothermal,NA,2040,0.00250689175000002
BAU,All of Thailand,elecByDetailedTechTWh,geothermal,NA,2045,0.0019482725833333487
BAU,All of Thailand,elecByDetailedTechTWh,geothermal,NA,2050,0.002175489138888906
BAU,All of Thailand,elecByDetailedTechTWh,hydro,NA,2015,4.743000000000038
BAU,All of Thailand,elecByDetailedTechTWh,hydro,NA,2020,34.44444444444472
BAU,All of Thailand,elecByDetailedTechTWh,hydro,NA,2025,36.66666666666696
BAU,All of Thailand,elecByDetailedTechTWh,hydro,NA,2030,42.222222222222555
BAU,All of Thailand,elecByDetailedTechTWh,hydro,NA,2035,47.2222222222226
BAU,All of Thailand,elecByDetailedTechTWh,hydro,NA,2040,47.2222222222226
BAU,All of Thailand,elecByDetailedTechTWh,hydro,NA,2045,47.2222222222226
BAU,All of Thailand,elecByDetailedTechTWh,hydro,NA,2050,47.2222222222226
BAU,All of Thailand,elecByDetailedTechTWh,refined liquids,NA,2015,1.0138516666666748
BAU,All of Thailand,elecByDetailedTechTWh,refined liquids,NA,2020,0.48003895555555937
BAU,All of Thailand,elecByDetailedTechTWh,refined liquids,NA,2025,0.488718876111115
BAU,All of Thailand,elecByDetailedTechTWh,refined liquids,NA,2030,0.5582347188888933
BAU,All of Thailand,elecByDetailedTechTWh,refined liquids,NA,2035,0.7959722122222286
BAU,All of Thailand,elecByDetailedTechTWh,refined liquids,NA,2040,1.0568960402777863
BAU,All of Thailand,elecByDetailedTechTWh,refined liquids,NA,2045,1.1495328380555647
BAU,All of Thailand,elecByDetailedTechTWh,refined liquids,NA,2050,1.3273518377777884
BAU,All of Thailand,elecByDetailedTechTWh,solar,NA,2015,2.3776527777777967
BAU,All of Thailand,elecByDetailedTechTWh,solar,NA,2020,4.022734666013921
BAU,All of Thailand,elecByDetailedTechTWh,solar,NA,2025,9.7838546568223
BAU,All of Thailand,elecByDetailedTechTWh,solar,NA,2030,21.740229629739062
BAU,All of Thailand,elecByDetailedTechTWh,solar,NA,2035,37.32051752779474
BAU,All of Thailand,elecByDetailedTechTWh,solar,NA,2040,53.07770923446154
BAU,All of Thailand,elecByDetailedTechTWh,solar,NA,2045,65.12144282446162
BAU,All of Thailand,elecByDetailedTechTWh,solar,NA,2050,76.88576504733673
BAU,All of Thailand,elecByDetailedTechTWh,wind,NA,2015,0.3289527777777804
BAU,All of Thailand,elecByDetailedTechTWh,wind,NA,2020,0.8981031750000072
BAU,All of Thailand,elecByDetailedTechTWh,wind,NA,2025,2.128353911111128
BAU,All of Thailand,elecByDetailedTechTWh,wind,NA,2030,5.105780300000041
BAU,All of Thailand,elecByDetailedTechTWh,wind,NA,2035,10.986081716666753
BAU,All of Thailand,elecByDetailedTechTWh,wind,NA,2040,19.951996161111268
BAU,All of Thailand,elecByDetailedTechTWh,wind,NA,2045,29.142855841666893
BAU,All of Thailand,elecByDetailedTechTWh,wind,NA,2050,38.12919345833363
BAU,All of Thailand,elecByTechTWh,biomass,NA,2015,6.8019841666667205
BAU,All of Thailand,elecByTechTWh,biomass,NA,2020,3.1239149166666915
BAU,All of Thailand,elecByTechTWh,biomass,NA,2025,5.326373055555598
BAU,All of Thailand,elecByTechTWh,biomass,NA,2030,8.845183777777848
BAU,All of Thailand,elecByTechTWh,biomass,NA,2035,14.075451444444557
BAU,All of Thailand,elecByTechTWh,biomass,NA,2040,19.707110138889046
BAU,All of Thailand,elecByTechTWh,biomass,NA,2045,23.457046555555742
BAU,All of Thailand,elecByTechTWh,biomass,NA,2050,26.906255333333547
BAU,All of Thailand,elecByTechTWh,coal,NA,2015,34.576933333333606
BAU,All of Thailand,elecByTechTWh,coal,NA,2020,37.56216694444475
BAU,All of Thailand,elecByTechTWh,coal,NA,2025,40.935481055555876
BAU,All of Thailand,elecByTechTWh,coal,NA,2030,45.71383066666703
BAU,All of Thailand,elecByTechTWh,coal,NA,2035,52.243232166667084
BAU,All of Thailand,elecByTechTWh,coal,NA,2040,59.84443991666715
BAU,All of Thailand,elecByTechTWh,coal,NA,2045,65.73873316666719
BAU,All of Thailand,elecByTechTWh,coal,NA,2050,70.62650416666723
BAU,All of Thailand,elecByTechTWh,gas,NA,2015,127.6102277777788
BAU,All of Thailand,elecByTechTWh,gas,NA,2020,122.62553277777876
BAU,All of Thailand,elecByTechTWh,gas,NA,2025,128.43358638888992
BAU,All of Thailand,elecByTechTWh,gas,NA,2030,141.22096861111223
BAU,All of Thailand,elecByTechTWh,gas,NA,2035,157.12120388889014
BAU,All of Thailand,elecByTechTWh,gas,NA,2040,173.58815444444582
BAU,All of Thailand,elecByTechTWh,gas,NA,2045,188.80778583333483
BAU,All of Thailand,elecByTechTWh,gas,NA,2050,199.5991397222238
BAU,All of Thailand,elecByTechTWh,geothermal,NA,2015,9.998555555555636e-4
BAU,All of Thailand,elecByTechTWh,geothermal,NA,2020,0.0011751709722222317
BAU,All of Thailand,elecByTechTWh,geothermal,NA,2025,0.0013541351111111218
BAU,All of Thailand,elecByTechTWh,geothermal,NA,2030,0.0016288386944444575
BAU,All of Thailand,elecByTechTWh,geothermal,NA,2035,0.0020225398055555717
BAU,All of Thailand,elecByTechTWh,geothermal,NA,2040,0.00250689175000002
BAU,All of Thailand,elecByTechTWh,geothermal,NA,2045,0.0019482725833333487
BAU,All of Thailand,elecByTechTWh,geothermal,NA,2050,0.002175489138888906
BAU,All of Thailand,elecByTechTWh,hydro,NA,2015,4.743000000000038
BAU,All of Thailand,elecByTechTWh,hydro,NA,2020,34.44444444444472
BAU,All of Thailand,elecByTechTWh,hydro,NA,2025,36.66666666666696
BAU,All of Thailand,elecByTechTWh,hydro,NA,2030,42.222222222222555
BAU,All of Thailand,elecByTechTWh,hydro,NA,2035,47.2222222222226
BAU,All of Thailand,elecByTechTWh,hydro,NA,2040,47.2222222222226
BAU,All of Thailand,elecByTechTWh,hydro,NA,2045,47.2222222222226
BAU,All of Thailand,elecByTechTWh,hydro,NA,2050,47.2222222222226
BAU,All of Thailand,elecByTechTWh,refined liquids,NA,2015,1.0138516666666748
BAU,All of Thailand,elecByTechTWh,refined liquids,NA,2020,0.48003895555555937
BAU,All of Thailand,elecByTechTWh,refined liquids,NA,2025,0.488718876111115
BAU,All of Thailand,elecByTechTWh,refined liquids,NA,2030,0.5582347188888933
BAU,All of Thailand,elecByTechTWh,refined liquids,NA,2035,0.7959722122222286
BAU,All of Thailand,elecByTechTWh,refined liquids,NA,2040,1.0568960402777863
BAU,All of Thailand,elecByTechTWh,refined liquids,NA,2045,1.1495328380555647
BAU,All of Thailand,elecByTechTWh,refined liquids,NA,2050,1.3273518377777884
BAU,All of Thailand,elecByTechTWh,solar,NA,2015,2.3776527777777967
BAU,All of Thailand,elecByTechTWh,solar,NA,2020,4.022734666013921
BAU,All of Thailand,elecByTechTWh,solar,NA,2025,9.7838546568223
BAU,All of Thailand,elecByTechTWh,solar,NA,2030,21.740229629739062
BAU,All of Thailand,elecByTechTWh,solar,NA,2035,37.32051752779474
BAU,All of Thailand,elecByTechTWh,solar,NA,2040,53.07770923446154
BAU,All of Thailand,elecByTechTWh,solar,NA,2045,65.12144282446162
BAU,All of Thailand,elecByTechTWh,solar,NA,2050,76.88576504733673
BAU,All of Thailand,elecByTechTWh,wind,NA,2015,0.3289527777777804
BAU,All of Thailand,elecByTechTWh,wind,NA,2020,0.8981031750000072
BAU,All of Thailand,elecByTechTWh,wind,NA,2025,2.128353911111128
BAU,All of Thailand,elecByTechTWh,wind,NA,2030,5.105780300000041
BAU,All of Thailand,elecByTechTWh,wind,NA,2035,10.986081716666753
BAU,All of Thailand,elecByTechTWh,wind,NA,2040,19.951996161111268
BAU,All of Thailand,elecByTechTWh,wind,NA,2045,29.142855841666893
BAU,All of Thailand,elecByTechTWh,wind,NA,2050,38.12919345833363
BAU,All of Thailand,elecConsumByDemandSectorTWh,building,NA,2015,82.8066977944451
BAU,All of Thailand,elecConsumByDemandSectorTWh,building,NA,2020,93.29664369722296
BAU,All of Thailand,elecConsumByDemandSectorTWh,building,NA,2025,102.15113959722304
BAU,All of Thailand,elecConsumByDemandSectorTWh,building,NA,2030,110.716783186112
BAU,All of Thailand,elecConsumByDemandSectorTWh,building,NA,2035,116.81026753000093
BAU,All of Thailand,elecConsumByDemandSectorTWh,building,NA,2040,121.81783289916763
BAU,All of Thailand,elecConsumByDemandSectorTWh,building,NA,2045,126.67632627027878
BAU,All of Thailand,elecConsumByDemandSectorTWh,building,NA,2050,130.5197918452788
BAU,All of Thailand,elecConsumByDemandSectorTWh,industry,NA,2015,79.37054166666731
BAU,All of Thailand,elecConsumByDemandSectorTWh,industry,NA,2020,92.60725358111183
BAU,All of Thailand,elecConsumByDemandSectorTWh,industry,NA,2025,101.1390106591258
BAU,All of Thailand,elecConsumByDemandSectorTWh,industry,NA,2030,123.38783780382876
BAU,All of Thailand,elecConsumByDemandSectorTWh,industry,NA,2035,154.30324872330957
BAU,All of Thailand,elecConsumByDemandSectorTWh,industry,NA,2040,184.1562800367709
BAU,All of Thailand,elecConsumByDemandSectorTWh,industry,NA,2045,206.54355368965443
BAU,All of Thailand,elecConsumByDemandSectorTWh,industry,NA,2050,224.0591888988407
BAU,All of Thailand,elecConsumByDemandSectorTWh,transportation,NA,2015,0.16244303611111238
BAU,All of Thailand,elecConsumByDemandSectorTWh,transportation,NA,2020,0.2211280555555573
BAU,All of Thailand,elecConsumByDemandSectorTWh,transportation,NA,2025,2.2098629913902954
BAU,All of Thailand,elecConsumByDemandSectorTWh,transportation,NA,2030,9.706577062744522
BAU,All of Thailand,elecConsumByDemandSectorTWh,transportation,NA,2035,22.929241484776018
BAU,All of Thailand,elecConsumByDemandSectorTWh,transportation,NA,2040,38.370883964937526
BAU,All of Thailand,elecConsumByDemandSectorTWh,transportation,NA,2045,53.322411563574875
BAU,All of Thailand,elecConsumByDemandSectorTWh,transportation,NA,2050,68.3006040875561
BAU,All of Thailand,elecPricesBySector,elect_td_bld,NA,2015,37.94529393833105
BAU,All of Thailand,elecPricesBySector,elect_td_bld,NA,2020,37.88180859666465
BAU,All of Thailand,elecPricesBySector,elect_td_bld,NA,2025,37.578762545837186
BAU,All of Thailand,elecPricesBySector,elect_td_bld,NA,2030,36.10948024616562
BAU,All of Thailand,elecPricesBySector,elect_td_bld,NA,2035,35.90639730238194
BAU,All of Thailand,elecPricesBySector,elect_td_bld,NA,2040,36.16349539874366
BAU,All of Thailand,elecPricesBySector,elect_td_bld,NA,2045,35.748210069831956
BAU,All of Thailand,elecPricesBySector,elect_td_bld,NA,2050,35.83800149229935
BAU,All of Thailand,elecPricesBySector,elect_td_ind,NA,2015,30.825219959184974
BAU,All of Thailand,elecPricesBySector,elect_td_ind,NA,2020,30.835146120340546
BAU,All of Thailand,elecPricesBySector,elect_td_ind,NA,2025,30.532766490226713
BAU,All of Thailand,elecPricesBySector,elect_td_ind,NA,2030,29.132160598832947
BAU,All of Thailand,elecPricesBySector,elect_td_ind,NA,2035,28.997192866936643
BAU,All of Thailand,elecPricesBySector,elect_td_ind,NA,2040,29.293013514237426
BAU,All of Thailand,elecPricesBySector,elect_td_ind,NA,2045,28.93188363700137
BAU,All of Thailand,elecPricesBySector,elect_td_ind,NA,2050,29.076532006632444
BAU,All of Thailand,elecPricesBySector,elect_td_trn,NA,2015,37.94529393833105
BAU,All of Thailand,elecPricesBySector,elect_td_trn,NA,2020,37.815166525302125
BAU,All of Thailand,elecPricesBySector,elect_td_trn,NA,2025,37.37217212461337
BAU,All of Thailand,elecPricesBySector,elect_td_trn,NA,2030,35.8313372851631
BAU,All of Thailand,elecPricesBySector,elect_td_trn,NA,2035,35.5563510538567
BAU,All of Thailand,elecPricesBySector,elect_td_trn,NA,2040,35.71173230445457
BAU,All of Thailand,elecPricesBySector,elect_td_trn,NA,2045,35.21016303051561
BAU,All of Thailand,elecPricesBySector,elect_td_trn,NA,2050,35.21472275118778
BAU,All of Thailand,elecPricesBySector,electricity,NA,2015,26.041617002008863
BAU,All of Thailand,elecPricesBySector,electricity,NA,2020,26.127304675871304
BAU,All of Thailand,elecPricesBySector,electricity,NA,2025,25.926396368100505
BAU,All of Thailand,elecPricesBySector,electricity,NA,2030,24.717018146742767
BAU,All of Thailand,elecPricesBySector,electricity,NA,2035,24.66784331303211
BAU,All of Thailand,elecPricesBySector,electricity,NA,2040,25.01525895347725
BAU,All of Thailand,elecPricesBySector,electricity,NA,2045,24.75798548324352
BAU,All of Thailand,elecPricesBySector,electricity,NA,2050,24.966785615254615
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,agricultural energy use,NA,2015,11.455413223687986
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,agricultural energy use,NA,2020,11.377227965987752
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,agricultural energy use,NA,2025,11.124927718741183
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,agricultural energy use,NA,2030,10.32520148483515
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,agricultural energy use,NA,2035,9.25390300900815
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,agricultural energy use,NA,2040,8.088525617195463
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,agricultural energy use,NA,2045,6.690807460409815
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,agricultural energy use,NA,2050,5.469458649422422
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,backup_electricity,NA,2020,0.01826962767355853
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,backup_electricity,NA,2025,0.04088136182321606
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,backup_electricity,NA,2030,0.12679420909415104
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,backup_electricity,NA,2035,0.33403058007524833
BAU,All of Thailand,emissCO2ByDetailedSectorNoBio,backup_electricity,NA,2040,0.6381666497502084
