,year,region,value,units
1,1970,Thailand,224541.7503,THB (current)
2,1970,Bangkok,64480.82055,THB (current)
3,1970,Samut Prakan,13758.3823,THB (current)
4,1970,Nonthaburi,3685.797757,THB (current)
5,1970,Rest of Thailand,142616.7497,THB (current)
6,1971,Thailand,233681.8502,THB (current)
7,1971,Bangkok,67105.5491,THB (current)
8,1971,Samut Prakan,14318.42509,THB (current)
9,1971,Nonthaburi,3835.830255,THB (current)
10,1971,Rest of Thailand,148422.0457,THB (current)
11,1972,Thailand,259121.788,THB (current)
12,1972,Bangkok,74411.04157,THB (current)
13,1972,Samut Prakan,15877.21044,THB (current)
14,1972,Nonthaburi,4253.420595,THB (current)
15,1972,Rest of Thailand,164580.1154,THB (current)
16,1973,Thailand,343427.9511,THB (current)
17,1973,Bangkok,98620.92932,THB (current)
18,1973,Samut Prakan,21042.91535,THB (current)
19,1973,Nonthaburi,5637.285583,THB (current)
20,1973,Rest of Thailand,218126.8208,THB (current)
21,1974,Thailand,434188.8145,THB (current)
22,1974,Bangkok,124684.3894,THB (current)
23,1974,Samut Prakan,26604.12013,THB (current)
24,1974,Nonthaburi,7127.102895,THB (current)
25,1974,Rest of Thailand,275773.202,THB (current)
26,1975,Thailand,471569.9074,THB (current)
27,1975,Bangkok,135418.979,THB (current)
28,1975,Samut Prakan,28894.57777,THB (current)
29,1975,Nonthaburi,7740.704367,THB (current)
30,1975,Rest of Thailand,299515.6462,THB (current)
31,1976,Thailand,538187.8717,THB (current)
32,1976,Bangkok,154549.4124,THB (current)
33,1976,Samut Prakan,32976.47087,THB (current)
34,1976,Nonthaburi,8834.221911,THB (current)
35,1976,Rest of Thailand,341827.7664,THB (current)
36,1977,Thailand,626720.9423,THB (current)
37,1977,Bangkok,179973.1255,THB (current)
38,1977,Samut Prakan,38401.17176,THB (current)
39,1977,Nonthaburi,10287.47055,THB (current)
40,1977,Rest of Thailand,398059.1744,THB (current)
41,1978,Thailand,760664.3685,THB (current)
42,1978,Bangkok,218437.1618,THB (current)
43,1978,Samut Prakan,46608.30857,THB (current)
44,1978,Nonthaburi,12486.11904,THB (current)
45,1978,Rest of Thailand,483132.7791,THB (current)
46,1979,Thailand,867290.7476,THB (current)
47,1979,Bangkok,249056.6631,THB (current)
48,1979,Samut Prakan,53141.64362,THB (current)
49,1979,Nonthaburi,14236.3649,THB (current)
50,1979,Rest of Thailand,550856.076,THB (current)
51,1980,Thailand,1025140.592,THB (current)
52,1980,Bangkok,294385.8167,THB (current)
53,1980,Samut Prakan,62813.60217,THB (current)
54,1980,Nonthaburi,16827.43138,THB (current)
55,1980,Rest of Thailand,651113.7416,THB (current)
56,1981,Thailand,1104122.431,THB (current)
57,1981,Bangkok,317066.7382,THB (current)
58,1981,Samut Prakan,67653.06895,THB (current)
59,1981,Nonthaburi,18123.8989,THB (current)
60,1981,Rest of Thailand,701278.7252,THB (current)
61,1982,Thailand,1159372.425,THB (current)
62,1982,Bangkok,332932.6737,THB (current)
63,1982,Samut Prakan,71038.41058,THB (current)
64,1982,Nonthaburi,19030.81399,THB (current)
65,1982,Rest of Thailand,736370.5266,THB (current)
66,1983,Thailand,1268783.958,THB (current)
67,1983,Bangkok,364351.9775,THB (current)
68,1983,Samut Prakan,77742.40084,THB (current)
69,1983,Nonthaburi,20826.77748,THB (current)
70,1983,Rest of Thailand,805862.8026,THB (current)
71,1984,Thailand,1324384.925,THB (current)
72,1984,Bangkok,380318.7007,THB (current)
73,1984,Samut Prakan,81149.24772,THB (current)
74,1984,Nonthaburi,21739.45372,THB (current)
75,1984,Rest of Thailand,841177.5234,THB (current)
76,1985,Thailand,1232594.687,THB (current)
77,1985,Bangkok,353959.6388,THB (current)
78,1985,Samut Prakan,75524.96987,THB (current)
79,1985,Nonthaburi,20232.73947,THB (current)
80,1985,Rest of Thailand,782877.3389,THB (current)
81,1986,Thailand,1365549.47,THB (current)
82,1986,Bangkok,392139.7699,THB (current)
83,1986,Samut Prakan,83671.52936,THB (current)
84,1986,Nonthaburi,22415.15961,THB (current)
85,1986,Rest of Thailand,867323.0107,THB (current)
86,1987,Thailand,1601249.461,THB (current)
87,1987,Bangkok,459824.8612,THB (current)
88,1987,Samut Prakan,98113.61235,THB (current)
89,1987,Nonthaburi,26284.11716,THB (current)
90,1987,Rest of Thailand,1017026.87,THB (current)
91,1988,Thailand,1953966.821,THB (current)
92,1988,Bangkok,561113.3956,THB (current)
93,1988,Samut Prakan,119725.7191,THB (current)
94,1988,Nonthaburi,32073.88612,THB (current)
95,1988,Rest of Thailand,1241053.82,THB (current)
96,1989,Thailand,2289317.784,THB (current)
97,1989,Bangkok,657414.8862,THB (current)
98,1989,Samut Prakan,140273.7319,THB (current)
99,1989,Nonthaburi,37578.58992,THB (current)
100,1989,Rest of Thailand,1454050.576,THB (current)
101,1990,Thailand,2704152.546,THB (current)
102,1990,Bangkok,776541.4441,THB (current)
103,1990,Samut Prakan,165691.9681,THB (current)
104,1990,Nonthaburi,44388.00078,THB (current)
105,1990,Rest of Thailand,1717531.133,THB (current)
106,1991,Thailand,3112632.593,THB (current)
107,1991,Bangkok,893843.1424,THB (current)
108,1991,Samut Prakan,190720.8309,THB (current)
109,1991,Nonthaburi,51093.10058,THB (current)
110,1991,Rest of Thailand,1976975.519,THB (current)
111,1992,Thailand,3531463.48,THB (current)
112,1992,Bangkok,1014117.253,THB (current)
113,1992,Samut Prakan,216383.9222,THB (current)
114,1992,Nonthaburi,57968.10686,THB (current)
115,1992,Rest of Thailand,2242994.198,THB (current)
116,1993,Thailand,4083934.901,THB (current)
117,1993,Bangkok,1172768.419,THB (current)
118,1993,Samut Prakan,250235.5913,THB (current)
119,1993,Nonthaburi,67036.78972,THB (current)
120,1993,Rest of Thailand,2593894.101,THB (current)
121,1994,Thailand,4647749.793,THB (current)
122,1994,Bangkok,1334677.048,THB (current)
123,1994,Samut Prakan,284782.3106,THB (current)
124,1994,Nonthaburi,76291.67288,THB (current)
125,1994,Rest of Thailand,2951998.761,THB (current)
126,1995,Thailand,5363719.294,THB (current)
127,1995,Bangkok,1540279.35,THB (current)
128,1995,Samut Prakan,328652.0235,THB (current)
129,1995,Nonthaburi,88044.13664,THB (current)
130,1995,Rest of Thailand,3406743.783,THB (current)
131,1996,Thailand,5799587.432,THB (current)
132,1996,Bangkok,1665445.985,THB (current)
133,1996,Samut Prakan,355359.0411,THB (current)
134,1996,Nonthaburi,95198.80522,THB (current)
135,1996,Rest of Thailand,3683583.601,THB (current)
136,1997,Thailand,4758586.282,THB (current)
137,1997,Bangkok,1366505.551,THB (current)
138,1997,Samut Prakan,291573.6124,THB (current)
139,1997,Nonthaburi,78111.02667,THB (current)
140,1997,Rest of Thailand,3022396.092,THB (current)
141,1998,Thailand,3601900.734,THB (current)
142,1998,Bangkok,1034344.458,THB (current)
143,1998,Samut Prakan,220699.8353,THB (current)
144,1998,Nonthaburi,59124.31711,THB (current)
145,1998,Rest of Thailand,2287732.124,THB (current)
146,1999,Thailand,4013592.703,THB (current)
147,1999,Bangkok,1152568.511,THB (current)
148,1999,Samut Prakan,245925.5026,THB (current)
149,1999,Nonthaburi,65882.1398,THB (current)
150,1999,Rest of Thailand,2549216.549,THB (current)
151,2000,Thailand,4004815.771,THB (current)
152,2000,Bangkok,1150048.072,THB (current)
153,2000,Samut Prakan,245387.7123,THB (current)
154,2000,Nonthaburi,65738.06862,THB (current)
155,2000,Rest of Thailand,2543641.918,THB (current)
156,2001,Thailand,3811659.9,THB (current)
157,2001,Bangkok,1094580.218,THB (current)
158,2001,Samut Prakan,233552.4419,THB (current)
159,2001,Nonthaburi,62567.46236,THB (current)
160,2001,Rest of Thailand,2420959.777,THB (current)
161,2002,Thailand,4255417.771,THB (current)
162,2002,Bangkok,1222012.518,THB (current)
163,2002,Samut Prakan,260742.8884,THB (current)
164,2002,Nonthaburi,69851.63898,THB (current)
165,2002,Rest of Thailand,2702810.726,THB (current)
166,2003,Thailand,4825126.198,THB (current)
167,2003,Bangkok,1385613.571,THB (current)
168,2003,Samut Prakan,295650.7233,THB (current)
169,2003,Nonthaburi,79203.26308,THB (current)
170,2003,Rest of Thailand,3064658.641,THB (current)
171,2004,Thailand,5478326.378,THB (current)
172,2004,Bangkok,1573190.641,THB (current)
173,2004,Samut Prakan,335674.3616,THB (current)
174,2004,Nonthaburi,89925.38382,THB (current)
175,2004,Rest of Thailand,3479535.992,THB (current)
176,2005,Thailand,5998700.21,THB (current)
177,2005,Bangkok,1722624.462,THB (current)
178,2005,Samut Prakan,367559.31,THB (current)
179,2005,Nonthaburi,98467.19264,THB (current)
180,2005,Rest of Thailand,3810049.246,THB (current)
181,2006,Thailand,7026551.806,THB (current)
182,2006,Bangkok,2017788.788,THB (current)
183,2006,Samut Prakan,430539.0239,THB (current)
184,2006,Nonthaburi,115339.1245,THB (current)
185,2006,Rest of Thailand,4462884.87,THB (current)
186,2007,Thailand,8331494.624,THB (current)
187,2007,Bangkok,2392524.371,THB (current)
188,2007,Samut Prakan,510496.9923,THB (current)
189,2007,Nonthaburi,136759.4408,THB (current)
190,2007,Rest of Thailand,5291713.82,THB (current)
191,2008,Thailand,9232666.893,THB (current)
192,2008,Bangkok,2651310.664,THB (current)
193,2008,Samut Prakan,565714.6637,THB (current)
194,2008,Nonthaburi,151551.9625,THB (current)
195,2008,Rest of Thailand,5864089.602,THB (current)
196,2009,Thailand,8926171.363,THB (current)
197,2009,Bangkok,2563295.481,THB (current)
198,2009,Samut Prakan,546934.7145,THB (current)
199,2009,Nonthaburi,146520.9136,THB (current)
200,2009,Rest of Thailand,5669420.254,THB (current)
201,2010,Thailand,10808142,THB (current)
202,2010,Bangkok,3103734,THB (current)
203,2010,Samut Prakan,662249,THB (current)
204,2010,Nonthaburi,177413,THB (current)
205,2010,Rest of Thailand,6864746,THB (current)
206,2011,Thailand,11306907,THB (current)
207,2011,Bangkok,3352275,THB (current)
208,2011,Samut Prakan,602198,THB (current)
209,2011,Nonthaburi,176592,THB (current)
210,2011,Rest of Thailand,7175842,THB (current)
211,2012,Thailand,12357344,THB (current)
212,2012,Bangkok,3660056,THB (current)
213,2012,Samut Prakan,701302,THB (current)
214,2012,Nonthaburi,199006,THB (current)
215,2012,Rest of Thailand,7796980,THB (current)
216,2013,Thailand,12915159,THB (current)
217,2013,Bangkok,3956053,THB (current)
218,2013,Samut Prakan,655860,THB (current)
219,2013,Nonthaburi,221843,THB (current)
220,2013,Rest of Thailand,8081403,THB (current)
221,2014,Thailand,13230306,THB (current)
222,2014,Bangkok,4204278,THB (current)
223,2014,Samut Prakan,666003,THB (current)
224,2014,Nonthaburi,253336,THB (current)
225,2014,Rest of Thailand,8106689,THB (current)
226,2015,Thailand,13743478,THB (current)
227,2015,Bangkok,4467778,THB (current)
228,2015,Samut Prakan,687473,THB (current)
229,2015,Nonthaburi,272336,THB (current)
230,2015,Rest of Thailand,8315891,THB (current)
231,2016,Thailand,14590337,THB (current)
232,2016,Bangkok,4781066,THB (current)
233,2016,Samut Prakan,702885,THB (current)
234,2016,Nonthaburi,289477,THB (current)
235,2016,Rest of Thailand,8816909,THB (current)
236,2017,Thailand,15488664,THB (current)
237,2017,Bangkok,5071589,THB (current)
238,2017,Samut Prakan,729651,THB (current)
239,2017,Nonthaburi,317138,THB (current)
240,2017,Rest of Thailand,9370286,THB (current)
241,2018,Thailand,16368711,THB (current)
242,2018,Bangkok,5409699,THB (current)
243,2018,Samut Prakan,791748,THB (current)
244,2018,Nonthaburi,326541,THB (current)
245,2018,Rest of Thailand,9840723,THB (current)
246,2019,Thailand,16898086,THB (current)
247,2019,Bangkok,5709940,THB (current)
248,2019,Samut Prakan,772498,THB (current)
249,2019,Nonthaburi,345411,THB (current)
250,2019,Rest of Thailand,10070237,THB (current)
251,2020,Thailand,17557111.35,THB (current)
252,2020,Bangkok,5932627.66,THB (current)
253,2020,Samut Prakan,802625.422,THB (current)
254,2020,Nonthaburi,358882.029,THB (current)
255,2020,Rest of Thailand,10462976.24,THB (current)
256,2021,Thailand,18224281.59,THB (current)
257,2021,Bangkok,6158067.511,THB (current)
258,2021,Samut Prakan,833125.188,THB (current)
259,2021,Nonthaburi,372519.5461,THB (current)
260,2021,Rest of Thailand,10860569.34,THB (current)
261,2022,Thailand,18935028.57,THB (current)
262,2022,Bangkok,6398232.144,THB (current)
263,2022,Samut Prakan,865617.0704,THB (current)
264,2022,Nonthaburi,387047.8084,THB (current)
265,2022,Rest of Thailand,11284131.54,THB (current)
266,2023,Thailand,19654559.65,THB (current)
267,2023,Bangkok,6641364.965,THB (current)
268,2023,Samut Prakan,898510.519,THB (current)
269,2023,Nonthaburi,401755.6251,THB (current)
270,2023,Rest of Thailand,11712928.54,THB (current)
271,2024,Thailand,20421087.48,THB (current)
272,2024,Bangkok,6900378.199,THB (current)
273,2024,Samut Prakan,933552.4293,THB (current)
274,2024,Nonthaburi,417424.0945,THB (current)
275,2024,Rest of Thailand,12169732.76,THB (current)
276,2025,Thailand,21197088.8,THB (current)
277,2025,Bangkok,7162592.571,THB (current)
278,2025,Samut Prakan,969027.4216,THB (current)
279,2025,Nonthaburi,433286.2101,THB (current)
280,2025,Rest of Thailand,12632182.6,THB (current)
281,2026,Thailand,21981381.09,THB (current)
282,2026,Bangkok,7427608.496,THB (current)
283,2026,Samut Prakan,1004881.436,THB (current)
284,2026,Nonthaburi,449317.7999,THB (current)
285,2026,Rest of Thailand,13099573.36,THB (current)
286,2027,Thailand,22816673.57,THB (current)
287,2027,Bangkok,7709857.619,THB (current)
288,2027,Samut Prakan,1043066.931,THB (current)
289,2027,Nonthaburi,466391.8763,THB (current)
290,2027,Rest of Thailand,13597357.14,THB (current)
291,2028,Thailand,23660890.49,THB (current)
292,2028,Bangkok,7995122.351,THB (current)
293,2028,Samut Prakan,1081660.407,THB (current)
294,2028,Nonthaburi,483648.3757,THB (current)
295,2028,Rest of Thailand,14100459.36,THB (current)
296,2029,Thailand,24536343.44,THB (current)
297,2029,Bangkok,8290941.878,THB (current)
298,2029,Samut Prakan,1121681.842,THB (current)
299,2029,Nonthaburi,501543.3656,THB (current)
300,2029,Rest of Thailand,14622176.36,THB (current)
301,2030,Thailand,25444188.15,THB (current)
302,2030,Bangkok,8597706.727,THB (current)
303,2030,Samut Prakan,1163184.07,THB (current)
304,2030,Nonthaburi,520100.4701,THB (current)
305,2030,Rest of Thailand,15163196.88,THB (current)
306,2031,Thailand,26385623.11,THB (current)
307,2031,Bangkok,8915821.876,THB (current)
308,2031,Samut Prakan,1206221.881,THB (current)
309,2031,Nonthaburi,539344.1875,THB (current)
310,2031,Rest of Thailand,15724235.17,THB (current)
311,2032,Thailand,27361891.16,THB (current)
312,2032,Bangkok,9245707.285,THB (current)
313,2032,Samut Prakan,1250852.091,THB (current)
314,2032,Nonthaburi,559299.9224,THB (current)
315,2032,Rest of Thailand,16306031.87,THB (current)
316,2033,Thailand,28374281.14,THB (current)
317,2033,Bangkok,9587798.455,THB (current)
318,2033,Samut Prakan,1297133.618,THB (current)
319,2033,Nonthaburi,579994.0196,THB (current)
320,2033,Rest of Thailand,16909355.05,THB (current)
321,2034,Thailand,29395755.26,THB (current)
322,2034,Bangkok,9932959.199,THB (current)
323,2034,Samut Prakan,1343830.428,THB (current)
324,2034,Nonthaburi,600873.8043,THB (current)
325,2034,Rest of Thailand,17518091.83,THB (current)
326,2035,Thailand,30454002.45,THB (current)
327,2035,Bangkok,10290545.73,THB (current)
328,2035,Samut Prakan,1392208.324,THB (current)
329,2035,Nonthaburi,622505.2612,THB (current)
330,2035,Rest of Thailand,18148743.13,THB (current)
331,2036,Thailand,31550346.54,THB (current)
332,2036,Bangkok,10661005.38,THB (current)
333,2036,Samut Prakan,1442327.823,THB (current)
334,2036,Nonthaburi,644915.4506,THB (current)
335,2036,Rest of Thailand,18802097.89,THB (current)
336,2037,Thailand,32686159.01,THB (current)
337,2037,Bangkok,11044801.57,THB (current)
338,2037,Samut Prakan,1494251.625,THB (current)
339,2037,Nonthaburi,668132.4069,THB (current)
340,2037,Rest of Thailand,19478973.41,THB (current)
341,2038,Thailand,33862860.74,THB (current)
342,2038,Bangkok,11442414.43,THB (current)
343,2038,Samut Prakan,1548044.683,THB (current)
344,2038,Nonthaburi,692185.1735,THB (current)
345,2038,Rest of Thailand,20180216.45,THB (current)
346,2039,Thailand,35081923.72,THB (current)
347,2039,Bangkok,11854341.35,THB (current)
348,2039,Samut Prakan,1603774.292,THB (current)
349,2039,Nonthaburi,717103.8397,THB (current)
350,2039,Rest of Thailand,20906704.24,THB (current)
351,2040,Thailand,36344872.98,THB (current)
352,2040,Bangkok,12281097.63,THB (current)
353,2040,Samut Prakan,1661510.167,THB (current)
354,2040,Nonthaburi,742919.578,THB (current)
355,2040,Rest of Thailand,21659345.6,THB (current)
356,2041,Thailand,37653288.4,THB (current)
357,2041,Bangkok,12723217.15,THB (current)
358,2041,Samut Prakan,1721324.533,THB (current)
359,2041,Nonthaburi,769664.6828,THB (current)
360,2041,Rest of Thailand,22439082.04,THB (current)
361,2042,Thailand,39008806.79,THB (current)
362,2042,Bangkok,13181252.97,THB (current)
363,2042,Samut Prakan,1783292.216,THB (current)
364,2042,Nonthaburi,797372.6114,THB (current)
365,2042,Rest of Thailand,23246888.99,THB (current)
366,2043,Thailand,40413123.83,THB (current)
367,2043,Bangkok,13655778.07,THB (current)
368,2043,Samut Prakan,1847490.736,THB (current)
369,2043,Nonthaburi,826078.0254,THB (current)
370,2043,Rest of Thailand,24083777,THB (current)
371,2044,Thailand,41867996.29,THB (current)
372,2044,Bangkok,14147386.08,THB (current)
373,2044,Samut Prakan,1914000.402,THB (current)
374,2044,Nonthaburi,855816.8343,THB (current)
375,2044,Rest of Thailand,24950792.97,THB (current)
376,2045,Thailand,43375244.15,THB (current)
377,2045,Bangkok,14656691.98,THB (current)
