year,region,value,units
1970,Thailand,813.4425871,USD (constant 2005)
1970,Bangkok,2637.558635,USD (constant 2005)
1970,Nonthaburi,762.1166274,USD (constant 2005)
1970,Samut Prakan,2654.279583,USD (constant 2005)
1970,Rest of Thailand,590.3696697,USD (constant 2005)
1971,Thailand,784.7158683,USD (constant 2005)
1971,Bangkok,2544.413272,USD (constant 2005)
1971,Nonthaburi,735.2024844,USD (constant 2005)
1971,Samut Prakan,2560.543719,USD (constant 2005)
1971,Rest of Thailand,569.5207692,USD (constant 2005)
1972,Thailand,812.9036976,USD (constant 2005)
1972,Bangkok,2635.811305,USD (constant 2005)
1972,Nonthaburi,761.6117403,USD (constant 2005)
1972,Samut Prakan,2652.521176,USD (constant 2005)
1972,Rest of Thailand,589.9785615,USD (constant 2005)
1973,Thailand,996.5606127,USD (constant 2005)
1973,Bangkok,3231.312315,USD (constant 2005)
1973,Nonthaburi,933.6804159,USD (constant 2005)
1973,Samut Prakan,3251.797397,USD (constant 2005)
1973,Rest of Thailand,723.2706635,USD (constant 2005)
1974,Thailand,1128.215748,USD (constant 2005)
1974,Bangkok,3658.199404,USD (constant 2005)
1974,Nonthaburi,1057.028479,USD (constant 2005)
1974,Samut Prakan,3681.39076,USD (constant 2005)
1974,Rest of Thailand,818.821597,USD (constant 2005)
1975,Thailand,1095.104833,USD (constant 2005)
1975,Bangkok,3550.838441,USD (constant 2005)
1975,Nonthaburi,1026.00677,USD (constant 2005)
1975,Samut Prakan,3573.349176,USD (constant 2005)
1975,Rest of Thailand,794.7907923,USD (constant 2005)
1976,Thailand,1157.518022,USD (constant 2005)
1976,Bangkok,3753.210985,USD (constant 2005)
1976,Nonthaburi,1084.481861,USD (constant 2005)
1976,Samut Prakan,3777.004672,USD (constant 2005)
1976,Rest of Thailand,840.0882165,USD (constant 2005)
1977,Thailand,1240.685788,USD (constant 2005)
1977,Bangkok,4022.879507,USD (constant 2005)
1977,Nonthaburi,1162.401973,USD (constant 2005)
1977,Samut Prakan,4048.382773,USD (constant 2005)
1977,Rest of Thailand,900.4486248,USD (constant 2005)
1978,Thailand,1376.125022,USD (constant 2005)
1978,Bangkok,4462.036403,USD (constant 2005)
1978,Nonthaburi,1289.295369,USD (constant 2005)
1978,Samut Prakan,4490.323728,USD (constant 2005)
1978,Rest of Thailand,998.7459321,USD (constant 2005)
1979,Thailand,1418.208556,USD (constant 2005)
1979,Bangkok,4598.490764,USD (constant 2005)
1979,Nonthaburi,1328.723549,USD (constant 2005)
1979,Samut Prakan,4627.643148,USD (constant 2005)
1979,Rest of Thailand,1029.288766,USD (constant 2005)
1980,Thailand,1505.283411,USD (constant 2005)
1980,Bangkok,4880.82788,USD (constant 2005)
1980,Nonthaburi,1410.304224,USD (constant 2005)
1980,Samut Prakan,4911.770157,USD (constant 2005)
1980,Rest of Thailand,1092.48481,USD (constant 2005)
1981,Thailand,1452.247833,USD (constant 2005)
1981,Bangkok,4708.861907,USD (constant 2005)
1981,Nonthaburi,1360.615043,USD (constant 2005)
1981,Samut Prakan,4738.713996,USD (constant 2005)
1981,Rest of Thailand,1053.993345,USD (constant 2005)
1982,Thailand,1406.835489,USD (constant 2005)
1982,Bangkok,4561.613997,USD (constant 2005)
1982,Nonthaburi,1318.068091,USD (constant 2005)
1982,Samut Prakan,4590.5326,USD (constant 2005)
1982,Rest of Thailand,1021.034571,USD (constant 2005)
1983,Thailand,1451.779135,USD (constant 2005)
1983,Bangkok,4707.342172,USD (constant 2005)
1983,Nonthaburi,1360.175919,USD (constant 2005)
1983,Samut Prakan,4737.184626,USD (constant 2005)
1983,Rest of Thailand,1053.65318,USD (constant 2005)
1984,Thailand,1435.04392,USD (constant 2005)
1984,Bangkok,4653.078832,USD (constant 2005)
1984,Nonthaburi,1344.496649,USD (constant 2005)
1984,Samut Prakan,4682.57728,USD (constant 2005)
1984,Rest of Thailand,1041.507315,USD (constant 2005)
1985,Thailand,1269.539147,USD (constant 2005)
1985,Bangkok,4116.435497,USD (constant 2005)
1985,Nonthaburi,1189.434766,USD (constant 2005)
1985,Samut Prakan,4142.531866,USD (constant 2005)
1985,Rest of Thailand,921.3894365,USD (constant 2005)
1986,Thailand,1352.889832,USD (constant 2005)
1986,Bangkok,4386.697125,USD (constant 2005)
1986,Nonthaburi,1267.526255,USD (constant 2005)
1986,Samut Prakan,4414.506832,USD (constant 2005)
1986,Rest of Thailand,981.8826008,USD (constant 2005)
1987,Thailand,1518.548251,USD (constant 2005)
1987,Bangkok,4923.838654,USD (constant 2005)
1987,Nonthaburi,1422.73209,USD (constant 2005)
1987,Samut Prakan,4955.0536,USD (constant 2005)
1987,Rest of Thailand,1102.111991,USD (constant 2005)
1988,Thailand,1758.095645,USD (constant 2005)
1988,Bangkok,5700.562552,USD (constant 2005)
1988,Nonthaburi,1647.164711,USD (constant 2005)
1988,Samut Prakan,5736.701581,USD (constant 2005)
1988,Rest of Thailand,1275.96755,USD (constant 2005)
1989,Thailand,1947.642925,USD (constant 2005)
1989,Bangkok,6315.162861,USD (constant 2005)
1989,Nonthaburi,1824.752086,USD (constant 2005)
1989,Samut Prakan,6355.198183,USD (constant 2005)
1989,Rest of Thailand,1413.534684,USD (constant 2005)
1990,Thailand,2179.946407,USD (constant 2005)
1990,Bangkok,7068.398632,USD (constant 2005)
1990,Nonthaburi,2042.397865,USD (constant 2005)
1990,Samut Prakan,7113.209133,USD (constant 2005)
1990,Rest of Thailand,1582.132852,USD (constant 2005)
1991,Thailand,2401.244937,USD (constant 2005)
1991,Bangkok,7785.95124,USD (constant 2005)
1991,Nonthaburi,2249.733075,USD (constant 2005)
1991,Samut Prakan,7835.310705,USD (constant 2005)
1991,Rest of Thailand,1742.743991,USD (constant 2005)
1992,Thailand,2634.174614,USD (constant 2005)
1992,Bangkok,8541.217425,USD (constant 2005)
