,year,region,value,units
47,1979,Bangkok,0.064477105,THB (current)
48,1979,Nonthaburi,0.018630514,THB (current)
49,1979,Samut Prakan,0.064885861,THB (current)
50,1979,Rest of Thailand,0.014432031,THB (current)
51,1980,Thailand,0.023009543,THB (current)
52,1980,Bangkok,0.074607624,THB (current)
53,1980,Nonthaburi,0.021557705,THB (current)
54,1980,Samut Prakan,0.075080604,THB (current)
55,1980,Rest of Thailand,0.016699564,THB (current)
56,1981,Thailand,0.024271315,THB (current)
57,1981,Bangkok,0.078698875,THB (current)
58,1981,Nonthaburi,0.022739863,THB (current)
59,1981,Samut Prakan,0.079197791,THB (current)
60,1981,Rest of Thailand,0.017615316,THB (current)
61,1982,Thailand,0.02497096,THB (current)
62,1982,Bangkok,0.080967449,THB (current)
63,1982,Nonthaburi,0.023395362,THB (current)
64,1982,Samut Prakan,0.081480746,THB (current)
65,1982,Rest of Thailand,0.018123095,THB (current)
66,1983,Thailand,0.026786344,THB (current)
67,1983,Bangkok,0.086853767,THB (current)
68,1983,Nonthaburi,0.0250962,THB (current)
69,1983,Samut Prakan,0.087404381,THB (current)
70,1983,Rest of Thailand,0.019440641,THB (current)
71,1984,Thailand,0.027417245,THB (current)
72,1984,Bangkok,0.088899443,THB (current)
73,1984,Nonthaburi,0.025687294,THB (current)
74,1984,Samut Prakan,0.089463025,THB (current)
75,1984,Rest of Thailand,0.019898528,THB (current)
76,1985,Thailand,0.02503096,THB (current)
77,1985,Bangkok,0.081161996,THB (current)
78,1985,Nonthaburi,0.023451576,THB (current)
79,1985,Samut Prakan,0.081676527,THB (current)
80,1985,Rest of Thailand,0.018166641,THB (current)
81,1986,Thailand,0.02721259,THB (current)
82,1986,Bangkok,0.088235854,THB (current)
83,1986,Nonthaburi,0.025495551,THB (current)
84,1986,Samut Prakan,0.08879523,THB (current)
85,1986,Rest of Thailand,0.019749996,THB (current)
86,1987,Thailand,0.031324088,THB (current)
87,1987,Bangkok,0.101567239,THB (current)
88,1987,Nonthaburi,0.029347625,THB (current)
89,1987,Samut Prakan,0.10221113,THB (current)
90,1987,Rest of Thailand,0.022733985,THB (current)
91,1988,Thailand,0.037535298,THB (current)
92,1988,Bangkok,0.121706867,THB (current)
93,1988,Nonthaburi,0.035166925,THB (current)
94,1988,Samut Prakan,0.122478434,THB (current)
95,1988,Rest of Thailand,0.027241875,THB (current)
96,1989,Thailand,0.043198934,THB (current)
97,1989,Bangkok,0.140071007,THB (current)
98,1989,Nonthaburi,0.040473202,THB (current)
99,1989,Samut Prakan,0.140958994,THB (current)
100,1989,Rest of Thailand,0.031352355,THB (current)
101,1990,Thailand,0.050139325,THB (current)
102,1990,Bangkok,0.162574978,THB (current)
103,1990,Nonthaburi,0.046975674,THB (current)
104,1990,Samut Prakan,0.163605631,THB (current)
105,1990,Rest of Thailand,0.036389461,THB (current)
106,1991,Thailand,0.057067935,THB (current)
107,1991,Bangkok,0.185040747,THB (current)
108,1991,Nonthaburi,0.053467107,THB (current)
109,1991,Samut Prakan,0.186213823,THB (current)
110,1991,Rest of Thailand,0.041418016,THB (current)
111,1992,Thailand,0.064031003,THB (current)
112,1992,Bangkok,0.207618247,THB (current)
113,1992,Nonthaburi,0.059990825,THB (current)
114,1992,Samut Prakan,0.208934455,THB (current)
115,1992,Rest of Thailand,0.04647158,THB (current)
116,1993,Thailand,0.073238389,THB (current)
117,1993,Bangkok,0.237472869,THB (current)
118,1993,Nonthaburi,0.068617251,THB (current)
119,1993,Samut Prakan,0.238978341,THB (current)
120,1993,Rest of Thailand,0.053153995,THB (current)
121,1994,Thailand,0.082447794,THB (current)
122,1994,Bangkok,0.267334038,THB (current)
123,1994,Nonthaburi,0.077245568,THB (current)
124,1994,Samut Prakan,0.269028817,THB (current)
125,1994,Rest of Thailand,0.059837877,THB (current)
126,1995,Thailand,0.094130312,THB (current)
127,1995,Bangkok,0.305214186,THB (current)
128,1995,Nonthaburi,0.088190952,THB (current)
129,1995,Samut Prakan,0.307149109,THB (current)
130,1995,Rest of Thailand,0.068316661,THB (current)
131,1996,Thailand,0.100701852,THB (current)
132,1996,Bangkok,0.32652217,THB (current)
133,1996,Nonthaburi,0.094347846,THB (current)
134,1996,Samut Prakan,0.328592175,THB (current)
135,1996,Rest of Thailand,0.073086066,THB (current)
136,1997,Thailand,0.081760568,THB (current)
137,1997,Bangkok,0.265105731,THB (current)
138,1997,Nonthaburi,0.076601704,THB (current)
139,1997,Samut Prakan,0.266786383,THB (current)
140,1997,Rest of Thailand,0.05933911,THB (current)
141,1998,Thailand,0.061245046,THB (current)
142,1998,Bangkok,0.198584882,THB (current)
143,1998,Nonthaburi,0.057380654,THB (current)
144,1998,Samut Prakan,0.199843822,THB (current)
145,1998,Rest of Thailand,0.044449625,THB (current)
146,1999,Thailand,0.067544889,THB (current)
147,1999,Bangkok,0.2190119,THB (current)
148,1999,Nonthaburi,0.063282995,THB (current)
149,1999,Samut Prakan,0.220400338,THB (current)
150,1999,Rest of Thailand,0.049021842,THB (current)
151,2000,Thailand,0.066712536,THB (current)
152,2000,Bangkok,0.216313025,THB (current)
153,2000,Nonthaburi,0.062503161,THB (current)
154,2000,Samut Prakan,0.217684353,THB (current)
155,2000,Rest of Thailand,0.048417748,THB (current)
156,2001,Thailand,0.063001948,THB (current)
157,2001,Bangkok,0.204281573,THB (current)
158,2001,Nonthaburi,0.0590267,THB (current)
159,2001,Samut Prakan,0.205576627,THB (current)
160,2001,Rest of Thailand,0.045724726,THB (current)
161,2002,Thailand,0.069794812,THB (current)
162,2002,Bangkok,0.226307192,THB (current)
163,2002,Nonthaburi,0.065390954,THB (current)
164,2002,Samut Prakan,0.227741879,THB (current)
165,2002,Rest of Thailand,0.050654761,THB (current)
166,2003,Thailand,0.078533779,THB (current)
167,2003,Bangkok,0.254642982,THB (current)
168,2003,Nonthaburi,0.073578516,THB (current)
169,2003,Samut Prakan,0.256257306,THB (current)
170,2003,Rest of Thailand,0.056997214,THB (current)
171,2004,Thailand,0.088488735,THB (current)
172,2004,Bangkok,0.286921575,THB (current)
173,2004,Nonthaburi,0.082905343,THB (current)
174,2004,Samut Prakan,0.28874053,THB (current)
175,2004,Rest of Thailand,0.064222191,THB (current)
176,2005,Thailand,0.096164442,THB (current)
177,2005,Bangkok,0.31180978,THB (current)
178,2005,Nonthaburi,0.090096734,THB (current)
179,2005,Samut Prakan,0.313786515,THB (current)
180,2005,Rest of Thailand,0.069792965,THB (current)
181,2006,Thailand,0.112032459,THB (current)
182,2006,Bangkok,0.363261259,THB (current)
183,2006,Nonthaburi,0.104963523,THB (current)
184,2006,Samut Prakan,0.365564174,THB (current)
185,2006,Rest of Thailand,0.081309445,THB (current)
186,2007,Thailand,0.132123935,THB (current)
187,2007,Bangkok,0.428407156,THB (current)
188,2007,Nonthaburi,0.123787283,THB (current)
189,2007,Samut Prakan,0.431123067,THB (current)
190,2007,Rest of Thailand,0.095891173,THB (current)
191,2008,Thailand,0.145631488,THB (current)
192,2008,Bangkok,0.472204917,THB (current)
193,2008,Nonthaburi,0.136442547,THB (current)
194,2008,Samut Prakan,0.475198486,THB (current)
195,2008,Rest of Thailand,0.105694507,THB (current)
196,2009,Thailand,0.140047487,THB (current)
197,2009,Bangkok,0.45409899,THB (current)
198,2009,Nonthaburi,0.131210881,THB (current)
199,2009,Samut Prakan,0.456977776,THB (current)
200,2009,Rest of Thailand,0.101641824,THB (current)
201,2010,Thailand,0.168676828,THB (current)
202,2010,Bangkok,0.546928611,THB (current)
203,2010,Nonthaburi,0.15803379,THB (current)
204,2010,Samut Prakan,0.550395895,THB (current)
205,2010,Rest of Thailand,0.122420051,THB (current)
206,2011,Thailand,0.176460784,THB (current)
207,2011,Bangkok,0.590725594,THB (current)
208,2011,Nonthaburi,0.15730247,THB (current)
209,2011,Samut Prakan,0.500487441,THB (current)
210,2011,Rest of Thailand,0.127967873,THB (current)
211,2012,Thailand,0.191715446,THB (current)
212,2012,Bangkok,0.645107481,THB (current)
213,2012,Nonthaburi,0.174310858,THB (current)
214,2012,Samut Prakan,0.573286073,THB (current)
215,2012,Rest of Thailand,0.138199828,THB (current)
216,2013,Thailand,0.199351359,THB (current)
217,2013,Bangkok,0.69572242,THB (current)
218,2013,Nonthaburi,0.191860732,THB (current)
219,2013,Samut Prakan,0.528233503,THB (current)
220,2013,Rest of Thailand,0.142524689,THB (current)
221,2014,Thailand,0.203153377,THB (current)
222,2014,Bangkok,0.738592453,THB (current)
223,2014,Nonthaburi,0.215812654,THB (current)
224,2014,Samut Prakan,0.527932748,THB (current)
225,2014,Rest of Thailand,0.14223002,THB (current)
226,2015,Thailand,0.209092752,THB (current)
227,2015,Bangkok,0.78431482,THB (current)
228,2015,Nonthaburi,0.228142323,THB (current)
229,2015,Samut Prakan,0.537377962,THB (current)
230,2015,Rest of Thailand,0.14447427,THB (current)
231,2016,Thailand,0.221295222,THB (current)
232,2016,Bangkok,0.840753231,THB (current)
233,2016,Nonthaburi,0.238857387,THB (current)
234,2016,Samut Prakan,0.543375494,THB (current)
235,2016,Rest of Thailand,0.152701706,THB (current)
236,2017,Thailand,0.234008375,THB (current)
237,2017,Bangkok,0.892505915,THB (current)
238,2017,Nonthaburi,0.257891334,THB (current)
239,2017,Samut Prakan,0.556659999,THB (current)
240,2017,Rest of Thailand,0.161652568,THB (current)
241,2018,Thailand,0.246464844,THB (current)
242,2018,Bangkok,0.952974185,THB (current)
243,2018,Nonthaburi,0.262009396,THB (current)
244,2018,Samut Prakan,0.596821367,THB (current)
245,2018,Rest of Thailand,0.169187996,THB (current)
246,2019,Thailand,0.253881556,THB (current)
247,2019,Bangkok,1.007708077,THB (current)
248,2019,Nonthaburi,0.272968665,THB (current)
249,2019,Samut Prakan,0.574401338,THB (current)
250,2019,Rest of Thailand,0.172783472,THB (current)
251,2020,Thailand,0.265266348,THB (current)
252,2020,Bangkok,1.061630633,THB (current)
253,2020,Nonthaburi,0.281091392,THB (current)
254,2020,Samut Prakan,0.593886714,THB (current)
255,2020,Rest of Thailand,0.180488624,THB (current)
256,2021,Thailand,0.275131252,THB (current)
257,2021,Bangkok,1.101111269,THB (current)
258,2021,Nonthaburi,0.291544808,THB (current)
259,2021,Samut Prakan,0.615972574,THB (current)
260,2021,Rest of Thailand,0.187200757,THB (current)
261,2022,Thailand,0.285638109,THB (current)
262,2022,Bangkok,1.143161087,THB (current)
263,2022,Nonthaburi,0.302678475,THB (current)
264,2022,Samut Prakan,0.639495659,THB (current)
265,2022,Rest of Thailand,0.194349678,THB (current)
266,2023,Thailand,0.296260974,THB (current)
267,2023,Bangkok,1.185675181,THB (current)
268,2023,Nonthaburi,0.31393507,THB (current)
269,2023,Samut Prakan,0.663278465,THB (current)
270,2023,Rest of Thailand,0.201577531,THB (current)
271,2024,Thailand,0.307575119,THB (current)
272,2024,Bangkok,1.230955871,THB (current)
273,2024,Nonthaburi,0.325924185,THB (current)
274,2024,Samut Prakan,0.688608932,THB (current)
275,2024,Rest of Thailand,0.209275735,THB (current)
276,2025,Thailand,0.319014208,THB (current)
277,2025,Bangkok,1.276736601,THB (current)
278,2025,Nonthaburi,0.338045698,THB (current)
279,2025,Samut Prakan,0.714219127,THB (current)
280,2025,Rest of Thailand,0.217058952,THB (current)
281,2026,Thailand,0.330560165,THB (current)
282,2026,Bangkok,1.322945033,THB (current)
283,2026,Nonthaburi,0.350280454,THB (current)
284,2026,Samut Prakan,0.740068583,THB (current)
285,2026,Rest of Thailand,0.224914882,THB (current)
286,2027,Thailand,0.342854511,THB (current)
287,2027,Bangkok,1.372148616,THB (current)
288,2027,Nonthaburi,0.363308247,THB (current)
289,2027,Samut Prakan,0.767593555,THB (current)
290,2027,Rest of Thailand,0.23328002,THB (current)
291,2028,Thailand,0.355263742,THB (current)
292,2028,Bangkok,1.42181198,THB (current)
293,2028,Nonthaburi,0.376457777,THB (current)
294,2028,Samut Prakan,0.795375734,THB (current)
295,2028,Rest of Thailand,0.241723326,THB (current)
296,2029,Thailand,0.368122333,THB (current)
297,2029,Bangkok,1.473273744,THB (current)
298,2029,Nonthaburi,0.390083476,THB (current)
299,2029,Samut Prakan,0.824163956,THB (current)
300,2029,Rest of Thailand,0.250472379,THB (current)
301,2030,Thailand,0.381446565,THB (current)
302,2030,Bangkok,1.526599062,THB (current)
303,2030,Nonthaburi,0.404202593,THB (current)
304,2030,Samut Prakan,0.853994668,THB (current)
305,2030,Rest of Thailand,0.259538257,THB (current)
306,2031,Thailand,0.39680274,THB (current)
307,2031,Bangkok,1.588056486,THB (current)
308,2031,Nonthaburi,0.420474875,THB (current)
309,2031,Samut Prakan,0.888374561,THB (current)
310,2031,Rest of Thailand,0.26998668,THB (current)
311,2032,Thailand,0.412781194,THB (current)
312,2032,Bangkok,1.65200435,THB (current)
313,2032,Nonthaburi,0.437406559,THB (current)
314,2032,Samut Prakan,0.924147631,THB (current)
315,2032,Rest of Thailand,0.280858504,THB (current)
316,2033,Thailand,0.429407334,THB (current)
317,2033,Bangkok,1.718544335,THB (current)
318,2033,Nonthaburi,0.455024567,THB (current)
319,2033,Samut Prakan,0.961370759,THB (current)
320,2033,Rest of Thailand,0.292171017,THB (current)
321,2034,Thailand,0.446276841,THB (current)
322,2034,Bangkok,1.786058312,THB (current)
323,2034,Nonthaburi,0.472900462,THB (current)
324,2034,Samut Prakan,0.999138748,THB (current)
325,2034,Rest of Thailand,0.303649119,THB (current)
326,2035,Thailand,0.463813742,THB (current)
327,2035,Bangkok,1.856243283,THB (current)
328,2035,Nonthaburi,0.491483565,THB (current)
329,2035,Samut Prakan,1.038400917,THB (current)
330,2035,Rest of Thailand,0.315581319,THB (current)
331,2036,Thailand,0.482044652,THB (current)
332,2036,Bangkok,1.929205771,THB (current)
333,2036,Nonthaburi,0.51080208,THB (current)
334,2036,Samut Prakan,1.079216857,THB (current)
335,2036,Rest of Thailand,0.327985727,THB (current)
336,2037,Thailand,0.50099726,THB (current)
337,2037,Bangkok,2.005056586,THB (current)
338,2037,Nonthaburi,0.530885346,THB (current)
339,2037,Samut Prakan,1.121648556,THB (current)
340,2037,Rest of Thailand,0.340881181,THB (current)
341,2038,Thailand,0.520700367,THB (current)
342,2038,Bangkok,2.083911001,THB (current)
343,2038,Nonthaburi,0.551763886,THB (current)
344,2038,Samut Prakan,1.165760498,THB (current)
345,2038,Rest of Thailand,0.354287279,THB (current)
346,2039,Thailand,0.541183938,THB (current)
347,2039,Bangkok,2.165888931,THB (current)
348,2039,Nonthaburi,0.573469449,THB (current)
349,2039,Samut Prakan,1.211619766,THB (current)
350,2039,Rest of Thailand,0.368224409,THB (current)
351,2040,Thailand,0.562479143,THB (current)
352,2040,Bangkok,2.251115127,THB (current)
353,2040,Nonthaburi,0.596035066,THB (current)
354,2040,Samut Prakan,1.259296146,THB (current)
355,2040,Rest of Thailand,0.382713779,THB (current)
356,2041,Thailand,0.584618409,THB (current)
357,2041,Bangkok,2.339719368,THB (current)
358,2041,Nonthaburi,0.619495098,THB (current)
359,2041,Samut Prakan,1.308862238,THB (current)
360,2041,Rest of Thailand,0.397777453,THB (current)
361,2042,Thailand,0.607635472,THB (current)
362,2042,Bangkok,2.431836667,THB (current)
363,2042,Nonthaburi,0.643885295,THB (current)
364,2042,Samut Prakan,1.360393569,THB (current)
365,2042,Rest of Thailand,0.413438384,THB (current)
366,2043,Thailand,0.63156543,THB (current)
367,2043,Bangkok,2.527607486,THB (current)
368,2043,Nonthaburi,0.669242846,THB (current)
369,2043,Samut Prakan,1.413968717,THB (current)
370,2043,Rest of Thailand,0.429720453,THB (current)
371,2044,Thailand,0.656444795,THB (current)
372,2044,Bangkok,2.627177961,THB (current)
373,2044,Nonthaburi,0.695606444,THB (current)
374,2044,Samut Prakan,1.469669428,THB (current)
375,2044,Rest of Thailand,0.446648505,THB (current)
376,2045,Thailand,0.682311556,THB (current)
377,2045,Bangkok,2.730700125,THB (current)
378,2045,Nonthaburi,0.723016344,THB (current)
379,2045,Samut Prakan,1.527580754,THB (current)
380,2045,Rest of Thailand,0.464248386,THB (current)
381,2046,Thailand,0.709205238,THB (current)
382,2046,Bangkok,2.838332158,THB (current)
383,2046,Nonthaburi,0.751514427,THB (current)
384,2046,Samut Prakan,1.587791182,THB (current)
385,2046,Rest of Thailand,0.482546989,THB (current)
386,2047,Thailand,0.737166961,THB (current)
387,2047,Bangkok,2.950238633,THB (current)
388,2047,Nonthaburi,0.781144268,THB (current)
389,2047,Samut Prakan,1.650392775,THB (current)
390,2047,Rest of Thailand,0.501572293,THB (current)
391,2048,Thailand,0.766239511,THB (current)
392,2048,Bangkok,3.06659078,THB (current)
393,2048,Nonthaburi,0.811951204,THB (current)
394,2048,Samut Prakan,1.715481321,THB (current)
395,2048,Rest of Thailand,0.521353409,THB (current)
396,2049,Thailand,0.796467402,THB (current)
397,2049,Bangkok,3.187566756,THB (current)
398,2049,Nonthaburi,0.843982406,THB (current)
399,2049,Samut Prakan,1.783156482,THB (current)
400,2049,Rest of Thailand,0.541920626,THB (current)
401,2050,Thailand,0.827896952,THB (current)
402,2050,Bangkok,3.31335193,THB (current)
403,2050,Nonthaburi,0.877286955,THB (current)
404,2050,Samut Prakan,1.853521957,THB (current)
405,2050,Rest of Thailand,0.563305458,THB (current)
406,2051,Thailand,0.863331094,THB (current)
407,2051,Bangkok,3.455163999,THB (current)
408,2051,Nonthaburi,0.914834997,THB (current)
409,2051,Samut Prakan,1.932853036,THB (current)
410,2051,Rest of Thailand,0.587415035,THB (current)
411,2052,Thailand,0.900320613,THB (current)
412,2052,Bangkok,3.603200894,THB (current)
413,2052,Nonthaburi,0.954031207,THB (current)
414,2052,Samut Prakan,2.015666345,THB (current)
415,2052,Rest of Thailand,0.612582899,THB (current)
416,2053,Thailand,0.938935942,THB (current)
417,2053,Bangkok,3.757744493,THB (current)
418,2053,Nonthaburi,0.994950218,THB (current)
419,2053,Samut Prakan,2.102119568,THB (current)
420,2053,Rest of Thailand,0.638856973,THB (current)
421,2054,Thailand,0.979250827,THB (current)
422,2054,Bangkok,3.919089941,THB (current)
423,2054,Nonthaburi,1.037670176,THB (current)
424,2054,Samut Prakan,2.192377813,THB (current)
425,2054,Rest of Thailand,0.666287434,THB (current)
426,2055,Thailand,1.021342494,THB (current)
427,2055,Bangkok,4.087546299,THB (current)
428,2055,Nonthaburi,1.082272913,THB (current)
429,2055,Samut Prakan,2.286613972,THB (current)
430,2055,Rest of Thailand,0.694926826,THB (current)
431,2056,Thailand,1.065291816,THB (current)
432,2056,Bangkok,4.263437235,THB (current)
433,2056,Nonthaburi,1.128844128,THB (current)
434,2056,Samut Prakan,2.385009108,THB (current)
435,2056,Rest of Thailand,0.724830177,THB (current)
436,2057,Thailand,1.111183497,THB (current)
437,2057,Bangkok,4.447101748,THB (current)
438,2057,Nonthaburi,1.177473578,THB (current)
439,2057,Samut Prakan,2.487752859,THB (current)
440,2057,Rest of Thailand,0.756055119,THB (current)
441,2058,Thailand,1.159106264,THB (current)
442,2058,Bangkok,4.63889493,THB (current)
443,2058,Nonthaburi,1.228255281,THB (current)
444,2058,Samut Prakan,2.595043868,THB (current)
445,2058,Rest of Thailand,0.788662022,THB (current)
446,2059,Thailand,1.209153062,THB (current)
447,2059,Bangkok,4.839188766,THB (current)
448,2059,Nonthaburi,1.281287731,THB (current)
449,2059,Samut Prakan,2.707090229,THB (current)
450,2059,Rest of Thailand,0.822714128,THB (current)
451,2060,Thailand,1.261421273,THB (current)
452,2060,Bangkok,5.048372985,THB (current)
453,2060,Nonthaburi,1.336674116,THB (current)
454,2060,Samut Prakan,2.824109957,THB (current)
455,2060,Rest of Thailand,0.858277695,THB (current)
456,2061,Thailand,1.316012931,THB (current)
457,2061,Bangkok,5.266855944,THB (current)
458,2061,Nonthaburi,1.394522559,THB (current)
459,2061,Samut Prakan,2.946331493,THB (current)
460,2061,Rest of Thailand,0.895422148,THB (current)
461,2062,Thailand,1.373034962,THB (current)
462,2062,Bangkok,5.495065572,THB (current)
463,2062,Nonthaburi,1.454946364,THB (current)
464,2062,Samut Prakan,3.073994224,THB (current)
465,2062,Rest of Thailand,0.934220238,THB (current)
466,2063,Thailand,1.432599425,THB (current)
467,2063,Bangkok,5.733450348,THB (current)
468,2063,Nonthaburi,1.518064276,THB (current)
469,2063,Samut Prakan,3.207349034,THB (current)
470,2063,Rest of Thailand,0.974748214,THB (current)
471,2064,Thailand,1.494823779,THB (current)
472,2064,Bangkok,5.982480353,THB (current)
473,2064,Nonthaburi,1.584000759,THB (current)
474,2064,Samut Prakan,3.346658891,THB (current)
475,2064,Rest of Thailand,1.017085993,THB (current)
476,2065,Thailand,1.55983115,THB (current)
477,2065,Bangkok,6.242648357,THB (current)
478,2065,Nonthaburi,1.652886287,THB (current)
479,2065,Samut Prakan,3.492199454,THB (current)
480,2065,Rest of Thailand,1.061317351,THB (current)
481,2066,Thailand,1.627750625,THB (current)
482,2066,Bangkok,6.514470982,THB (current)
483,2066,Nonthaburi,1.724857646,THB (current)
484,2066,Samut Prakan,3.644259729,THB (current)
485,2066,Rest of Thailand,1.10753012,THB (current)
486,2067,Thailand,1.698717553,THB (current)
487,2067,Bangkok,6.798489917,THB (current)
488,2067,Nonthaburi,1.800058262,THB (current)
489,2067,Samut Prakan,3.80314274,THB (current)
490,2067,Rest of Thailand,1.155816393,THB (current)
491,2068,Thailand,1.772873872,THB (current)
492,2068,Bangkok,7.095273205,THB (current)
493,2068,Nonthaburi,1.878638538,THB (current)
494,2068,Samut Prakan,3.969166257,THB (current)
495,2068,Rest of Thailand,1.206272744,THB (current)
496,2069,Thailand,1.850368438,THB (current)
497,2069,Bangkok,7.405416599,THB (current)
498,2069,Nonthaburi,1.960756212,THB (current)
499,2069,Samut Prakan,4.14266355,THB (current)
500,2069,Rest of Thailand,1.259000456,THB (current)
501,2070,Thailand,1.931357393,THB (current)
502,2070,Bangkok,7.729544994,THB (current)
503,2070,Nonthaburi,2.04657674,THB (current)
504,2070,Samut Prakan,4.323984192,THB (current)
505,2070,Rest of Thailand,1.314105769,THB (current)
506,2071,Thailand,2.016004535,THB (current)
507,2071,Bangkok,8.068313933,THB (current)
508,2071,Nonthaburi,2.136273692,THB (current)
509,2071,Samut Prakan,4.513494899,THB (current)
510,2071,Rest of Thailand,1.371700131,THB (current)
511,2072,Thailand,2.10448172,THB (current)
512,2072,Bangkok,8.422411203,THB (current)
513,2072,Nonthaburi,2.230029177,THB (current)
514,2072,Samut Prakan,4.711580426,THB (current)
515,2072,Rest of Thailand,1.431900475,THB (current)
516,2073,Thailand,2.19696928,THB (current)
517,2073,Bangkok,8.792558519,THB (current)
518,2073,Nonthaburi,2.328034285,THB (current)
519,2073,Samut Prakan,4.918644509,THB (current)
520,2073,Rest of Thailand,1.494829499,THB (current)
521,2074,Thailand,2.293656468,THB (current)
522,2074,Bangkok,9.179513297,THB (current)
523,2074,Nonthaburi,2.430489558,THB (current)
524,2074,Samut Prakan,5.135110853,THB (current)
525,2074,Rest of Thailand,1.560615972,THB (current)
526,2075,Thailand,2.394741927,THB (current)
527,2075,Bangkok,9.584070532,THB (current)
528,2075,Nonthaburi,2.537605492,THB (current)
529,2075,Samut Prakan,5.361424185,THB (current)
530,2075,Rest of Thailand,1.629395053,THB (current)
531,2076,Thailand,2.497558983,THB (current)
532,2076,Bangkok,9.995557841,THB (current)
533,2076,Nonthaburi,2.646556323,THB (current)
534,2076,Samut Prakan,5.591614271,THB (current)
535,2076,Rest of Thailand,1.69935232,THB (current)
536,2077,Thailand,2.604907146,THB (current)
537,2077,Bangkok,10.42517924,THB (current)
538,2077,Nonthaburi,2.760308576,THB (current)
539,2077,Samut Prakan,5.831948744,THB (current)
540,2077,Rest of Thailand,1.772392577,THB (current)
541,2078,Thailand,2.716992643,THB (current)
542,2078,Bangkok,10.87376006,THB (current)
543,2078,Nonthaburi,2.879080778,THB (current)
544,2078,Samut Prakan,6.082889309,THB (current)
545,2078,Rest of Thailand,1.848656141,THB (current)
546,2079,Thailand,2.834031465,THB (current)
547,2079,Bangkok,11.34216474,THB (current)
548,2079,Nonthaburi,3.003101806,THB (current)
549,2079,Samut Prakan,6.344919535,THB (current)
550,2079,Rest of Thailand,1.928289973,THB (current)
551,2080,Thailand,2.956249855,THB (current)
552,2080,Bangkok,11.83129873,THB (current)
553,2080,Nonthaburi,3.132611403,THB (current)
554,2080,Samut Prakan,6.618545945,THB (current)
555,2080,Rest of Thailand,2.011448012,THB (current)
556,2081,Thailand,3.083884824,THB (current)
557,2081,Bangkok,12.34211057,THB (current)
558,2081,Nonthaburi,3.267860714,THB (current)
559,2081,Samut Prakan,6.904299161,THB (current)
560,2081,Rest of Thailand,2.098291518,THB (current)
561,2082,Thailand,3.217184679,THB (current)
562,2082,Bangkok,12.87559404,THB (current)
563,2082,Nonthaburi,3.409112864,THB (current)
564,2082,Samut Prakan,7.202735106,THB (current)
565,2082,Rest of Thailand,2.188989444,THB (current)
566,2083,Thailand,3.356409601,THB (current)
567,2083,Bangkok,13.43279039,THB (current)
568,2083,Nonthaburi,3.556643553,THB (current)
569,2083,Samut Prakan,7.514436277,THB (current)
570,2083,Rest of Thailand,2.283718816,THB (current)
571,2084,Thailand,3.501832234,THB (current)
572,2084,Bangkok,14.0147908,THB (current)
573,2084,Nonthaburi,3.710741691,THB (current)
574,2084,Samut Prakan,7.84001308,THB (current)
575,2084,Rest of Thailand,2.382665143,THB (current)
576,2085,Thailand,3.653738319,THB (current)
577,2085,Bangkok,14.62273882,THB (current)
