,year,region,value,units
1,1970,Thailand,0.006383938,THB (current)
2,1970,Bangkok,0.020699692,THB (current)
3,1970,Nonthaburi,0.005981129,THB (current)
4,1970,Samut Prakan,0.020830918,THB (current)
5,1970,Rest of Thailand,0.004633251,THB (current)
6,1971,Thailand,0.006471225,THB (current)
7,1971,Bangkok,0.020982717,THB (current)
8,1971,Nonthaburi,0.006062909,THB (current)
9,1971,Samut Prakan,0.021115738,THB (current)
10,1971,Rest of Thailand,0.004696601,THB (current)
11,1972,Thailand,0.006994047,THB (current)
12,1972,Bangkok,0.022677948,THB (current)
13,1972,Nonthaburi,0.006552742,THB (current)
14,1972,Samut Prakan,0.022821716,THB (current)
15,1972,Rest of Thailand,0.005076047,THB (current)
16,1973,Thailand,0.009040695,THB (current)
17,1973,Bangkok,0.029314131,THB (current)
18,1973,Nonthaburi,0.008470252,THB (current)
19,1973,Samut Prakan,0.029499969,THB (current)
20,1973,Rest of Thailand,0.006561437,THB (current)
21,1974,Thailand,0.011154529,THB (current)
22,1974,Bangkok,0.036168163,THB (current)
23,1974,Nonthaburi,0.010450709,THB (current)
24,1974,Samut Prakan,0.036397453,THB (current)
25,1974,Rest of Thailand,0.008095587,THB (current)
26,1975,Thailand,0.011829799,THB (current)
27,1975,Bangkok,0.038357703,THB (current)
28,1975,Nonthaburi,0.011083372,THB (current)
29,1975,Samut Prakan,0.038600874,THB (current)
30,1975,Rest of Thailand,0.008585676,THB (current)
31,1976,Thailand,0.013190596,THB (current)
32,1976,Bangkok,0.042770039,THB (current)
33,1976,Nonthaburi,0.012358306,THB (current)
34,1976,Samut Prakan,0.043041182,THB (current)
35,1976,Rest of Thailand,0.009573298,THB (current)
36,1977,Thailand,0.015015284,THB (current)
37,1977,Bangkok,0.048686523,THB (current)
38,1977,Nonthaburi,0.014067861,THB (current)
39,1977,Samut Prakan,0.048995174,THB (current)
40,1977,Rest of Thailand,0.010897595,THB (current)
41,1978,Thailand,0.017823813,THB (current)
42,1978,Bangkok,0.057793079,THB (current)
43,1978,Nonthaburi,0.01669918,THB (current)
44,1978,Samut Prakan,0.058159462,THB (current)
45,1978,Rest of Thailand,0.012935933,THB (current)
46,1979,Thailand,0.019885216,THB (current)
