"scenario","region","subRegion","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",1990,"Year","Vint_1990","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",1990,0.107444166666668,0.000386799
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2005,"Year","Vint_2005","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",2005,0.23783277777778,0.000856198
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2010,"Year","Vint_2010","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",2010,0.42599166666667,0.00153357
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2015,"Year","Vint_2015","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",2015,0.498480555555559,0.00179453
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2020,"Year","Vint_2020","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",2020,0.632591666666672,0.00227733
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2025,"Year","Vint_2025","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",2025,0.704305555555561,0.0025355
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2030,"Year","Vint_2030","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",2030,0.822894444444451,0.00296242
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2035,"Year","Vint_2035","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",2035,0.908944444444452,0.0032722
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2040,"Year","Vint_2040","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",2040,0.969444444444452,0.00349
"Ref","KualaLumpur","KualaLumpur","elecConsumByDemandSectorTWh","Sources","building","comm cooking",2045,"Year","Vint_2045","Electricity Consumption by Sector (TWh)","sum","Aggregated Sector","pal_all","Sector","classPalette2","Ref","elec consumption by demand sector","EJ",2045,1.06320555555556,0.00382754
