"Units","scenario","region","year","value"
"Thous90US$/per","Ref_cities","KualaLumpur",1975,3.77226
"Thous90US$/per","Ref_cities","KualaLumpur",1990,7.7365
"Thous90US$/per","Ref_cities","KualaLumpur",2005,14.8994
"Thous90US$/per","Ref_cities","KualaLumpur",2010,17.1504
"Thous90US$/per","Ref_cities","KualaLumpur",2015,20.9838
"Thous90US$/per","Ref_cities","KualaLumpur",2020,20.4901
"Thous90US$/per","Ref_cities","KualaLumpur",2025,28.4855
"Thous90US$/per","Ref_cities","KualaLumpur",2030,33.5825
"Thous90US$/per","Ref_cities","KualaLumpur",2035,39.2632
"Thous90US$/per","Ref_cities","KualaLumpur",2040,45.5412
"Thous90US$/per","Ref_cities","KualaLumpur",2045,52.3579
"Thous90US$/per","Ref_cities","KualaLumpur",2050,59.3915
"Thous90US$/per","Ref_cities","KualaLumpur",2055,66.6699
"Thous90US$/per","Ref_cities","KualaLumpur",2060,74.5811
"Thous90US$/per","Ref_cities","KualaLumpur",2065,83.1581
"Thous90US$/per","Ref_cities","KualaLumpur",2070,92.2732
"Thous90US$/per","Ref_cities","KualaLumpur",2075,101.922
"Thous90US$/per","Ref_cities","KualaLumpur",2080,112.145
"Thous90US$/per","Ref_cities","KualaLumpur",2085,122.644
"Thous90US$/per","Ref_cities","KualaLumpur",2090,133.219
"Thous90US$/per","Ref_cities","KualaLumpur",2095,143.798
"Thous90US$/per","Ref_cities","KualaLumpur",2100,154.355
"Thous90US$/per","Ref_cities","Malaysia",1975,2.1656
"Thous90US$/per","Ref_cities","Malaysia",1990,4.05129
"Thous90US$/per","Ref_cities","Malaysia",2005,7.12031
"Thous90US$/per","Ref_cities","Malaysia",2010,8.0725
"Thous90US$/per","Ref_cities","Malaysia",2015,9.73767
"Thous90US$/per","Ref_cities","Malaysia",2020,13.4376
"Thous90US$/per","Ref_cities","Malaysia",2025,15.6855
"Thous90US$/per","Ref_cities","Malaysia",2030,18.1635
"Thous90US$/per","Ref_cities","Malaysia",2035,20.8833
"Thous90US$/per","Ref_cities","Malaysia",2040,23.8578
"Thous90US$/per","Ref_cities","Malaysia",2045,26.9442
"Thous90US$/per","Ref_cities","Malaysia",2050,30.1311
"Thous90US$/per","Ref_cities","Malaysia",2055,33.5535
"Thous90US$/per","Ref_cities","Malaysia",2060,37.2114
"Thous90US$/per","Ref_cities","Malaysia",2065,41.0602
"Thous90US$/per","Ref_cities","Malaysia",2070,45.1408
"Thous90US$/per","Ref_cities","Malaysia",2075,49.5028
"Thous90US$/per","Ref_cities","Malaysia",2080,54.0443
"Thous90US$/per","Ref_cities","Malaysia",2085,58.6641
"Thous90US$/per","Ref_cities","Malaysia",2090,63.2976
"Thous90US$/per","Ref_cities","Malaysia",2095,67.9011
"Thous90US$/per","Ref_cities","Malaysia",2100,72.4738
