"","Units","region","year","value","source"
"1","million","KualaLumpur",1975,0.685,"GCAM output"
"2","million","KualaLumpur",1990,1.016,"GCAM output"
"3","million","KualaLumpur",2005,1.447,"GCAM output"
"4","million","KualaLumpur",2010,1.589,"GCAM output"
"5","million","KualaLumpur",2015,1.705,"GCAM output"
"6","million","KualaLumpur",2020,1.823,"GCAM output"
"7","million","KualaLumpur",2025,1.935,"GCAM output"
"8","million","KualaLumpur",2030,2.033,"GCAM output"
"9","million","KualaLumpur",2035,2.116,"GCAM output"
"10","million","KualaLumpur",2040,2.183,"GCAM output"
"11","million","KualaLumpur",2045,2.238,"GCAM output"
"12","million","KualaLumpur",2050,2.284,"GCAM output"
"13","million","KualaLumpur",2055,2.323,"GCAM output"
"14","million","KualaLumpur",2060,2.351,"GCAM output"
"15","million","KualaLumpur",2065,2.367,"GCAM output"
"16","million","KualaLumpur",2070,2.369,"GCAM output"
"17","million","KualaLumpur",2075,2.361,"GCAM output"
"18","million","KualaLumpur",2080,2.345,"GCAM output"
"19","million","KualaLumpur",2085,2.325,"GCAM output"
"20","million","KualaLumpur",2090,2.303,"GCAM output"
"21","million","KualaLumpur",2095,2.281,"GCAM output"
"22","million","KualaLumpur",2100,2.258,"GCAM output"
"23","million","Malaysia",1975,12.162,"GCAM output"
"24","million","Malaysia",1990,18.03,"GCAM output"
"25","million","Malaysia",2005,25.691,"GCAM output"
"26","million","Malaysia",2010,28.208,"GCAM output"
"27","million","Malaysia",2015,30.271,"GCAM output"
"28","million","Malaysia",2020,32.491,"GCAM output"
"29","million","Malaysia",2025,34.626,"GCAM output"
"30","million","Malaysia",2030,36.649,"GCAM output"
"31","million","Malaysia",2035,38.499,"GCAM output"
"32","million","Malaysia",2040,40.098,"GCAM output"
"33","million","Malaysia",2045,41.478,"GCAM output"
"34","million","Malaysia",2050,42.669,"GCAM output"
"35","million","Malaysia",2055,43.678,"GCAM output"
"36","million","Malaysia",2060,44.505,"GCAM output"
"37","million","Malaysia",2065,45.135,"GCAM output"
"38","million","Malaysia",2070,45.579,"GCAM output"
"39","million","Malaysia",2075,45.819,"GCAM output"
"40","million","Malaysia",2080,45.843,"GCAM output"
"41","million","Malaysia",2085,45.673,"GCAM output"
"42","million","Malaysia",2090,45.327,"GCAM output"
"43","million","Malaysia",2095,44.866,"GCAM output"
"44","million","Malaysia",2100,44.317,"GCAM output"
