region,year,value,units,source
KualaLumpur,1975,2.73849,thousand (1990 USD),GCAM output
KualaLumpur,1990,5.51839,thousand (1990 USD),GCAM output
KualaLumpur,2005,7.53367,thousand (1990 USD),GCAM output
KualaLumpur,2010,10.5585,thousand (1990 USD),GCAM output
KualaLumpur,2015,12.9358,thousand (1990 USD),GCAM output
KualaLumpur,2020,15.6726,thousand (1990 USD),GCAM output
KualaLumpur,2025,17.0702,thousand (1990 USD),GCAM output
KualaLumpur,2030,18.9218,thousand (1990 USD),GCAM output
KualaLumpur,2035,20.787,thousand (1990 USD),GCAM output
KualaLumpur,2040,22.8091,thousand (1990 USD),GCAM output
KualaLumpur,2045,24.5924,thousand (1990 USD),GCAM output
KualaLumpur,2050,26.2953,thousand (1990 USD),GCAM output
KualaLumpur,2055,28.223,thousand (1990 USD),GCAM output
KualaLumpur,2060,30.0835,thousand (1990 USD),GCAM output
KualaLumpur,2065,32.2476,thousand (1990 USD),GCAM output
KualaLumpur,2070,34.3921,thousand (1990 USD),GCAM output
KualaLumpur,2075,36.4697,thousand (1990 USD),GCAM output
KualaLumpur,2080,38.6345,thousand (1990 USD),GCAM output
KualaLumpur,2085,40.7482,thousand (1990 USD),GCAM output
KualaLumpur,2090,42.9839,thousand (1990 USD),GCAM output
KualaLumpur,2095,45.143,thousand (1990 USD),GCAM output
KualaLumpur,2100,47.3354,thousand (1990 USD),GCAM output
Malaysia,1975,1.59974,thousand (1990 USD),GCAM output
Malaysia,1990,2.99271,thousand (1990 USD),GCAM output
Malaysia,2005,5.25981,thousand (1990 USD),GCAM output
Malaysia,2010,5.96319,thousand (1990 USD),GCAM output
Malaysia,2015,7.19326,thousand (1990 USD),GCAM output
Malaysia,2020,9.82627,thousand (1990 USD),GCAM output
Malaysia,2025,10.823,thousand (1990 USD),GCAM output
Malaysia,2030,12.1351,thousand (1990 USD),GCAM output
Malaysia,2035,13.7117,thousand (1990 USD),GCAM output
Malaysia,2040,15.4327,thousand (1990 USD),GCAM output
Malaysia,2045,17.1402,thousand (1990 USD),GCAM output
Malaysia,2050,18.7376,thousand (1990 USD),GCAM output
Malaysia,2055,20.1896,thousand (1990 USD),GCAM output
Malaysia,2060,21.5376,thousand (1990 USD),GCAM output
Malaysia,2065,22.8398,thousand (1990 USD),GCAM output
Malaysia,2070,24.1442,thousand (1990 USD),GCAM output
Malaysia,2075,25.5017,thousand (1990 USD),GCAM output
Malaysia,2080,27.0008,thousand (1990 USD),GCAM output
Malaysia,2085,28.6786,thousand (1990 USD),GCAM output
Malaysia,2090,30.5149,thousand (1990 USD),GCAM output
Malaysia,2095,32.4784,thousand (1990 USD),GCAM output
Malaysia,2100,34.5631,thousand (1990 USD),GCAM output
Rest of Malaysia,1975,1.44752,thousand (1990 USD),GCAM output
Rest of Malaysia,1990,2.69241,thousand (1990 USD),GCAM output
Rest of Malaysia,2005,5.06734,thousand (1990 USD),GCAM output
Rest of Malaysia,2010,5.60848,thousand (1990 USD),GCAM output
Rest of Malaysia,2015,6.78267,thousand (1990 USD),GCAM output
Rest of Malaysia,2020,9.44478,thousand (1990 USD),GCAM output
Rest of Malaysia,2025,10.4406,thousand (1990 USD),GCAM output
Rest of Malaysia,2030,11.7419,thousand (1990 USD),GCAM output
Rest of Malaysia,2035,13.3244,thousand (1990 USD),GCAM output
Rest of Malaysia,2040,15.0518,thousand (1990 USD),GCAM output
Rest of Malaysia,2045,16.7738,thousand (1990 USD),GCAM output
Rest of Malaysia,2050,18.3829,thousand (1990 USD),GCAM output
Rest of Malaysia,2055,19.831,thousand (1990 USD),GCAM output
Rest of Malaysia,2060,21.1748,thousand (1990 USD),GCAM output
Rest of Malaysia,2065,22.4584,thousand (1990 USD),GCAM output
Rest of Malaysia,2070,23.7446,thousand (1990 USD),GCAM output
Rest of Malaysia,2075,25.0883,thousand (1990 USD),GCAM output
Rest of Malaysia,2080,26.5749,thousand (1990 USD),GCAM output
Rest of Malaysia,2085,28.25,thousand (1990 USD),GCAM output
Rest of Malaysia,2090,30.0841,thousand (1990 USD),GCAM output
Rest of Malaysia,2095,32.053,thousand (1990 USD),GCAM output
Rest of Malaysia,2100,34.1441,thousand (1990 USD),GCAM output
