Units,scenario,region,year,value
thous,Ref_cities,KualaLumpur,1975,685
thous,Ref_cities,KualaLumpur,1990,1016
thous,Ref_cities,KualaLumpur,2005,1447
thous,Ref_cities,KualaLumpur,2010,1589
thous,Ref_cities,KualaLumpur,2015,1705
thous,Ref_cities,KualaLumpur,2020,1823
thous,Ref_cities,KualaLumpur,2025,1935
thous,Ref_cities,KualaLumpur,2030,2033
thous,Ref_cities,KualaLumpur,2035,2116
thous,Ref_cities,KualaLumpur,2040,2183
thous,Ref_cities,KualaLumpur,2045,2238
thous,Ref_cities,KualaLumpur,2050,2284
thous,Ref_cities,KualaLumpur,2055,2323
thous,Ref_cities,KualaLumpur,2060,2351
thous,Ref_cities,KualaLumpur,2065,2367
thous,Ref_cities,KualaLumpur,2070,2369
thous,Ref_cities,KualaLumpur,2075,2361
thous,Ref_cities,KualaLumpur,2080,2345
thous,Ref_cities,KualaLumpur,2085,2325
thous,Ref_cities,KualaLumpur,2090,2303
thous,Ref_cities,KualaLumpur,2095,2281
thous,Ref_cities,KualaLumpur,2100,2258
thous,Ref_cities,Malaysia,1975,12162
thous,Ref_cities,Malaysia,1990,18030
thous,Ref_cities,Malaysia,2005,25691
thous,Ref_cities,Malaysia,2010,28208
thous,Ref_cities,Malaysia,2015,30271
thous,Ref_cities,Malaysia,2020,32491
thous,Ref_cities,Malaysia,2025,34626
thous,Ref_cities,Malaysia,2030,36649
thous,Ref_cities,Malaysia,2035,38499
thous,Ref_cities,Malaysia,2040,40098
thous,Ref_cities,Malaysia,2045,41478
thous,Ref_cities,Malaysia,2050,42669
thous,Ref_cities,Malaysia,2055,43678
thous,Ref_cities,Malaysia,2060,44505
thous,Ref_cities,Malaysia,2065,45135
thous,Ref_cities,Malaysia,2070,45579
thous,Ref_cities,Malaysia,2075,45819
thous,Ref_cities,Malaysia,2080,45843
thous,Ref_cities,Malaysia,2085,45673
thous,Ref_cities,Malaysia,2090,45327
thous,Ref_cities,Malaysia,2095,44866
thous,Ref_cities,Malaysia,2100,44317
