Units,scenario,region,year,value
Thous90US$/per,Ref_cities,KualaLumpur,1975,1.26277
Thous90US$/per,Ref_cities,KualaLumpur,1990,4.97326
Thous90US$/per,Ref_cities,KualaLumpur,2005,16.6917
Thous90US$/per,Ref_cities,KualaLumpur,2010,22.9304
Thous90US$/per,Ref_cities,KualaLumpur,2015,25.7091
Thous90US$/per,Ref_cities,KualaLumpur,2020,28.1948
Thous90US$/per,Ref_cities,KualaLumpur,2025,32.382
Thous90US$/per,Ref_cities,KualaLumpur,2030,37.7075
Thous90US$/per,Ref_cities,KualaLumpur,2035,44.1266
Thous90US$/per,Ref_cities,KualaLumpur,2040,51.3488
Thous90US$/per,Ref_cities,KualaLumpur,2045,58.9745
Thous90US$/per,Ref_cities,KualaLumpur,2050,66.7113
Thous90US$/per,Ref_cities,KualaLumpur,2055,74.365
Thous90US$/per,Ref_cities,KualaLumpur,2060,81.912
Thous90US$/per,Ref_cities,KualaLumpur,2065,89.5631
Thous90US$/per,Ref_cities,KualaLumpur,2070,97.3817
Thous90US$/per,Ref_cities,KualaLumpur,2075,105.623
Thous90US$/per,Ref_cities,KualaLumpur,2080,114.714
Thous90US$/per,Ref_cities,KualaLumpur,2085,125.023
Thous90US$/per,Ref_cities,KualaLumpur,2090,136.627
Thous90US$/per,Ref_cities,KualaLumpur,2095,149.499
Thous90US$/per,Ref_cities,KualaLumpur,2100,163.647
Thous90US$/per,Ref_cities,Malaysia,1975,1.59982
Thous90US$/per,Ref_cities,Malaysia,1990,2.99286
Thous90US$/per,Ref_cities,Malaysia,2005,5.26008
Thous90US$/per,Ref_cities,Malaysia,2010,5.9635
Thous90US$/per,Ref_cities,Malaysia,2015,7.19363
Thous90US$/per,Ref_cities,Malaysia,2020,8.49641
Thous90US$/per,Ref_cities,Malaysia,2025,10.0182
Thous90US$/per,Ref_cities,Malaysia,2030,11.5172
Thous90US$/per,Ref_cities,Malaysia,2035,13.1192
Thous90US$/per,Ref_cities,Malaysia,2040,14.8461
Thous90US$/per,Ref_cities,Malaysia,2045,16.6158
Thous90US$/per,Ref_cities,Malaysia,2050,18.4362
Thous90US$/per,Ref_cities,Malaysia,2055,20.393
Thous90US$/per,Ref_cities,Malaysia,2060,22.4659
Thous90US$/per,Ref_cities,Malaysia,2065,24.6091
Thous90US$/per,Ref_cities,Malaysia,2070,26.8219
Thous90US$/per,Ref_cities,Malaysia,2075,29.1562
Thous90US$/per,Ref_cities,Malaysia,2080,31.5957
Thous90US$/per,Ref_cities,Malaysia,2085,34.1298
Thous90US$/per,Ref_cities,Malaysia,2090,36.7639
Thous90US$/per,Ref_cities,Malaysia,2095,39.4591
Thous90US$/per,Ref_cities,Malaysia,2100,42.2038
