Units,scenario,region,sector,year,value
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,1975,0.0108745
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,1990,0.0274386
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2005,0.0874091
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2010,0.103488
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2015,0.136311
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2020,0.146644
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2025,0.164804
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2030,0.18326
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2035,0.200312
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2040,0.216667
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2045,0.229717
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2050,0.239519
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2055,0.253157
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2060,0.264459
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2065,0.273713
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2070,0.28067
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2075,0.286063
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2080,0.290337
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2085,0.294025
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2090,0.297228
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2095,0.300098
MTC,Ref_cities,KualaLumpur,trn_aviation_intl,2100,0.302459
MTC,Ref_cities,KualaLumpur,trn_freight,1975,0.000411319
MTC,Ref_cities,KualaLumpur,trn_freight,1990,0.00301842
MTC,Ref_cities,KualaLumpur,trn_freight,2005,0.003324001
MTC,Ref_cities,KualaLumpur,trn_freight,2010,0.003931911
MTC,Ref_cities,KualaLumpur,trn_freight,2015,0.01276091
MTC,Ref_cities,KualaLumpur,trn_freight,2020,0.01351432
MTC,Ref_cities,KualaLumpur,trn_freight,2025,0.01578484
MTC,Ref_cities,KualaLumpur,trn_freight,2030,0.01869087
MTC,Ref_cities,KualaLumpur,trn_freight,2035,0.02202478
MTC,Ref_cities,KualaLumpur,trn_freight,2040,0.02556688
MTC,Ref_cities,KualaLumpur,trn_freight,2045,0.0294931
