year,region,value,units
1970,Thailand,28611152468,USD (constant 2005)
1970,Bangkok,8216158401,USD (constant 2005)
1970,Samut Prakan,1753095686,USD (constant 2005)
1970,Nonthaburi,469645050.3,USD (constant 2005)
1970,Rest of Thailand,18172253331,USD (constant 2005)
1971,Thailand,28336807243,USD (constant 2005)
1971,Bangkok,8137375702,USD (constant 2005)
1971,Samut Prakan,1736285687,USD (constant 2005)
1971,Nonthaburi,465141740.7,USD (constant 2005)
1971,Rest of Thailand,17998004113,USD (constant 2005)
1972,Thailand,30117192900,USD (constant 2005)
1972,Bangkok,8648642439,USD (constant 2005)
1972,Samut Prakan,1845375540,USD (constant 2005)
1972,Nonthaburi,494366334.6,USD (constant 2005)
1972,Rest of Thailand,19128808586,USD (constant 2005)
1973,Thailand,37856246873,USD (constant 2005)
1973,Bangkok,10871037828,USD (constant 2005)
1973,Samut Prakan,2319571822,USD (constant 2005)
1973,Nonthaburi,621401007.4,USD (constant 2005)
1973,Rest of Thailand,24044236215,USD (constant 2005)
1974,Thailand,43915674764,USD (constant 2005)
1974,Bangkok,12611101233,USD (constant 2005)
1974,Samut Prakan,2690852109,USD (constant 2005)
1974,Nonthaburi,720865030,USD (constant 2005)
1974,Rest of Thailand,27892856392,USD (constant 2005)
1975,Thailand,43654035869,USD (constant 2005)
1975,Bangkok,12535967363,USD (constant 2005)
1975,Samut Prakan,2674820668,USD (constant 2005)
1975,Nonthaburi,716570291.7,USD (constant 2005)
1975,Rest of Thailand,27726677547,USD (constant 2005)
1976,Thailand,47227748478,USD (constant 2005)
1976,Bangkok,13562217141,USD (constant 2005)
1976,Samut Prakan,2893793327,USD (constant 2005)
1976,Nonthaburi,775231907.6,USD (constant 2005)
1976,Rest of Thailand,29996506102,USD (constant 2005)
1977,Thailand,51784819805,USD (constant 2005)
1977,Bangkok,14870854390,USD (constant 2005)
1977,Samut Prakan,3173019482,USD (constant 2005)
1977,Nonthaburi,850035115.8,USD (constant 2005)
1977,Rest of Thailand,32890910817,USD (constant 2005)
1978,Thailand,58728694685,USD (constant 2005)
1978,Bangkok,16864901152,USD (constant 2005)
1978,Samut Prakan,3598492630,USD (constant 2005)
1978,Nonthaburi,964017118.8,USD (constant 2005)
1978,Rest of Thailand,37301283784,USD (constant 2005)
1979,Thailand,61854956401,USD (constant 2005)
1979,Bangkok,17762658119,USD (constant 2005)
1979,Samut Prakan,3790048560,USD (constant 2005)
1979,Nonthaburi,1015333938,USD (constant 2005)
1979,Rest of Thailand,39286915784,USD (constant 2005)
1980,Thailand,67064657494,USD (constant 2005)
1980,Bangkok,19258708635,USD (constant 2005)
1980,Samut Prakan,4109263402,USD (constant 2005)
1980,Nonthaburi,1100849904,USD (constant 2005)
1980,Rest of Thailand,42595835554,USD (constant 2005)
1981,Thailand,66063968879,USD (constant 2005)
1981,Bangkok,18971344602,USD (constant 2005)
1981,Samut Prakan,4047948049,USD (constant 2005)
1981,Nonthaburi,1084423846,USD (constant 2005)
1981,Rest of Thailand,41960252383,USD (constant 2005)
1982,Thailand,65317724147,USD (constant 2005)
1982,Bangkok,18757048273,USD (constant 2005)
1982,Samut Prakan,4002223277,USD (constant 2005)
1982,Nonthaburi,1072174421,USD (constant 2005)
1982,Rest of Thailand,41486278175,USD (constant 2005)
1983,Thailand,68766162616,USD (constant 2005)
1983,Bangkok,19747323542,USD (constant 2005)
1983,Samut Prakan,4213519995,USD (constant 2005)
1983,Nonthaburi,1128779693,USD (constant 2005)
1983,Rest of Thailand,43676539386,USD (constant 2005)
1984,Thailand,69319528747,USD (constant 2005)
1984,Bangkok,19906231639,USD (constant 2005)
1984,Samut Prakan,4247426486,USD (constant 2005)
1984,Nonthaburi,1137863062,USD (constant 2005)
1984,Rest of Thailand,44028007560,USD (constant 2005)
1985,Thailand,62515669483,USD (constant 2005)
1985,Bangkok,17952392641,USD (constant 2005)
1985,Samut Prakan,3830532537,USD (constant 2005)
1985,Nonthaburi,1026179381,USD (constant 2005)
1985,Rest of Thailand,39706564923,USD (constant 2005)
1986,Thailand,67889091228,USD (constant 2005)
1986,Bangkok,19495458209,USD (constant 2005)
1986,Samut Prakan,4159779061,USD (constant 2005)
1986,Nonthaburi,1114382781,USD (constant 2005)
1986,Rest of Thailand,43119471178,USD (constant 2005)
1987,Thailand,77626349416,USD (constant 2005)
1987,Bangkok,22291670481,USD (constant 2005)
1987,Samut Prakan,4756411627,USD (constant 2005)
1987,Nonthaburi,1274217486,USD (constant 2005)
1987,Rest of Thailand,49304049822,USD (constant 2005)
1988,Thailand,91520802466,USD (constant 2005)
1988,Bangkok,26281688964,USD (constant 2005)
1988,Samut Prakan,5607768654,USD (constant 2005)
1988,Nonthaburi,1502291525,USD (constant 2005)
1988,Rest of Thailand,58129053323,USD (constant 2005)
1989,Thailand,1.03215E+11,USD (constant 2005)
1989,Bangkok,29639838946,USD (constant 2005)
1989,Samut Prakan,6324302824,USD (constant 2005)
1989,Nonthaburi,1694247235,USD (constant 2005)
1989,Rest of Thailand,65556508982,USD (constant 2005)
1990,Thailand,1.17571E+11,USD (constant 2005)
1990,Bangkok,33762295784,USD (constant 2005)
1990,Samut Prakan,7203918448,USD (constant 2005)
1990,Nonthaburi,1929891602,USD (constant 2005)
1990,Rest of Thailand,74674435674,USD (constant 2005)
1991,Thailand,1.3097E+11,USD (constant 2005)
1991,Bangkok,37610197944,USD (constant 2005)
1991,Samut Prakan,8024951873,USD (constant 2005)
1991,Nonthaburi,2149842109,USD (constant 2005)
1991,Rest of Thailand,83185110545,USD (constant 2005)
1992,Thailand,1.45281E+11,USD (constant 2005)
1992,Bangkok,41719820195,USD (constant 2005)
1992,Samut Prakan,8901828960,USD (constant 2005)
1992,Nonthaburi,2384752837,USD (constant 2005)
1992,Rest of Thailand,92274650085,USD (constant 2005)
1993,Thailand,1.64105E+11,USD (constant 2005)
1993,Bangkok,47125357004,USD (constant 2005)
1993,Samut Prakan,10055217538,USD (constant 2005)
1993,Nonthaburi,2693739529,USD (constant 2005)
1993,Rest of Thailand,1.0423E+11,USD (constant 2005)
1994,Thailand,1.8287E+11,USD (constant 2005)
1994,Bangkok,52514148804,USD (constant 2005)
1994,Samut Prakan,11205033205,USD (constant 2005)
1994,Nonthaburi,3001769057,USD (constant 2005)
1994,Rest of Thailand,1.16149E+11,USD (constant 2005)
1995,Thailand,2.06729E+11,USD (constant 2005)
1995,Bangkok,59365528504,USD (constant 2005)
1995,Samut Prakan,12666923740,USD (constant 2005)
1995,Nonthaburi,3393401789,USD (constant 2005)
1995,Rest of Thailand,1.31303E+11,USD (constant 2005)
1996,Thailand,2.19521E+11,USD (constant 2005)
1996,Bangkok,63038964444,USD (constant 2005)
1996,Samut Prakan,13450731011,USD (constant 2005)
1996,Nonthaburi,3603379606,USD (constant 2005)
1996,Rest of Thailand,1.39428E+11,USD (constant 2005)
1997,Thailand,1.77086E+11,USD (constant 2005)
1997,Bangkok,50853190804,USD (constant 2005)
1997,Samut Prakan,10850631773,USD (constant 2005)
1997,Nonthaburi,2906826790,USD (constant 2005)
1997,Rest of Thailand,1.12476E+11,USD (constant 2005)
1998,Thailand,1.32602E+11,USD (constant 2005)
1998,Bangkok,38078702889,USD (constant 2005)
1998,Samut Prakan,8124917570,USD (constant 2005)
1998,Nonthaburi,2176622390,USD (constant 2005)
1998,Rest of Thailand,84221335766,USD (constant 2005)
1999,Thailand,1.45532E+11,USD (constant 2005)
1999,Bangkok,41791914078,USD (constant 2005)
1999,Samut Prakan,8917211754,USD (constant 2005)
1999,Nonthaburi,2388873806,USD (constant 2005)
1999,Rest of Thailand,92434105177,USD (constant 2005)
2000,Thailand,1.41983E+11,USD (constant 2005)
2000,Bangkok,40772679541,USD (constant 2005)
2000,Samut Prakan,8699735948,USD (constant 2005)
2000,Nonthaburi,2330613189,USD (constant 2005)
2000,Rest of Thailand,90179792723,USD (constant 2005)
2001,Thailand,1.32123E+11,USD (constant 2005)
2001,Bangkok,37941129661,USD (constant 2005)
2001,Samut Prakan,8095563337,USD (constant 2005)
2001,Nonthaburi,2168758546,USD (constant 2005)
2001,Rest of Thailand,83917055417,USD (constant 2005)
2002,Thailand,1.45275E+11,USD (constant 2005)
2002,Bangkok,41718216180,USD (constant 2005)
2002,Samut Prakan,8901486708,USD (constant 2005)
2002,Nonthaburi,2384661149,USD (constant 2005)
2002,Rest of Thailand,92271102372,USD (constant 2005)
2003,Thailand,1.61504E+11,USD (constant 2005)
2003,Bangkok,46378421755,USD (constant 2005)
2003,Samut Prakan,9895842694,USD (constant 2005)
2003,Nonthaburi,2651043852,USD (constant 2005)
2003,Rest of Thailand,1.02578E+11,USD (constant 2005)
2004,Thailand,1.7846E+11,USD (constant 2005)
2004,Bangkok,51247702053,USD (constant 2005)
2004,Samut Prakan,10934809309,USD (constant 2005)
2004,Nonthaburi,2929377506,USD (constant 2005)
2004,Rest of Thailand,1.13348E+11,USD (constant 2005)
2005,Thailand,1.89319E+11,USD (constant 2005)
2005,Bangkok,54366034157,USD (constant 2005)
2005,Samut Prakan,11600173132,USD (constant 2005)
2005,Nonthaburi,3107624950,USD (constant 2005)
2005,Rest of Thailand,1.20245E+11,USD (constant 2005)
2006,Thailand,2.15148E+11,USD (constant 2005)
2006,Bangkok,61783350394,USD (constant 2005)
2006,Samut Prakan,13182818507,USD (constant 2005)
2006,Nonthaburi,3531607265,USD (constant 2005)
2006,Rest of Thailand,1.36651E+11,USD (constant 2005)
2007,Thailand,2.48492E+11,USD (constant 2005)
2007,Bangkok,71358651358,USD (constant 2005)
2007,Samut Prakan,15225916752,USD (constant 2005)
2007,Nonthaburi,4078942465,USD (constant 2005)
2007,Rest of Thailand,1.57829E+11,USD (constant 2005)
2008,Thailand,2.70074E+11,USD (constant 2005)
2008,Bangkok,77556075849,USD (constant 2005)
2008,Samut Prakan,16548271751,USD (constant 2005)
2008,Nonthaburi,4433194367,USD (constant 2005)
2008,Rest of Thailand,1.71536E+11,USD (constant 2005)
2009,Thailand,2.59139E+11,USD (constant 2005)
2009,Bangkok,74416097640,USD (constant 2005)
2009,Samut Prakan,15878289263,USD (constant 2005)
2009,Nonthaburi,4253709606,USD (constant 2005)
2009,Rest of Thailand,1.64591E+11,USD (constant 2005)
2010,Thailand,3.09853E+11,USD (constant 2005)
2010,Bangkok,88979430253,USD (constant 2005)
2010,Samut Prakan,18985692300,USD (constant 2005)
2010,Nonthaburi,5086166424,USD (constant 2005)
2010,Rest of Thailand,1.96802E+11,USD (constant 2005)
2011,Thailand,3.30496E+11,USD (constant 2005)
2011,Bangkok,97985664283,USD (constant 2005)
2011,Samut Prakan,17602007908,USD (constant 2005)
2011,Nonthaburi,5161713889,USD (constant 2005)
2011,Rest of Thailand,2.09747E+11,USD (constant 2005)
2012,Thailand,3.47902E+11,USD (constant 2005)
2012,Bangkok,1.03043E+11,USD (constant 2005)
2012,Samut Prakan,19744060889,USD (constant 2005)
2012,Nonthaburi,5602702661,USD (constant 2005)
2012,Rest of Thailand,2.19512E+11,USD (constant 2005)
2013,Thailand,3.62005E+11,USD (constant 2005)
2013,Bangkok,1.10886E+11,USD (constant 2005)
2013,Samut Prakan,18383400455,USD (constant 2005)
2013,Nonthaburi,6218139096,USD (constant 2005)
2013,Rest of Thailand,2.26517E+11,USD (constant 2005)
2014,Thailand,3.44502E+11,USD (constant 2005)
2014,Bangkok,1.09475E+11,USD (constant 2005)
2014,Samut Prakan,17341968680,USD (constant 2005)
