year,region,value
1970,Thailand,813.4425871402627
1970,Bangkok,2637.558635219395
1970,Nonthaburi,762.1166273939142
1970,Samut Prakan,2654.279583010529
1970,Rest of Thailand,590.3696696849362
1971,Thailand,784.7158682660877
1971,Bangkok,2544.4132717654466
1971,Nonthaburi,735.2024844038764
1971,Samut Prakan,2560.543719410535
1971,Rest of Thailand,569.5207692204287
1972,Thailand,812.9036975983911
1972,Bangkok,2635.81130506105
1972,Nonthaburi,761.6117402799597
1972,Samut Prakan,2652.5211755567025
1972,Rest of Thailand,589.9785615159504
1973,Thailand,996.5606126530831
1973,Bangkok,3231.312315062548
1973,Nonthaburi,933.6804159453482
1973,Samut Prakan,3251.797396908895
1973,Rest of Thailand,723.2706634913012
1974,Thailand,1128.215747626188
1974,Bangkok,3658.1994040949426
1974,Nonthaburi,1057.0284788953545
1974,Samut Prakan,3681.390760081742
1974,Rest of Thailand,818.8215969869863
1975,Thailand,1095.104832602989
1975,Bangkok,3550.8384406783634
1975,Nonthaburi,1026.0067703121827
1975,Samut Prakan,3573.3491759426033
1975,Rest of Thailand,794.7907922636517
1976,Thailand,1157.518021874132
1976,Bangkok,3753.210985362086
1976,Nonthaburi,1084.4818613194593
1976,Samut Prakan,3777.004672485227
1976,Rest of Thailand,840.088216466049
1977,Thailand,1240.6857881566398
1977,Bangkok,4022.879507269106
1977,Nonthaburi,1162.401973382858
1977,Samut Prakan,4048.382772793846
1977,Rest of Thailand,900.4486247909352
1978,Thailand,1376.1250223782747
1978,Bangkok,4462.036403424062
1978,Nonthaburi,1289.2953694671332
1978,Samut Prakan,4490.323728205219
1978,Rest of Thailand,998.7459321041797
1979,Thailand,1418.2085560703947
1979,Bangkok,4598.49076350425
1979,Nonthaburi,1328.7235494927336
1979,Samut Prakan,4627.643148193575
1979,Rest of Thailand,1029.2887660764413
1980,Thailand,1505.2834107135743
1980,Bangkok,4880.827880352291
1980,Nonthaburi,1410.3042235324033
1980,Samut Prakan,4911.770156696451
1980,Rest of Thailand,1092.4848096402309
1981,Thailand,1452.2478329595165
1981,Bangkok,4708.8619072270785
1981,Nonthaburi,1360.615042895933
1981,Samut Prakan,4738.713995842297
1981,Rest of Thailand,1053.9933450732126
1982,Thailand,1406.8354887347723
1982,Bangkok,4561.61399748016
1982,Nonthaburi,1318.0680910031306
1982,Samut Prakan,4590.532599886444
1982,Rest of Thailand,1021.0345707436878
1983,Thailand,1451.77913537721
1983,Bangkok,4707.3421719992175
1983,Nonthaburi,1360.1759188245578
1983,Samut Prakan,4737.184626169515
1983,Rest of Thailand,1053.6531799020959
1984,Thailand,1435.043919905708
1984,Bangkok,4653.078831504227
1984,Nonthaburi,1344.4966487992567
1984,Samut Prakan,4682.577280247962
1984,Rest of Thailand,1041.507315170879
1985,Thailand,1269.5391472475744
1985,Bangkok,4116.43549711828
1985,Nonthaburi,1189.4347659449925
1985,Samut Prakan,4142.531865977645
1985,Rest of Thailand,921.3894365275094
1986,Thailand,1352.8898317219146
1986,Bangkok,4386.697124751548
1986,Nonthaburi,1267.52625457221
1986,Samut Prakan,4414.506832038827
1986,Rest of Thailand,981.8826008135394
1987,Thailand,1518.5482514789728
1987,Bangkok,4923.838654386862
1987,Nonthaburi,1422.7320898217542
1987,Samut Prakan,4955.053599894651
1987,Rest of Thailand,1102.1119914289577
1988,Thailand,1758.095645015988
1988,Bangkok,5700.56255150796
1988,Nonthaburi,1647.1647105740699
1988,Samut Prakan,5736.70158080993
1988,Rest of Thailand,1275.9675502994571
1989,Thailand,1947.6429254112977
1989,Bangkok,6315.1628614654155
1989,Nonthaburi,1824.7520859467008
1989,Samut Prakan,6355.198183178858
1989,Rest of Thailand,1413.5346842136807
1990,Thailand,2179.946407025922
1990,Bangkok,7068.398632017139
1990,Nonthaburi,2042.3978654262476
1990,Samut Prakan,7113.209133256688
1990,Rest of Thailand,1582.1328518970724
1991,Thailand,2401.2449373293066
1991,Bangkok,7785.951239651152
1991,Nonthaburi,2249.733075345573
1991,Samut Prakan,7835.3107050462
1991,Rest of Thailand,1742.7439906576783
1992,Thailand,2634.1746138708622
1992,Bangkok,8541.217424964736
1992,Nonthaburi,2467.9655385977035
1992,Samut Prakan,8595.364941811764
1992,Rest of Thailand,1911.796629864956
1993,Thailand,2942.938404861248
1993,Bangkok,9542.373027147813
1993,Nonthaburi,2757.2471950674267
1993,Samut Prakan,9602.867424906364
1993,Rest of Thailand,2135.8871559566655
1994,Thailand,3243.9875594963733
1994,Bangkok,10518.514195542844
1994,Nonthaburi,3039.300987231064
1994,Samut Prakan,10585.196893836432
1994,Rest of Thailand,2354.3786546691886
1995,Thailand,3627.9754857799194
1995,Bangkok,11763.58137889468
1995,Nonthaburi,3399.060345747092
1995,Samut Prakan,11838.157248961315
1995,Rest of Thailand,2633.0643649907834
1996,Thailand,3811.675974572285
1996,Bangkok,12359.223675189627
1996,Nonthaburi,3571.1698457687708
1996,Samut Prakan,12437.575652299172
