year,region,scenario,value
1950,Thailand,pop_nso,19748711.115856834
1951,Thailand,pop_nso,20519921.647723045
1952,Thailand,pop_nso,21291132.179589253
1953,Thailand,pop_nso,22062342.711455464
1954,Thailand,pop_nso,22833553.243321676
1955,Thailand,pop_nso,23604763.775187887
1956,Thailand,pop_nso,24375974.307054095
1957,Thailand,pop_nso,25147184.838920306
1958,Thailand,pop_nso,25918395.370786518
1959,Thailand,pop_nso,26689605.902652726
1960,Thailand,pop_nso,27460816.434518937
1961,Thailand,pop_nso,28232026.96638515
1962,Thailand,pop_nso,29003237.498251356
1963,Thailand,pop_nso,29774448.030117568
1964,Thailand,pop_nso,30545658.56198378
1965,Thailand,pop_nso,31316869.093849987
1966,Thailand,pop_nso,32088079.625716202
1967,Thailand,pop_nso,32859290.15758241
1968,Thailand,pop_nso,33630500.68944862
1969,Thailand,pop_nso,34401711.22131483
1970,Thailand,pop_nso,35172921.75318104
1971,Thailand,pop_nso,36110914.012433216
1972,Thailand,pop_nso,37048906.27168539
1973,Thailand,pop_nso,37986898.53093757
1974,Thailand,pop_nso,38924890.79018974
1975,Thailand,pop_nso,39862883.04944192
1976,Thailand,pop_nso,40800875.3086941
1977,Thailand,pop_nso,41738867.56794628
1978,Thailand,pop_nso,42676859.82719845
1979,Thailand,pop_nso,43614852.08645063
1980,Thailand,pop_nso,44552844.345702805
1981,Thailand,pop_nso,45490836.60495498
1982,Thailand,pop_nso,46428828.864207156
1983,Thailand,pop_nso,47366821.12345933
1984,Thailand,pop_nso,48304813.38271151
1985,Thailand,pop_nso,49242805.64196369
1986,Thailand,pop_nso,50180797.901215866
1987,Thailand,pop_nso,51118790.16046804
1988,Thailand,pop_nso,52056782.41972022
1989,Thailand,pop_nso,52994774.67897239
1990,Thailand,pop_nso,53932766.93822457
1991,Thailand,pop_nso,54542583.48861522
1992,Thailand,pop_nso,55152400.039005876
1993,Thailand,pop_nso,55762216.58939653
1994,Thailand,pop_nso,56372033.13978718
1995,Thailand,pop_nso,56981849.69017784
1996,Thailand,pop_nso,57591666.2405685
1997,Thailand,pop_nso,58201482.79095915
1998,Thailand,pop_nso,58811299.3413498
1999,Thailand,pop_nso,59421115.891740456
2000,Thailand,pop_nso,60030932.44213111
2001,Thailand,pop_nso,60500667.5988511
2002,Thailand,pop_nso,60970402.7555711
2003,Thailand,pop_nso,61440137.91229109
2004,Thailand,pop_nso,61909873.069011085
2005,Thailand,pop_nso,62379608.225731075
2006,Thailand,pop_nso,62718893.18058486
2007,Thailand,pop_nso,63058178.13543864
2008,Thailand,pop_nso,63397463.09029243
2009,Thailand,pop_nso,63736748.04514621
2010,Thailand,pop_nso,64076033
2011,Thailand,pop_nso,64076033
2012,Thailand,pop_nso,64456695
2013,Thailand,pop_nso,64785909
2014,Thailand,pop_nso,65124716
2015,Thailand,pop_nso,65729098
2016,Thailand,pop_nso,65931550
2017,Thailand,pop_nso,66188503
2018,Thailand,pop_nso,66413979
2019,Thailand,pop_nso,66558935
2020,Thailand,pop_nso,66186727
2021,Thailand,pop_nso,66238500.571550146
2022,Thailand,pop_nso,66290274.143100284
2023,Thailand,pop_nso,66342047.71465043
2024,Thailand,pop_nso,66393821.286200576
2025,Thailand,pop_nso,66445594.857750714
2026,Thailand,pop_nso,66497368.42930086
2027,Thailand,pop_nso,66549142.000851005
2028,Thailand,pop_nso,66600915.57240115
2029,Thailand,pop_nso,66652689.14395129
2030,Thailand,pop_nso,66704462.715501435
2031,Thailand,pop_nso,66495566.784869626
2032,Thailand,pop_nso,66286670.854237825
