"","region","year","value"
"1","Thailand",2010,309853330619.232
"2","Thailand",2011,330496392264.046
"3","Thailand",2012,347901691941.757
"4","Thailand",2013,362004909342.839
"5","Thailand",2014,344502280432.246
"6","Thailand",2015,335653041179.257
"7","Thailand",2016,341515116602.83
"8","Thailand",2017,370003751700.568
"9","Thailand",2018,400752194506.193
"10","Thailand",2019,423147826399.079
"11","Bangkok",2010,88979430253.2435
"12","Bangkok",2011,97985664282.633
"13","Bangkok",2012,103043151910.441
"14","Bangkok",2013,110886022202.318
"15","Bangkok",2014,109474668127.186
"16","Bangkok",2015,109115267111.7
"17","Bangkok",2016,111910116433.625
"18","Bangkok",2017,121153571223.66
"19","Bangkok",2018,132444683388.201
"20","Bangkok",2019,142983572214.578
"21","Samut Prakan",2010,18985692300.2359
"22","Samut Prakan",2011,17602007907.9649
"23","Samut Prakan",2012,19744060888.9854
"24","Samut Prakan",2013,18383400455.3559
"25","Samut Prakan",2014,17341968679.6902
"26","Samut Prakan",2015,16789956892.9078
"27","Samut Prakan",2016,16452385762.8087
"28","Samut Prakan",2017,17430399899.699
"29","Samut Prakan",2018,19384223259.6012
"30","Samut Prakan",2019,19344252928.8604
"31","Nonthaburi",2010,5086166423.90059
"32","Nonthaburi",2011,5161713888.9258
"33","Nonthaburi",2012,5602702660.58478
"34","Nonthaburi",2013,6218139095.56541
"35","Nonthaburi",2014,6596584365.89324
"36","Nonthaburi",2015,6651184410.71423
"37","Nonthaburi",2016,6775770251.83431
"38","Nonthaburi",2017,7576008479.93183
"39","Nonthaburi",2018,7994644315.37992
"40","Nonthaburi",2019,8649495206.99162
"41","Thailand",2020,439650591628.643
"42","Thailand",2021,456357314110.531
"43","Thailand",2022,474155249360.842
"44","Thailand",2023,492173148836.554
"45","Thailand",2024,511367901641.179
"46","Thailand",2025,530799881903.544
"47","Thailand",2026,550439477533.975
"48","Thailand",2027,571356177680.266
"49","Thailand",2028,592496356254.436
"50","Thailand",2029,614418721435.85
"51","Thailand",2030,637152214128.976
"52","Thailand",2031,660726846051.748
"53","Thailand",2032,685173739355.663
"54","Thailand",2033,710525167711.823
"55","Thailand",2034,736104073749.448
"56","Thailand",2035,762603820404.428
"57","Thailand",2036,790057557938.988
"58","Thailand",2037,818499630024.791
"59","Thailand",2038,847965616705.684
"60","Thailand",2039,878492378907.088
"61","Thailand",2040,910118104547.744
"62","Thailand",2041,942882356311.462
"63","Thailand",2042,976826121138.675
"64","Thailand",2043,1011991861499.67
"65","Thailand",2044,1048423568513.66
"66","Thailand",2045,1086166816980.15
"67","Thailand",2046,1125268822391.43
"68","Thailand",2047,1165778499997.52
"69","Thailand",2048,1207746525997.43
"70","Thailand",2049,1251225400933.34
"71","Thailand",2050,1296269515366.94
"72","Thailand",2051,1342935217920.15
"73","Thailand",2052,1391280885765.28
"74","Thailand",2053,1441366997652.83
"75","Thailand",2054,1493256209568.33
"76","Thailand",2055,1547013433112.79
"77","Thailand",2056,1602705916704.85
"78","Thailand",2057,1660403329706.23
"79","Thailand",2058,1720177849575.65
"80","Thailand",2059,1782104252160.37
"81","Thailand",2060,1846260005238.15
"82","Thailand",2061,1912725365426.72
"83","Thailand",2062,1981583478582.08
"84","Thailand",2063,2052920483811.04
"85","Thailand",2064,2126825621228.23
"86","Thailand",2065,2203391343592.45
"87","Thailand",2066,2282713431961.78
"88","Thailand",2067,2364891115512.4
"89","Thailand",2068,2450027195670.85
"90","Thailand",2069,2538228174715
"91","Thailand",2070,2629604389004.74
"92","Thailand",2071,2724270147008.91
"93","Thailand",2072,2822343872301.23
"94","Thailand",2073,2923948251704.08
"95","Thailand",2074,3029210388765.42
"96","Thailand",2075,3138261962760.98
"97","Thailand",2076,3251239393420.37
"98","Thailand",2077,3368284011583.51
