"","class","year","units","value"
"1","biogas",2018,"EJ",0.0076380192
"2","biogas",2019,"EJ",0.0080795232
"3","biogas",2020,"EJ",0.0080795232
"4","biogas",2021,"EJ",0.0084327264
"5","biogas",2022,"EJ",0.0088521552
"6","biogas",2023,"EJ",0.0090949824
"7","biogas",2024,"EJ",0.0093378096
"8","biogas",2025,"EJ",0.0097793136
"9","biogas",2026,"EJ",0.0108389232
"10","biogas",2027,"EJ",0.0118985328
"11","biogas",2028,"EJ",0.0122075856
"12","biogas",2029,"EJ",0.012803616
"13","biogas",2030,"EJ",0.0138190752
"14","biogas",2031,"EJ",0.0158279184
"15","biogas",2032,"EJ",0.0172407312
"16","biogas",2033,"EJ",0.0197793792
"17","biogas",2034,"EJ",0.0204857856
"18","biogas",2035,"EJ",0.0204857856
"19","biogas",2036,"EJ",0.0204857856
"20","biogas",2037,"EJ",0.0204857856
"21","biomass",2018,"EJ",0.038962728
"22","biomass",2019,"EJ",0.0443270016
"23","biomass",2020,"EJ",0.0450775584
"24","biomass",2021,"EJ",0.05187672
"25","biomass",2022,"EJ",0.0554970528
"26","biomass",2023,"EJ",0.0577928736
"27","biomass",2024,"EJ",0.0571968432
"28","biomass",2025,"EJ",0.055850256
"29","biomass",2026,"EJ",0.0552100752
"30","biomass",2027,"EJ",0.0562696848
"31","biomass",2028,"EJ",0.0597354912
"32","biomass",2029,"EJ",0.0643271328
"33","biomass",2030,"EJ",0.068874624
"34","biomass",2031,"EJ",0.0760932144
"35","biomass",2032,"EJ",0.0786097872
"36","biomass",2033,"EJ",0.0940624272
"37","biomass",2034,"EJ",0.0948571344
"38","biomass",2035,"EJ",0.099669528
"39","biomass",2036,"EJ",0.1040183424
"40","biomass",2037,"EJ",0.103532688
"41","coal",2018,"EJ",0.134879472
"42","coal",2019,"EJ",0.134879472
"43","coal",2020,"EJ",0.134879472
"44","coal",2021,"EJ",0.134879472
"45","coal",2022,"EJ",0.122958864
"46","coal",2023,"EJ",0.122958864
"47","coal",2024,"EJ",0.118985328
"48","coal",2025,"EJ",0.0938196
"49","coal",2026,"EJ",0.113025024
"50","coal",2027,"EJ",0.118985328
"51","coal",2028,"EJ",0.118985328
"52","coal",2029,"EJ",0.118985328
"53","coal",2030,"EJ",0.118985328
"54","coal",2031,"EJ",0.118985328
"55","coal",2032,"EJ",0.0892500336
"56","coal",2033,"EJ",0.1113252336
"57","coal",2034,"EJ",0.1334004336
"58","coal",2035,"EJ",0.1334004336
"59","coal",2036,"EJ",0.1334004336
"60","coal",2037,"EJ",0.1188308016
"61","conservation",2018,"EJ",0
"62","conservation",2019,"EJ",0
"63","conservation",2020,"EJ",0
"64","conservation",2021,"EJ",0
"65","conservation",2022,"EJ",0
"66","conservation",2023,"EJ",0
"67","conservation",2024,"EJ",0
"68","conservation",2025,"EJ",0
"69","conservation",2026,"EJ",0
"70","conservation",2027,"EJ",0
"71","conservation",2028,"EJ",0
"72","conservation",2029,"EJ",0
"73","conservation",2030,"EJ",0
"74","conservation",2031,"EJ",0
"75","conservation",2032,"EJ",0.011163744
"76","conservation",2033,"EJ",0.017534016
"77","conservation",2034,"EJ",0.04462344
"78","conservation",2035,"EJ",0.07694784
"79","conservation",2036,"EJ",0.1040688
"80","conservation",2037,"EJ",0.126144
"81","diesel",2018,"EJ",0.001324512
"82","diesel",2019,"EJ",0.001324512
"83","diesel",2020,"EJ",0.001324512
"84","diesel",2021,"EJ",0.001324512
"85","diesel",2022,"EJ",0.001324512
"86","diesel",2023,"EJ",0.001324512
"87","diesel",2024,"EJ",0.001324512
"88","diesel",2025,"EJ",0.001324512
"89","diesel",2026,"EJ",0.001324512
"90","diesel",2027,"EJ",0.001324512
"91","diesel",2028,"EJ",0.001324512
"92","diesel",2029,"EJ",0.001324512
"93","diesel",2030,"EJ",0.001324512
"94","diesel",2031,"EJ",0.001324512
