building final energy by tech
scenario,region,sector,subsector,input,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2080,2095,Units,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,comm cooking,biomass,delivered biomass,biomass,0.0,0.0,0.0,0.0,0.0022257,0.00261482,0.00306814,0.003349,0.00334723,0.00328764,0.00324335,0.00319532,0.00313769,0.00310271,0.00303344,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,comm cooking,coal,delivered coal,coal,0.0,0.0,0.0,0.0,0.0341208,0.0379313,0.0411248,0.0439288,0.0466798,0.0484645,0.0505407,0.0513413,0.0506013,0.0498312,0.0483496,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,comm cooking,electricity,elect_td_bld,electricity,0.0,0.0,0.0,0.0,7.66601E-4,9.08483E-4,0.00114095,0.00135453,0.00152761,0.00162574,0.00159594,0.00161027,0.00167264,0.00171223,0.00188986,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,comm cooking,gas,delivered gas,gas,0.0,0.0,1.2E-5,1.35999E-5,0.00504977,0.00552716,0.0063362,0.00673922,0.0068543,0.00692147,0.00672649,0.0066431,0.00663744,0.00658457,0.00639613,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,comm cooking,refined liquids,refined liquids enduse,refined liquids,0.0058315,0.007986,0.0144603,0.0108314,7.41139E-4,8.72349E-4,0.0010172,0.00114376,0.0012537,0.00132724,0.00138603,0.00140749,0.00138581,0.00136868,0.00131208,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,comm hvac,electricity,elect_td_bld,electricity,0.008943,0.0245926,0.0284187,0.0316952,0.043767600000000004,0.048169569999999995,0.05314792,0.05617827,0.057792539999999996,0.057923999999999996,0.05752744,0.05717179,0.05613635,0.054833419999999994,0.05295788,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,comm lighting,electricity,elect_td_bld,electricity,0.004065,0.0111785,0.0129176,0.0144069,0.0206059,0.0231537,0.0262033,0.028371,0.0302988,0.0315695,0.0322789,0.0327584,0.0328482,0.0328124,0.0321096,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,comm others,electricity,elect_td_bld,electricity,0.003252,0.0089428,0.0103341,0.0115255,0.0159352,0.0177083,0.0198093,0.0213123,0.0223529,0.0229354,0.0231291,0.0231498,0.0229045,0.0225857,0.0221414,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban air conditioners,electricity,elect_td_bld,air conditioner (hi-eff),2.54097E-4,7.04103E-4,7.83501E-4,0.0011189,0.0032627800000000003,0.004093789,0.005008619,0.005655716,0.006123715,0.006455891,0.006823070999999999,0.0073387999999999995,0.007840638,0.008344194,0.008590305,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban air conditioners,electricity,elect_td_bld,air conditioner (lo-eff),8.75391E-4,0.00242521,0.0026988,0.00385379,0.01112835,0.01399274,0.01733021,0.01985851,0.021657445,0.022458290000000002,0.022486705999999995,0.022193958,0.021324046,0.020291992000000002,0.01919256,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban cooking,biomass,delivered biomass,biomass,0.055061,0.0405446,0.043032,0.043911,0.00935425,0.0133839,0.0188204,0.0231426,0.0251979,0.0262132,0.0269471,0.0274958,0.0277212,0.0280253,0.0278776,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban cooking,coal,delivered coal,coal,0.0,0.0,0.0,0.0,0.143404,0.19415,0.252265,0.303561,0.351405,0.38642,0.419913,0.441794,0.447059,0.450101,0.444337,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban cooking,electricity,elect_td_bld,electricity,1.27001E-5,3.50999E-5,3.90997E-5,5.58001E-5,0.0032219,0.00465005,0.00699877,0.0093602,0.0114998,0.0129624,0.0132597,0.0138565,0.0147776,0.0154657,0.017368,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban cooking,gas,delivered gas,gas,0.0,0.0,0.0,0.0,0.0212234,0.0282906,0.0388671,0.04657,0.0515992,0.0551867,0.0558864,0.0571641,0.0586413,0.0594753,0.058781,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban cooking,refined liquids,refined liquids enduse,refined liquids,0.00837878,0.0182001,0.0197434,0.0223505,0.00311489,0.0044651,0.00623965,0.00790373,0.00943782,0.0105825,0.0115157,0.0121115,0.0122436,0.0123626,0.0120581,0.0,0.0,EJ,
"Ref,date=2022-16-6T11:42:43-07:00",Bangkok,resid urban cooking,traditional biomass,traditional biomass,traditional biomass,0.0439482,0.0386738,0.0381279,0.0433395,0.220295,0.251155,0.27443,0.286228,0.29366,0.295067,0.294282,0.292581,0.288746,0.285856,0.281363,0.0,0.0,EJ,
