Units,scenario,region,sector,subsector,technology,input,year,value
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,1990,0.00112723
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2005,0.00426633
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2010,0.0065826
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2015,0.00812273
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2020,0.00889832
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2025,0.0100632
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2030,0.0112985
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2035,0.0124527
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2040,0.0134381
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2045,0.0140988
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2050,0.0144246
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2055,0.0145152
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2060,0.0143699
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2065,0.0140495
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2070,0.0136261
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2075,0.0131136
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2080,0.0125185
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2085,0.0119441
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2090,0.0113605
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2095,0.0107771
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,electricity,elect_td_bld,2100,0.0103061
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,1990,0.00233326
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2005,0.00883099
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2010,0.0136256
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2015,0.0168135
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2020,0.0205821
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2025,0.0249665
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2030,0.0301576
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2035,0.035585
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2040,0.0407675
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2045,0.0452607
EJ,Ref_cities,KualaLumpur,comm others,electricity,electricity,elect_td_bld,2050,0.048803
