Units,scenario,region,sector,input,year,value
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,1990,0.00112723
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2005,0.00426633
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2010,0.0065826
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2015,0.00812273
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2020,0.00889832
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2025,0.0100632
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2030,0.0112985
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2035,0.0124527
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2040,0.0134381
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2045,0.0140988
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2050,0.0144246
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2055,0.0145152
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2060,0.0143699
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2065,0.0140495
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2070,0.0136261
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2075,0.0131136
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2080,0.0125185
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2085,0.0119441
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2090,0.0113605
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2095,0.0107771
EJ,Ref_cities,KualaLumpur,comm cooling,elect_td_bld,2100,0.0103061
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,1990,0.00233326
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2005,0.00883099
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2010,0.0136256
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2015,0.0168135
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2020,0.0205821
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2025,0.0249665
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2030,0.0301576
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2035,0.035585
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2040,0.0407675
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2045,0.0452607
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2050,0.048803
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2055,0.0516836
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2060,0.0538789
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2065,0.0553372
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2070,0.0563459
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2075,0.0567748
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2080,0.0566674
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2085,0.0564735
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2090,0.0561031
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2095,0.0555833
EJ,Ref_cities,KualaLumpur,comm others,elect_td_bld,2100,0.0551938
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,1975,0.00132851
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,1990,0.0049056
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2005,0.0189849
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2010,0.0291044
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2015,0.0342795
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2020,0.0436606
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2025,0.0497415
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2030,0.0582318
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2035,0.0676897
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2040,0.0764887
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2045,0.0829905
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2050,0.0859734
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2055,0.0884974
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2060,0.0924282
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2065,0.0947719
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2070,0.0995619
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2075,0.101531
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2080,0.096448
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2085,0.0938492
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2090,0.0935932
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2095,0.0954491
EJ,Ref_cities,KualaLumpur,industrial energy use,elect_td_ind,2100,0.0991448
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,1990,0.00160744
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2005,0.00604697
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2010,0.00931733
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2015,0.0120923
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2020,0.0135678
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2025,0.0158243
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2030,0.0182154
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2035,0.0204438
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2040,0.022368
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2045,0.0236894
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2050,0.0244176
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2055,0.0246691
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2060,0.0244977
EJ,Ref_cities,KualaLumpur,resid cooling,elect_td_bld,2065,0.0239756
