Units,scenario,region,sector,year,value
MTC,Ref_cities,KualaLumpur,comm others,1990,0.031913313
MTC,Ref_cities,KualaLumpur,comm others,2005,0.10133378
MTC,Ref_cities,KualaLumpur,comm others,2010,0.16600968
MTC,Ref_cities,KualaLumpur,comm others,2015,0.10496036
MTC,Ref_cities,KualaLumpur,comm others,2020,0.08490111
MTC,Ref_cities,KualaLumpur,comm others,2025,0.08735614
MTC,Ref_cities,KualaLumpur,comm others,2030,0.08302338
MTC,Ref_cities,KualaLumpur,comm others,2035,0.07716154
MTC,Ref_cities,KualaLumpur,comm others,2040,0.07184059
MTC,Ref_cities,KualaLumpur,comm others,2045,0.06660379
MTC,Ref_cities,KualaLumpur,comm others,2050,0.06463178
MTC,Ref_cities,KualaLumpur,comm others,2055,0.0616344
MTC,Ref_cities,KualaLumpur,comm others,2060,0.05596649
MTC,Ref_cities,KualaLumpur,comm others,2065,0.05143055
MTC,Ref_cities,KualaLumpur,comm others,2070,0.04482883
MTC,Ref_cities,KualaLumpur,comm others,2075,0.04017159
MTC,Ref_cities,KualaLumpur,comm others,2080,0.03950021
MTC,Ref_cities,KualaLumpur,comm others,2085,0.03763406
MTC,Ref_cities,KualaLumpur,comm others,2090,0.03479186
MTC,Ref_cities,KualaLumpur,comm others,2095,0.03102644
MTC,Ref_cities,KualaLumpur,comm others,2100,0.02713476
MTC,Ref_cities,KualaLumpur,resid others,1990,0.102041859
MTC,Ref_cities,KualaLumpur,resid others,2005,0.136229401
MTC,Ref_cities,KualaLumpur,resid others,2010,0.116089522
MTC,Ref_cities,KualaLumpur,resid others,2015,0.0887457415
MTC,Ref_cities,KualaLumpur,resid others,2020,0.079410625
MTC,Ref_cities,KualaLumpur,resid others,2025,0.086553802
MTC,Ref_cities,KualaLumpur,resid others,2030,0.087061857
MTC,Ref_cities,KualaLumpur,resid others,2035,0.084650135
MTC,Ref_cities,KualaLumpur,resid others,2040,0.081424609
MTC,Ref_cities,KualaLumpur,resid others,2045,0.077216443
MTC,Ref_cities,KualaLumpur,resid others,2050,0.075979464
MTC,Ref_cities,KualaLumpur,resid others,2055,0.0731807379
MTC,Ref_cities,KualaLumpur,resid others,2060,0.0669822852
MTC,Ref_cities,KualaLumpur,resid others,2065,0.061873985
MTC,Ref_cities,KualaLumpur,resid others,2070,0.0541840715
MTC,Ref_cities,KualaLumpur,resid others,2075,0.0486363605
MTC,Ref_cities,KualaLumpur,resid others,2080,0.047758719
MTC,Ref_cities,KualaLumpur,resid others,2085,0.0454881468
MTC,Ref_cities,KualaLumpur,resid others,2090,0.0420953711
MTC,Ref_cities,KualaLumpur,resid others,2095,0.0375835484
MTC,Ref_cities,KualaLumpur,resid others,2100,0.0329053929
MTC,Ref_cities,Rest of Malaysia,comm others,1990,0.17617224
MTC,Ref_cities,Rest of Malaysia,comm others,2005,0.5326034
MTC,Ref_cities,Rest of Malaysia,comm others,2010,0.8741117
MTC,Ref_cities,Rest of Malaysia,comm others,2015,0.550902
MTC,Ref_cities,Rest of Malaysia,comm others,2020,0.4827749
MTC,Ref_cities,Rest of Malaysia,comm others,2025,0.5252144
MTC,Ref_cities,Rest of Malaysia,comm others,2030,0.5408876
MTC,Ref_cities,Rest of Malaysia,comm others,2035,0.5460452
MTC,Ref_cities,Rest of Malaysia,comm others,2040,0.5466137
MTC,Ref_cities,Rest of Malaysia,comm others,2045,0.5389071
MTC,Ref_cities,Rest of Malaysia,comm others,2050,0.5490765
MTC,Ref_cities,Rest of Malaysia,comm others,2055,0.5471466
MTC,Ref_cities,Rest of Malaysia,comm others,2060,0.5192106
MTC,Ref_cities,Rest of Malaysia,comm others,2065,0.4970893
MTC,Ref_cities,Rest of Malaysia,comm others,2070,0.4520624
MTC,Ref_cities,Rest of Malaysia,comm others,2075,0.4213258
MTC,Ref_cities,Rest of Malaysia,comm others,2080,0.4294077
MTC,Ref_cities,Rest of Malaysia,comm others,2085,0.4258034
MTC,Ref_cities,Rest of Malaysia,comm others,2090,0.4115215
MTC,Ref_cities,Rest of Malaysia,comm others,2095,0.3846561
MTC,Ref_cities,Rest of Malaysia,comm others,2100,0.353206
MTC,Ref_cities,Rest of Malaysia,resid others,1990,0.56328347
MTC,Ref_cities,Rest of Malaysia,resid others,2005,0.71601336
MTC,Ref_cities,Rest of Malaysia,resid others,2010,0.61124261
MTC,Ref_cities,Rest of Malaysia,resid others,2015,0.465799437
MTC,Ref_cities,Rest of Malaysia,resid others,2020,0.455734839
MTC,Ref_cities,Rest of Malaysia,resid others,2025,0.527941032
MTC,Ref_cities,Rest of Malaysia,resid others,2030,0.589046629
MTC,Ref_cities,Rest of Malaysia,resid others,2035,0.64399041
MTC,Ref_cities,Rest of Malaysia,resid others,2040,0.69033224
MTC,Ref_cities,Rest of Malaysia,resid others,2045,0.71928043
MTC,Ref_cities,Rest of Malaysia,resid others,2050,0.76021581
MTC,Ref_cities,Rest of Malaysia,resid others,2055,0.78033266
MTC,Ref_cities,Rest of Malaysia,resid others,2060,0.76260446
MTC,Ref_cities,Rest of Malaysia,resid others,2065,0.747882008
MTC,Ref_cities,Rest of Malaysia,resid others,2070,0.698688584
MTC,Ref_cities,Rest of Malaysia,resid others,2075,0.665208965
MTC,Ref_cities,Rest of Malaysia,resid others,2080,0.684945248
MTC,Ref_cities,Rest of Malaysia,resid others,2085,0.688737796
MTC,Ref_cities,Rest of Malaysia,resid others,2090,0.676717214
MTC,Ref_cities,Rest of Malaysia,resid others,2095,0.64443276
MTC,Ref_cities,Rest of Malaysia,resid others,2100,0.602674272
