year,region,value
1993,Bangkok,5572712.00
1994,Bangkok,5584226.00
1995,Bangkok,5570743.00
1996,Bangkok,5584963.00
1997,Bangkok,5604772.00
1998,Bangkok,5647799.00
1999,Bangkok,5662499.00
2000,Bangkok,5680380.00
2001,Bangkok,5726203.00
2002,Bangkok,5782159.00
2003,Bangkok,5844618.00
2004,Bangkok,5631321.00
2005,Bangkok,5658954.00
2006,Bangkok,5695958.00
2007,Bangkok,5716248.00
2008,Bangkok,5710883.00
2009,Bangkok,5702595.00
2010,Bangkok,5701394.00
2011,Bangkok,5674843.00
2012,Bangkok,5673560.00
2013,Bangkok,5686252.00
2014,Bangkok,5692284.00
2015,Bangkok,5696409.00
2016,Bangkok,5686646.00
2017,Bangkok,5682415.00
2018,Bangkok,5676648.00
2019,Bangkok,5666264.00
2020,Bangkok,5588222.00
2021,Bangkok,5527994.00
2022,Bangkok,5546868.81
2023,Bangkok,5561975.26
2024,Bangkok,5573303.56
2025,Bangkok,5581089.87
2026,Bangkok,5585393.59
2027,Bangkok,5586337.92
2028,Bangkok,5584068.72
2029,Bangkok,5578755.48
2030,Bangkok,5570587.64
2031,Bangkok,5559761.04
2032,Bangkok,5546463.16
2033,Bangkok,5530858.70
2034,Bangkok,5513076.10
2035,Bangkok,5493192.86
2036,Bangkok,5471228.37
2037,Bangkok,5447153.80
2038,Bangkok,5420906.73
2039,Bangkok,5392409.39
2040,Bangkok,5361586.88
2041,Bangkok,5338737.81
2042,Bangkok,5315986.12
2043,Bangkok,5293331.38
2044,Bangkok,5270773.19
2045,Bangkok,5247426.08
2046,Bangkok,5222843.56
2047,Bangkok,5197068.77
2048,Bangkok,5170154.88
2049,Bangkok,5142162.85
2050,Bangkok,5113156.10
2051,Bangkok,5083193.96
2052,Bangkok,5052344.97
2053,Bangkok,5020689.23
2054,Bangkok,4988314.37
2055,Bangkok,4955307.31
2056,Bangkok,4921736.52
2057,Bangkok,4887677.84
2058,Bangkok,4853241.76
2059,Bangkok,4818542.50
2060,Bangkok,4783685.37
2061,Bangkok,4748745.96
2062,Bangkok,4713780.97
2063,Bangkok,4678857.46
2064,Bangkok,4644032.89
2065,Bangkok,4609360.54
2066,Bangkok,4574886.23
2067,Bangkok,4540653.31
2068,Bangkok,4506710.63
2069,Bangkok,4473106.57
2070,Bangkok,4439879.53
2071,Bangkok,4407051.28
2072,Bangkok,4374626.17
2073,Bangkok,4342588.47
2074,Bangkok,4310904.82
2075,Bangkok,4279546.30
2076,Bangkok,4248509.74
2077,Bangkok,4217788.30
2078,Bangkok,4187341.99
2079,Bangkok,4157119.38
2080,Bangkok,4127081.56
2081,Bangkok,4097213.25
2082,Bangkok,4067512.65
2083,Bangkok,4037964.74
2084,Bangkok,4008555.86
2085,Bangkok,3979281.60
2086,Bangkok,3950141.48
2087,Bangkok,3921145.59
2088,Bangkok,3892302.14
2089,Bangkok,3863627.43
2090,Bangkok,3835143.01
2091,Bangkok,3806870.51
2092,Bangkok,3778838.93
2093,Bangkok,3751081.77
2094,Bangkok,3723635.40
2095,Bangkok,3696539.99
2096,Bangkok,3669845.07
2097,Bangkok,3643597.81
2098,Bangkok,3617857.29
2099,Bangkok,3592681.35
2100,Bangkok,3568136.83
1993,Nonthaburi,717405.00
1994,Nonthaburi,740565.00
1995,Nonthaburi,754627.00
1996,Nonthaburi,783584.00
1997,Nonthaburi,800709.00
1998,Nonthaburi,826464.00
1999,Nonthaburi,839029.00
2000,Nonthaburi,859607.00
2001,Nonthaburi,884077.00
2002,Nonthaburi,905197.00
2003,Nonthaburi,924923.00
2004,Nonthaburi,942312.00
2005,Nonthaburi,972280.00
2006,Nonthaburi,999057.00
2007,Nonthaburi,1024191.00
2008,Nonthaburi,1052592.00
2009,Nonthaburi,1078071.00
2010,Nonthaburi,1101743.00
2011,Nonthaburi,1122627.00
2012,Nonthaburi,1141673.00
2013,Nonthaburi,1156271.00
2014,Nonthaburi,1173870.00
2015,Nonthaburi,1193711.00
2016,Nonthaburi,1211924.00
2017,Nonthaburi,1229735.00
2018,Nonthaburi,1246295.00
2019,Nonthaburi,1265387.00
2020,Nonthaburi,1276745.00
2021,Nonthaburi,1288637.00
2022,Nonthaburi,1310970.25
2023,Nonthaburi,1332942.99
2024,Nonthaburi,1354523.44
2025,Nonthaburi,1375681.05
2026,Nonthaburi,1396389.93
2027,Nonthaburi,1416628.15
2028,Nonthaburi,1436375.69
2029,Nonthaburi,1455609.84
2030,Nonthaburi,1474304.30
2031,Nonthaburi,1492430.11
2032,Nonthaburi,1509956.03
2033,Nonthaburi,1526848.93
2034,Nonthaburi,1543074.72
2035,Nonthaburi,1558599.87
2036,Nonthaburi,1573391.99
2037,Nonthaburi,1587420.07
2038,Nonthaburi,1600654.84
2039,Nonthaburi,1613068.44
2040,Nonthaburi,1624634.14
2041,Nonthaburi,1617710.56
2042,Nonthaburi,1610816.48
2043,Nonthaburi,1603951.79
2044,Nonthaburi,1597116.35
2045,Nonthaburi,1590041.85
2046,Nonthaburi,1582593.02
2047,Nonthaburi,1574782.90
2048,Nonthaburi,1566627.62
2049,Nonthaburi,1558145.66
2050,Nonthaburi,1549356.22
2051,Nonthaburi,1540277.28
2052,Nonthaburi,1530929.61
2053,Nonthaburi,1521337.49
2054,Nonthaburi,1511527.47
2055,Nonthaburi,1501525.87
2056,Nonthaburi,1491353.47
2057,Nonthaburi,1481033.22
2058,Nonthaburi,1470598.62
2059,Nonthaburi,1460084.27
2060,Nonthaburi,1449522.08
2061,Nonthaburi,1438934.96
2062,Nonthaburi,1428340.09
2063,Nonthaburi,1417757.79
2064,Nonthaburi,1407205.47
2065,Nonthaburi,1396699.27
2066,Nonthaburi,1386253.09
2067,Nonthaburi,1375880.04
2068,Nonthaburi,1365594.95
2069,Nonthaburi,1355412.46
2070,Nonthaburi,1345344.21
2071,Nonthaburi,1335396.80
2072,Nonthaburi,1325571.55
2073,Nonthaburi,1315863.69
2074,Nonthaburi,1306263.11
2075,Nonthaburi,1296761.05
2076,Nonthaburi,1287356.54
2077,Nonthaburi,1278047.53
2078,Nonthaburi,1268821.88
2079,Nonthaburi,1259664.02
2080,Nonthaburi,1250562.15
2081,Nonthaburi,1241511.64
2082,Nonthaburi,1232511.95
2083,Nonthaburi,1223558.53
2084,Nonthaburi,1214647.24
2085,Nonthaburi,1205776.74
2086,Nonthaburi,1196946.88
2087,Nonthaburi,1188160.73
2088,Nonthaburi,1179420.77
2089,Nonthaburi,1170731.94
2090,Nonthaburi,1162100.77
2091,Nonthaburi,1153533.82
2092,Nonthaburi,1145039.87
2093,Nonthaburi,1136629.07
2094,Nonthaburi,1128312.44
2095,Nonthaburi,1120102.16
2096,Nonthaburi,1112013.24
2097,Nonthaburi,1104059.96
2098,Nonthaburi,1096260.23
2099,Nonthaburi,1088631.58
2100,Nonthaburi,1081194.25
1993,Samut Prakan,895384.00
1994,Samut Prakan,914360.00
1995,Samut Prakan,926110.00
1996,Samut Prakan,948233.00
1997,Samut Prakan,956264.00
1998,Samut Prakan,969321.00
1999,Samut Prakan,977388.00
2000,Samut Prakan,995838.00
2001,Samut Prakan,1011692.00
2002,Samut Prakan,1027719.00
2003,Samut Prakan,1045854.00
2004,Samut Prakan,1049369.00
2005,Samut Prakan,1077523.00
2006,Samut Prakan,1107626.00
2007,Samut Prakan,1126940.00
2008,Samut Prakan,1147224.00
2009,Samut Prakan,1164105.00
2010,Samut Prakan,1185180.00
2011,Samut Prakan,1203223.00
2012,Samut Prakan,1223302.00
2013,Samut Prakan,1241610.00
2014,Samut Prakan,1261530.00
2015,Samut Prakan,1279310.00
2016,Samut Prakan,1293553.00
2017,Samut Prakan,1310766.00
2018,Samut Prakan,1326608.00
2019,Samut Prakan,1344875.00
2020,Samut Prakan,1351479.00
2021,Samut Prakan,1356449.00
2022,Samut Prakan,1380050.31
2023,Samut Prakan,1403286.25
2024,Samut Prakan,1426123.18
2025,Samut Prakan,1448528.59
2026,Samut Prakan,1470474.74
2027,Samut Prakan,1491937.92
2028,Samut Prakan,1512896.33
2029,Samut Prakan,1533325.25
2030,Samut Prakan,1553196.09
2031,Samut Prakan,1572477.39
2032,Samut Prakan,1591135.24
2033,Samut Prakan,1609133.70
2034,Samut Prakan,1626435.81
2035,Samut Prakan,1643005.15
2036,Samut Prakan,1658806.51
2037,Samut Prakan,1673806.17
2038,Samut Prakan,1687972.22
2039,Samut Prakan,1701274.28
2040,Samut Prakan,1713683.19
2041,Samut Prakan,1706380.11
2042,Samut Prakan,1699108.16
2043,Samut Prakan,1691867.20
2044,Samut Prakan,1684657.10
2045,Samut Prakan,1677194.84
2046,Samut Prakan,1669337.72
2047,Samut Prakan,1661099.51
2048,Samut Prakan,1652497.23
2049,Samut Prakan,1643550.35
2050,Samut Prakan,1634279.15
2051,Samut Prakan,1624702.58
2052,Samut Prakan,1614842.55
2053,Samut Prakan,1604724.67
2054,Samut Prakan,1594376.94
2055,Samut Prakan,1583827.14
