"year","region","value"
2021,"Bangkok",5237511.75738
2022,"Bangkok",5486917.07916
2023,"Bangkok",5611619.74005
2024,"Bangkok",5736322.40094
2025,"Bangkok",5861025.06183
2026,"Bangkok",5985727.72272
2027,"Bangkok",6110430.38361
2028,"Bangkok",6235133.0445
2029,"Bangkok",6359835.70539
2030,"Bangkok",6484538.36628
2031,"Bangkok",6609241.02717
2032,"Bangkok",6733943.68806
2033,"Bangkok",6817078.79532
2034,"Bangkok",6941781.45621
2035,"Bangkok",7024916.56347
2036,"Bangkok",7149619.22436
2037,"Bangkok",7232754.33162
2038,"Bangkok",7357456.99251
2039,"Bangkok",7440592.09977
2040,"Bangkok",7523727.20703
2041,"Bangkok",7606862.31429
2042,"Bangkok",7689997.42155
2043,"Bangkok",7773132.52881
2044,"Bangkok",7856267.63607
2045,"Bangkok",7939402.74333
2046,"Bangkok",8022537.85059
2047,"Bangkok",8105672.95785
2048,"Bangkok",8147240.51148
2049,"Bangkok",8230375.61874
2050,"Bangkok",8271943.17237
2051,"Bangkok",8355078.27963
2052,"Bangkok",8396645.83326
2053,"Bangkok",8479780.94052
2054,"Bangkok",8521348.49415
2055,"Bangkok",8604483.60141
2056,"Bangkok",8646051.15504
2057,"Bangkok",8687618.70867
2058,"Bangkok",8770753.81593
2059,"Bangkok",8812321.36956
2060,"Bangkok",8853888.92319
2061,"Bangkok",8937024.03045
2062,"Bangkok",8978591.58408
2063,"Bangkok",9020159.13771
2064,"Bangkok",9103294.24497
2065,"Bangkok",9144861.7986
2066,"Bangkok",9186429.35223
2067,"Bangkok",9227996.90586
2068,"Bangkok",9269564.45949
2069,"Bangkok",9352699.56675
2070,"Bangkok",9394267.12038
2071,"Bangkok",9435834.67401
2072,"Bangkok",9477402.22764
2073,"Bangkok",9518969.78127
2074,"Bangkok",9560537.3349
2075,"Bangkok",9602104.88853
2076,"Bangkok",9643672.44216
2077,"Bangkok",9685239.99579
2078,"Bangkok",9726807.54942
2079,"Bangkok",9768375.10305
2080,"Bangkok",9809942.65668
2081,"Bangkok",9851510.21031
2082,"Bangkok",9893077.76394
2083,"Bangkok",9934645.31757
2084,"Bangkok",9934645.31757
2085,"Bangkok",9976212.8712
2086,"Bangkok",10017780.42483
2087,"Bangkok",10059347.97846
2088,"Bangkok",10100915.53209
2089,"Bangkok",10100915.53209
2090,"Bangkok",10142483.08572
2091,"Bangkok",10184050.63935
2092,"Bangkok",10225618.19298
2093,"Bangkok",10225618.19298
2094,"Bangkok",10267185.74661
2095,"Bangkok",10267185.74661
2096,"Bangkok",10308753.30024
2097,"Bangkok",10350320.85387
2098,"Bangkok",10350320.85387
2099,"Bangkok",10391888.4075
2100,"Bangkok",10391888.4075
2021,"Nonthaburi",344059.475785132
2022,"Nonthaburi",357821.854813212
2023,"Nonthaburi",371061.263428914
2024,"Nonthaburi",383677.346376103
2025,"Nonthaburi",396338.698800113
2026,"Nonthaburi",409417.87588608
2027,"Nonthaburi",422928.665757815
2028,"Nonthaburi",436420.0902208
2029,"Nonthaburi",449687.26097422
2030,"Nonthaburi",463357.753677974
2031,"Nonthaburi",477351.15785324
2032,"Nonthaburi",491719.427704544
2033,"Nonthaburi",506569.354433916
2034,"Nonthaburi",521665.121194426
2035,"Nonthaburi",537210.741788694
2036,"Nonthaburi",563354.99790914
2037,"Nonthaburi",590020.467797149
2038,"Nonthaburi",617161.409311245
2039,"Nonthaburi",644727.952277773
2040,"Nonthaburi",672666.163544113
2041,"Nonthaburi",700918.14237622
2042,"Nonthaburi",729422.146865552
