year,region,value
1995,Bangkok,65663355929
1996,Bangkok,67506140985
1997,Bangkok,61554357665
1998,Bangkok,55715454053
1999,Bangkok,57208343060
2000,Bangkok,61282062517
2001,Bangkok,64562105055
2002,Bangkok,67053401781
2003,Bangkok,70519136645
2004,Bangkok,75465243658
2005,Bangkok,79329661957
2006,Bangkok,81656540389
2007,Bangkok,83639808357
2008,Bangkok,83799433003
2009,Bangkok,82605638377
2010,Bangkok,86828245219
2011,Bangkok,91070903711
2012,Bangkok,97411442539
2013,Bangkok,1.04E+11
2014,Bangkok,1.07E+11
2015,Bangkok,1.12E+11
2016,Bangkok,1.17E+11
2017,Bangkok,1.22E+11
2018,Bangkok,1.28E+11
2019,Bangkok,1.34E+11
2020,Bangkok,1.24E+11
2021,Bangkok,1.26E+11
2022,Bangkok,1.32E+11
2023,Bangkok,1.35E+11
2024,Bangkok,1.38E+11
2025,Bangkok,1.41E+11
2026,Bangkok,1.44E+11
2027,Bangkok,1.47E+11
2028,Bangkok,1.50E+11
2029,Bangkok,1.53E+11
2030,Bangkok,1.56E+11
2031,Bangkok,1.59E+11
2032,Bangkok,1.62E+11
2033,Bangkok,1.64E+11
2034,Bangkok,1.67E+11
2035,Bangkok,1.69E+11
2036,Bangkok,1.72E+11
2037,Bangkok,1.74E+11
2038,Bangkok,1.77E+11
2039,Bangkok,1.79E+11
2040,Bangkok,1.81E+11
2041,Bangkok,1.83E+11
2042,Bangkok,1.85E+11
2043,Bangkok,1.87E+11
2044,Bangkok,1.89E+11
2045,Bangkok,1.91E+11
2046,Bangkok,1.93E+11
2047,Bangkok,1.95E+11
2048,Bangkok,1.96E+11
2049,Bangkok,1.98E+11
2050,Bangkok,1.99E+11
2051,Bangkok,2.01E+11
2052,Bangkok,2.02E+11
2053,Bangkok,2.04E+11
2054,Bangkok,2.05E+11
2055,Bangkok,2.07E+11
2056,Bangkok,2.08E+11
2057,Bangkok,2.09E+11
2058,Bangkok,2.11E+11
2059,Bangkok,2.12E+11
2060,Bangkok,2.13E+11
2061,Bangkok,2.15E+11
2062,Bangkok,2.16E+11
2063,Bangkok,2.17E+11
2064,Bangkok,2.19E+11
2065,Bangkok,2.20E+11
2066,Bangkok,2.21E+11
2067,Bangkok,2.22E+11
2068,Bangkok,2.23E+11
2069,Bangkok,2.25E+11
2070,Bangkok,2.26E+11
2071,Bangkok,2.27E+11
2072,Bangkok,2.28E+11
2073,Bangkok,2.29E+11
2074,Bangkok,2.30E+11
2075,Bangkok,2.31E+11
2076,Bangkok,2.32E+11
2077,Bangkok,2.33E+11
2078,Bangkok,2.34E+11
2079,Bangkok,2.35E+11
2080,Bangkok,2.36E+11
2081,Bangkok,2.37E+11
2082,Bangkok,2.38E+11
2083,Bangkok,2.39E+11
2084,Bangkok,2.39E+11
2085,Bangkok,2.40E+11
2086,Bangkok,2.41E+11
2087,Bangkok,2.42E+11
2088,Bangkok,2.43E+11
2089,Bangkok,2.43E+11
2090,Bangkok,2.44E+11
2091,Bangkok,2.45E+11
2092,Bangkok,2.46E+11
2093,Bangkok,2.46E+11
2094,Bangkok,2.47E+11
2095,Bangkok,2.47E+11
2096,Bangkok,2.48E+11
2097,Bangkok,2.49E+11
2098,Bangkok,2.49E+11
2099,Bangkok,2.50E+11
2100,Bangkok,2.50E+11
1995,Nonthaburi,2481399041
1996,Nonthaburi,2497400287
