"year","region","value"
2021,"Bangkok",22793.0782848172
2022,"Bangkok",23797.2096549368
2023,"Bangkok",24271.952622817
2024,"Bangkok",24760.8978255618
2025,"Bangkok",25263.8827333558
2026,"Bangkok",25781.5313602635
2027,"Bangkok",26314.1976201826
2028,"Bangkok",26862.1336021094
2029,"Bangkok",27425.4716035699
2030,"Bangkok",28004.2268574739
2031,"Bangkok",28598.3514140385
2032,"Bangkok",29207.8024006924
2033,"Bangkok",29651.8151873958
2034,"Bangkok",30291.6188659177
2035,"Bangkok",30765.3498260755
2036,"Bangkok",31437.1816287391
2037,"Bangkok",31943.2875201725
2038,"Bangkok",32651.3642119056
2039,"Bangkok",33194.8090462026
2040,"Bangkok",33758.6621369828
2041,"Bangkok",34277.7649910476
2042,"Bangkok",34800.6928204696
2043,"Bangkok",35327.4689558544
2044,"Bangkok",35858.1166722524
2045,"Bangkok",36398.7976368025
2046,"Bangkok",36953.0501503285
2047,"Bangkok",37521.1506004374
2048,"Bangkok",37909.8894615706
2049,"Bangkok",38505.1982552439
2050,"Bangkok",38919.2107786422
2051,"Bangkok",39542.067759303
2052,"Bangkok",39981.4346010502
2053,"Bangkok",40631.8715727402
2054,"Bangkok",41096.0466390974
2055,"Bangkok",41773.3930612671
2056,"Bangkok",42261.5065139651
2057,"Bangkok",42760.5924207149
2058,"Bangkok",43476.095037969
2059,"Bangkok",43996.7064729636
2060,"Bangkok",44526.3397412778
2061,"Bangkok",45275.1109052799
2062,"Bangkok",45823.0879573516
2063,"Bangkok",46378.8439496509
2064,"Bangkok",47157.288758995
2065,"Bangkok",47728.9632891247
2066,"Bangkok",48307.2122211004
2067,"Bangkok",48891.6428636125
2068,"Bangkok",49481.7658173008
2069,"Bangkok",50300.6124443845
2070,"Bangkok",50902.2820265576
2071,"Bangkok",51508.3636603384
2072,"Bangkok",52118.7390967398
2073,"Bangkok",52733.5255417376
2074,"Bangkok",53353.0684632467
2075,"Bangkok",53977.684503612
2076,"Bangkok",54607.3833409642
2077,"Bangkok",55242.2225648452
2078,"Bangkok",55882.7056779282
2079,"Bangkok",56529.5288681366
2080,"Bangkok",57183.2653580997
2081,"Bangkok",57844.194465592
2082,"Bangkok",58512.4179023758
2083,"Bangkok",59188.2335257836
2084,"Bangkok",59622.4696242601
2085,"Bangkok",60312.3940763579
2086,"Bangkok",61010.4729717175
2087,"Bangkok",61716.6576566722
2088,"Bangkok",62430.9190961213
2089,"Bangkok",62894.2630733937
2090,"Bangkok",63622.13856531
2091,"Bangkok",64357.3243052073
2092,"Bangkok",65099.3610886718
2093,"Bangkok",65581.0816942015
2094,"Bangkok",66333.0249787613
2095,"Bangkok",66819.2419582075
2096,"Bangkok",67577.7846937827
2097,"Bangkok",68339.0464547458
2098,"Bangkok",68825.2686716673
2099,"Bangkok",69585.9096994505
2100,"Bangkok",70064.5776524215
2021,"Nonthaburi",6423.15586313291
2022,"Nonthaburi",6566.28245682921
2023,"Nonthaburi",6696.98888547364
2024,"Nonthaburi",6814.36146870962
2025,"Nonthaburi",6930.97382202074
2026,"Nonthaburi",7053.5155277151
2027,"Nonthaburi",7182.18833149687
2028,"Nonthaburi",7309.40831085773
2029,"Nonthaburi",7432.0930126441
2030,"Nonthaburi",7560.92337450281
2031,"Nonthaburi",7694.66137278616
2032,"Nonthaburi",7834.27118934053
2033,"Nonthaburi",7981.57094362964
2034,"Nonthaburi",8132.99262397352
2035,"Nonthaburi",8291.9292249139
2036,"Nonthaburi",8613.72001137491
2037,"Nonthaburi",8941.71338340204
2038,"Nonthaburi",9275.69808116783
2039,"Nonthaburi",9615.44171120229
2040,"Nonthaburi",9960.69268986309
2041,"Nonthaburi",10423.4626619486
2042,"Nonthaburi",10893.7753579477
2043,"Nonthaburi",11370.7215657648
2044,"Nonthaburi",11853.3233968834
2045,"Nonthaburi",12342.6174436855
2046,"Nonthaburi",12838.8691951896
2047,"Nonthaburi",13341.2299149299
2048,"Nonthaburi",13848.761583177
2049,"Nonthaburi",14360.4390452174
2050,"Nonthaburi",14875.162438758
2051,"Nonthaburi",15404.2457524271
2052,"Nonthaburi",15947.7529675581
2053,"Nonthaburi",16505.6811404812
2054,"Nonthaburi",17077.9638162977
2055,"Nonthaburi",17664.4916907093
2056,"Nonthaburi",18265.1741964298
2057,"Nonthaburi",18879.8509441942
2058,"Nonthaburi",19508.1716348952
2059,"Nonthaburi",20149.694433048
2060,"Nonthaburi",20803.9315855058
2061,"Nonthaburi",21470.445238192
2062,"Nonthaburi",22148.8175424664
2063,"Nonthaburi",22838.5210121117
2064,"Nonthaburi",23539.0069738714
2065,"Nonthaburi",24249.6828311509
2066,"Nonthaburi",24969.930723112
2067,"Nonthaburi",25699.0852632763
2068,"Nonthaburi",26436.3854655438
2069,"Nonthaburi",27181.0051642878
2070,"Nonthaburi",27932.1100553144
2071,"Nonthaburi",28693.6006481369
2072,"Nonthaburi",29465.1348250496
2073,"Nonthaburi",30246.4833458548
2074,"Nonthaburi",31037.5351333316
2075,"Nonthaburi",31838.1547124661
