"fuel_type","year","units","capacity"
"biogas",2018,"MW",346
"biogas",2019,"MW",366
"biogas",2020,"MW",366
"biogas",2021,"MW",382
"biogas",2022,"MW",401
"biogas",2023,"MW",412
"biogas",2024,"MW",423
"biogas",2025,"MW",443
"biogas",2026,"MW",491
"biogas",2027,"MW",539
"biogas",2028,"MW",553
"biogas",2029,"MW",580
"biogas",2030,"MW",626
"biogas",2031,"MW",717
"biogas",2032,"MW",781
"biogas",2033,"MW",896
"biogas",2034,"MW",928
"biogas",2035,"MW",928
"biogas",2036,"MW",928
"biogas",2037,"MW",928
"biomass",2018,"MW",1765
"biomass",2019,"MW",2008
"biomass",2020,"MW",2042
"biomass",2021,"MW",2350
"biomass",2022,"MW",2514
"biomass",2023,"MW",2618
"biomass",2024,"MW",2591
"biomass",2025,"MW",2530
"biomass",2026,"MW",2501
"biomass",2027,"MW",2549
"biomass",2028,"MW",2706
"biomass",2029,"MW",2914
"biomass",2030,"MW",3120
"biomass",2031,"MW",3447
"biomass",2032,"MW",3561
"biomass",2033,"MW",4261
"biomass",2034,"MW",4297
"biomass",2035,"MW",4515
"biomass",2036,"MW",4712
"biomass",2037,"MW",4690
"coal",2018,"MW",6110
"coal",2019,"MW",6110
"coal",2020,"MW",6110
"coal",2021,"MW",6110
"coal",2022,"MW",5570
"coal",2023,"MW",5570
"coal",2024,"MW",5390
"coal",2025,"MW",4250
"coal",2026,"MW",5120
"coal",2027,"MW",5390
"coal",2028,"MW",5390
"coal",2029,"MW",5390
"coal",2030,"MW",5390
"coal",2031,"MW",5390
"coal",2032,"MW",4043
"coal",2033,"MW",5043
"coal",2034,"MW",6043
"coal",2035,"MW",6043
"coal",2036,"MW",6043
"coal",2037,"MW",5383
"conservation",2018,"MW",0
"conservation",2019,"MW",0
"conservation",2020,"MW",0
"conservation",2021,"MW",0
"conservation",2022,"MW",0
"conservation",2023,"MW",0
"conservation",2024,"MW",0
"conservation",2025,"MW",0
"conservation",2026,"MW",0
"conservation",2027,"MW",0
"conservation",2028,"MW",0
"conservation",2029,"MW",0
"conservation",2030,"MW",0
"conservation",2031,"MW",0
"conservation",2032,"MW",354
"conservation",2033,"MW",556
