year,region,value
1995,Bangkok,11787.18
1996,Bangkok,12087.12
1997,Bangkok,10982.49
1998,Bangkok,9864.99
1999,Bangkok,10103.02
2000,Bangkok,10788.37
2001,Bangkok,11274.85
2002,Bangkok,11596.6
2003,Bangkok,12065.65
2004,Bangkok,13400.98
2005,Bangkok,14018.43
2006,Bangkok,14335.87
2007,Bangkok,14631.94
2008,Bangkok,14673.64
2009,Bangkok,14485.62
2010,Bangkok,15229.3
2011,Bangkok,16048.18
2012,Bangkok,17169.37
2013,Bangkok,18222.13
2014,Bangkok,18871.16
2015,Bangkok,19705.09
2016,Bangkok,20606.05
2017,Bangkok,21493.71
2018,Bangkok,22613.68
2019,Bangkok,23588.48
2020,Bangkok,22273.22
2021,Bangkok,22876.14
2022,Bangkok,23710.23
2023,Bangkok,24218.79
2024,Bangkok,24736.62
2025,Bangkok,25262.65
2026,Bangkok,25796.6
2027,Bangkok,26337.84
2028,Bangkok,26885.65
2029,Bangkok,27439.13
2030,Bangkok,27997.24
2031,Bangkok,28558.85
2032,Bangkok,29122.79
2033,Bangkok,29687.96
2034,Bangkok,30253.39
2035,Bangkok,30818.34
2036,Bangkok,31390.72
2037,Bangkok,31970.87
2038,Bangkok,32559.36
2039,Bangkok,33156.94
2040,Bangkok,33764.4
2041,Bangkok,34315.81
2042,Bangkok,34859
2043,Bangkok,35393.28
2044,Bangkok,35917.98
2045,Bangkok,36438.56
2046,Bangkok,36957.86
2047,Bangkok,37475.43
2048,Bangkok,37990.71
2049,Bangkok,38503.1
2050,Bangkok,39011.94
2051,Bangkok,39531.29
2052,Bangkok,40061.02
2053,Bangkok,40600.84
2054,Bangkok,41150.4
2055,Bangkok,41709.29
2056,Bangkok,42277.24
2057,Bangkok,42853.88
2058,Bangkok,43438.48
2059,Bangkok,44030.2
2060,Bangkok,44628.23
2061,Bangkok,45231.94
2062,Bangkok,45840.86
2063,Bangkok,46454.35
2064,Bangkok,47071.82
2065,Bangkok,47692.67
2066,Bangkok,48316.35
2067,Bangkok,48942.27
2068,Bangkok,49569.77
2069,Bangkok,50198.11
2070,Bangkok,50826.65
2071,Bangkok,51456.16
2072,Bangkok,52086.38
2073,Bangkok,52717.27
2074,Bangkok,53349
2075,Bangkok,53981.75
2076,Bangkok,54615.35
2077,Bangkok,55249.72
2078,Bangkok,55885.17
2079,Bangkok,56522.26
2080,Bangkok,57161.38
2081,Bangkok,57802.63
2082,Bangkok,58445.95
2083,Bangkok,59091.47
2084,Bangkok,59739.28
2085,Bangkok,60389.39
2086,Bangkok,61041.72
2087,Bangkok,61696.04
2088,Bangkok,62352.12
2089,Bangkok,63009.6
2090,Bangkok,63668.02
2091,Bangkok,64326.87
2092,Bangkok,64985.5
2093,Bangkok,65643.14
2094,Bangkok,66298.92
2095,Bangkok,66951.85
2096,Bangkok,67600.72
2097,Bangkok,68244.29
2098,Bangkok,68881.05
2099,Bangkok,69509.4
2100,Bangkok,70127.51
1995,Nonthaburi,3288.25
1996,Nonthaburi,3187.15
1997,Nonthaburi,3055.96
1998,Nonthaburi,3079.09
1999,Nonthaburi,2926.14
2000,Nonthaburi,2953.08
2001,Nonthaburi,3019.74
2002,Nonthaburi,3137.94
2003,Nonthaburi,3276.13
2004,Nonthaburi,3491.25
2005,Nonthaburi,3800.65
2006,Nonthaburi,4034.42
2007,Nonthaburi,4165.09
2008,Nonthaburi,4169.19
2009,Nonthaburi,4286.47
2010,Nonthaburi,4493.43
2011,Nonthaburi,4290.47
2012,Nonthaburi,4633.95
2013,Nonthaburi,4981.36
2014,Nonthaburi,5449.84
2015,Nonthaburi,5688.93
2016,Nonthaburi,5834.36
2017,Nonthaburi,6220.9
2018,Nonthaburi,6225.22
2019,Nonthaburi,6518.65
2020,Nonthaburi,6380.89
2021,Nonthaburi,6423.16
2022,Nonthaburi,6566.28
2023,Nonthaburi,6696.99
2024,Nonthaburi,6814.36
2025,Nonthaburi,6930.97
2026,Nonthaburi,7053.52
2027,Nonthaburi,7182.19
2028,Nonthaburi,7309.41
2029,Nonthaburi,7432.09
2030,Nonthaburi,7560.92
2031,Nonthaburi,7694.66
2032,Nonthaburi,7834.27
2033,Nonthaburi,7981.57
2034,Nonthaburi,8132.99
2035,Nonthaburi,8291.93
2036,Nonthaburi,8613.72
2037,Nonthaburi,8941.71
2038,Nonthaburi,9275.7
2039,Nonthaburi,9615.44
2040,Nonthaburi,9960.69
2041,Nonthaburi,10423.46
2042,Nonthaburi,10893.78
2043,Nonthaburi,11370.72
2044,Nonthaburi,11853.32
2045,Nonthaburi,12342.62
2046,Nonthaburi,12838.87
2047,Nonthaburi,13341.23
2048,Nonthaburi,13848.76
2049,Nonthaburi,14360.44
2050,Nonthaburi,14875.16
2051,Nonthaburi,15404.25
2052,Nonthaburi,15947.75
2053,Nonthaburi,16505.68
2054,Nonthaburi,17077.96
2055,Nonthaburi,17664.49
2056,Nonthaburi,18265.17
2057,Nonthaburi,18879.85
2058,Nonthaburi,19508.17
2059,Nonthaburi,20149.69
2060,Nonthaburi,20803.93
2061,Nonthaburi,21470.45
2062,Nonthaburi,22148.82
2063,Nonthaburi,22838.52
2064,Nonthaburi,23539.01
2065,Nonthaburi,24249.68
2066,Nonthaburi,24969.93
2067,Nonthaburi,25699.09
2068,Nonthaburi,26436.39
2069,Nonthaburi,27181.01
2070,Nonthaburi,27932.11
2071,Nonthaburi,28693.6
2072,Nonthaburi,29465.13
2073,Nonthaburi,30246.48
2074,Nonthaburi,31037.54
2075,Nonthaburi,31838.15
2076,Nonthaburi,32648.01
2077,Nonthaburi,33466.8
2078,Nonthaburi,34294.45
2079,Nonthaburi,35131.01
2080,Nonthaburi,35976.48
2081,Nonthaburi,36830.65
2082,Nonthaburi,37693.18
2083,Nonthaburi,38563.84
2084,Nonthaburi,39442.42
2085,Nonthaburi,40328.57
2086,Nonthaburi,41221.92
2087,Nonthaburi,42121.97
2088,Nonthaburi,43028.18
2089,Nonthaburi,43939.94
2090,Nonthaburi,44856.51
2091,Nonthaburi,45777.11
2092,Nonthaburi,46700.83
2093,Nonthaburi,47626.65
2094,Nonthaburi,48553.43
2095,Nonthaburi,49479.93
2096,Nonthaburi,50404.71
2097,Nonthaburi,51326.25
2098,Nonthaburi,52242.81
2099,Nonthaburi,53152.53
2100,Nonthaburi,54053.33
1995,Samut Prakan,8823.51
1996,Samut Prakan,8931.15
1997,Samut Prakan,8686.06
1998,Samut Prakan,9301.34
1999,Samut Prakan,10098.24
2000,Samut Prakan,10437.25
2001,Samut Prakan,10954.18
2002,Samut Prakan,11675.02
2003,Samut Prakan,11573.89
2004,Samut Prakan,12014.73
