scenario,region,year,value,param
Local data BAU,Malaysia,1971,11.062433,Population (Millions)
Local data BAU,Malaysia,1972,11.324277,Population (Millions)
Local data BAU,Malaysia,1973,11.592638,Population (Millions)
Local data BAU,Malaysia,1974,11.871104,Population (Millions)
Local data BAU,Malaysia,1975,12.162187,Population (Millions)
Local data BAU,Malaysia,1976,12.468689,Population (Millions)
Local data BAU,Malaysia,1977,12.790312,Population (Millions)
Local data BAU,Malaysia,1978,13.122839,Population (Millions)
Local data BAU,Malaysia,1979,13.460031,Population (Millions)
Local data BAU,Malaysia,1980,13.798085,Population (Millions)
Local data BAU,Malaysia,1981,14.134058,Population (Millions)
Local data BAU,Malaysia,1982,14.471211,Population (Millions)
Local data BAU,Malaysia,1983,14.819424,Population (Millions)
Local data BAU,Malaysia,1984,15.192298,Population (Millions)
Local data BAU,Malaysia,1985,15.598927,Population (Millions)
Local data BAU,Malaysia,1986,16.043731,Population (Millions)
Local data BAU,Malaysia,1987,16.522,Population (Millions)
Local data BAU,Malaysia,1988,17.022465,Population (Millions)
Local data BAU,Malaysia,1989,17.528961,Population (Millions)
Local data BAU,Malaysia,1990,18.029824,Population (Millions)
Local data BAU,Malaysia,1991,18.519937,Population (Millions)
Local data BAU,Malaysia,1992,19.002656,Population (Millions)
Local data BAU,Malaysia,1993,19.484898,Population (Millions)
Local data BAU,Malaysia,1994,19.9775,Population (Millions)
Local data BAU,Malaysia,1995,20.487607,Population (Millions)
Local data BAU,Malaysia,1996,21.017613,Population (Millions)
Local data BAU,Malaysia,1997,21.562793,Population (Millions)
Local data BAU,Malaysia,1998,22.114654,Population (Millions)
Local data BAU,Malaysia,1999,22.661298,Population (Millions)
Local data BAU,Malaysia,2000,23.194257,Population (Millions)
Local data BAU,Malaysia,2001,23.709119,Population (Millions)
Local data BAU,Malaysia,2002,24.208391,Population (Millions)
Local data BAU,Malaysia,2003,24.698819,Population (Millions)
Local data BAU,Malaysia,2004,25.190652,Population (Millions)
Local data BAU,Malaysia,2005,25.690611,Population (Millions)
Local data BAU,Malaysia,2006,26.201961,Population (Millions)
Local data BAU,Malaysia,2007,26.72037,Population (Millions)
Local data BAU,Malaysia,2008,27.236006,Population (Millions)
Local data BAU,Malaysia,2009,27.73504,Population (Millions)
Local data BAU,Malaysia,2010,28.208035,Population (Millions)
Local data BAU,Malaysia,2011,28.650959,Population (Millions)
Local data BAU,Malaysia,2012,29.068189,Population (Millions)
Local data BAU,Malaysia,2013,29.468923,Population (Millions)
Local data BAU,Malaysia,2014,29.866603,Population (Millions)
Local data BAU,Malaysia,2015,30.270962,Population (Millions)
Local data BAU,Malaysia,2016,30.684654,Population (Millions)
Local data BAU,Malaysia,2017,31.104646,Population (Millions)
Local data BAU,Malaysia,2018,31.528033,Population (Millions)
Local data BAU,Malaysia,2019,31.949777,Population (Millions)
Local data BAU,Malaysia,2020,32.365999,Population (Millions)
Local data BAU,Malaysia,2021,32.776194,Population (Millions)
Local data BAU,Malaysia,2022,33.181072,Population (Millions)
Local data BAU,Malaysia,2023,33.579265,Population (Millions)
Local data BAU,Malaysia,2024,33.96929,Population (Millions)
Local data BAU,Malaysia,2025,34.349936,Population (Millions)
Local data BAU,Malaysia,2026,34.720347,Population (Millions)
Local data BAU,Malaysia,2027,35.080112,Population (Millions)
Local data BAU,Malaysia,2028,35.429087,Population (Millions)
Local data BAU,Malaysia,2029,35.767388,Population (Millions)
Local data BAU,Malaysia,2030,36.095054,Population (Millions)
Local data BAU,Malaysia,2031,36.411996,Population (Millions)
Local data BAU,Malaysia,2032,36.7179,Population (Millions)
Local data BAU,Malaysia,2033,37.012445,Population (Millions)
Local data BAU,Malaysia,2034,37.295251,Population (Millions)
Local data BAU,Malaysia,2035,37.566148,Population (Millions)
Local data BAU,Malaysia,2036,37.825112,Population (Millions)
Local data BAU,Malaysia,2037,38.072527,Population (Millions)
Local data BAU,Malaysia,2038,38.30922,Population (Millions)
Local data BAU,Malaysia,2039,38.536264,Population (Millions)
Local data BAU,Malaysia,2040,38.754574,Population (Millions)
Local data BAU,Malaysia,2041,38.964542,Population (Millions)
Local data BAU,Malaysia,2042,39.166396,Population (Millions)
Local data BAU,Malaysia,2043,39.360773,Population (Millions)
Local data BAU,Malaysia,2044,39.548354,Population (Millions)
Local data BAU,Malaysia,2045,39.729699,Population (Millions)
Local data BAU,Malaysia,2046,39.905062,Population (Millions)
Local data BAU,Malaysia,2047,40.074631,Population (Millions)
Local data BAU,Malaysia,2048,40.23861,Population (Millions)
Local data BAU,Malaysia,2049,40.397168,Population (Millions)
Local data BAU,Malaysia,2050,40.550365,Population (Millions)
Local data BAU,Malaysia,2051,40.698294,Population (Millions)
Local data BAU,Malaysia,2052,40.8408,Population (Millions)
Local data BAU,Malaysia,2053,40.977445,Population (Millions)
Local data BAU,Malaysia,2054,41.107613,Population (Millions)
Local data BAU,Malaysia,2055,41.230759,Population (Millions)
