scenario,region,year,value,param
Local data BAU,Malaysia,1971,13.46117727,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1972,14.72409024,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1973,16.44890346,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1974,17.81574093,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1975,17.95857321,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1976,20.03526721,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1977,21.58930033,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1978,23.02542893,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1979,25.17809354,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1980,27.86999816,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1981,29.80476182,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1982,31.57610409,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1983,33.55031437,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1984,36.15441871,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1985,35.78374633,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1986,36.22767706,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1987,38.1085956,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1988,41.89572007,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1989,45.69130616,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1990,49.80742192,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1991,54.56177259,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1992,59.4096496,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1993,65.28820234,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1994,71.30257805,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1995,78.3109724,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1996,86.1441805,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1997,92.45229572,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1998,85.64834648,GDP (Billion 1990 USD)
Local data BAU,Malaysia,1999,90.90510909,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2000,98.95826884,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2001,99.47055694,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2002,104.8329937,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2003,110.901247,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2004,118.4241687,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2005,124.7387038,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2006,131.7051686,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2007,140.0010052,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2008,146.7655241,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2009,144.5441842,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2010,155.2763696,GDP (Billion 1990 USD)
Local data BAU,Malaysia,2011,163.4965788,GDP (Billion 1990 USD)
