Units,scenario,region,sector,input,year,value
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,1990,0.00112723
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2005,0.00426633
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2010,0.0065826
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2015,0.00812273
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2020,0.00889832
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2025,0.0100632
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2030,0.0112985
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2035,0.0124527
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2040,0.0134381
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2045,0.0140988
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2050,0.0144246
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2055,0.0145152
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2060,0.0143699
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2065,0.0140495
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2070,0.0136261
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2075,0.0131136
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2080,0.0125185
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2085,0.0119441
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2090,0.0113605
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2095,0.0107771
EJ,Ref_cities,KualaLumpur,comm cooling,electricity,2100,0.0103061
EJ,Ref_cities,KualaLumpur,comm others,electricity,1990,0.00233326
EJ,Ref_cities,KualaLumpur,comm others,electricity,2005,0.00883099
EJ,Ref_cities,KualaLumpur,comm others,electricity,2010,0.0136256
EJ,Ref_cities,KualaLumpur,comm others,electricity,2015,0.0168135
EJ,Ref_cities,KualaLumpur,comm others,electricity,2020,0.0205821
EJ,Ref_cities,KualaLumpur,comm others,electricity,2025,0.0249665
EJ,Ref_cities,KualaLumpur,comm others,electricity,2030,0.0301576
EJ,Ref_cities,KualaLumpur,comm others,electricity,2035,0.035585
EJ,Ref_cities,KualaLumpur,comm others,electricity,2040,0.0407675
EJ,Ref_cities,KualaLumpur,comm others,electricity,2045,0.0452607
EJ,Ref_cities,KualaLumpur,comm others,electricity,2050,0.048803
EJ,Ref_cities,KualaLumpur,comm others,electricity,2055,0.0516836
EJ,Ref_cities,KualaLumpur,comm others,electricity,2060,0.0538789
EJ,Ref_cities,KualaLumpur,comm others,electricity,2065,0.0553372
EJ,Ref_cities,KualaLumpur,comm others,electricity,2070,0.0563459
EJ,Ref_cities,KualaLumpur,comm others,electricity,2075,0.0567748
EJ,Ref_cities,KualaLumpur,comm others,electricity,2080,0.0566674
EJ,Ref_cities,KualaLumpur,comm others,electricity,2085,0.0564735
EJ,Ref_cities,KualaLumpur,comm others,electricity,2090,0.0561031
EJ,Ref_cities,KualaLumpur,comm others,electricity,2095,0.0555833
EJ,Ref_cities,KualaLumpur,comm others,electricity,2100,0.0551938
EJ,Ref_cities,KualaLumpur,comm others,gas,1990,3.20995e-05
EJ,Ref_cities,KualaLumpur,comm others,gas,2005,0.0001539
EJ,Ref_cities,KualaLumpur,comm others,gas,2010,0.0002004
EJ,Ref_cities,KualaLumpur,comm others,gas,2015,0.0001608
EJ,Ref_cities,KualaLumpur,comm others,gas,2020,0.000163064
EJ,Ref_cities,KualaLumpur,comm others,gas,2025,0.000182081
EJ,Ref_cities,KualaLumpur,comm others,gas,2030,0.000195625
EJ,Ref_cities,KualaLumpur,comm others,gas,2035,0.000201573
EJ,Ref_cities,KualaLumpur,comm others,gas,2040,0.000204605
EJ,Ref_cities,KualaLumpur,comm others,gas,2045,0.000208436
EJ,Ref_cities,KualaLumpur,comm others,gas,2050,0.000216639
EJ,Ref_cities,KualaLumpur,comm others,gas,2055,0.000224261
EJ,Ref_cities,KualaLumpur,comm others,gas,2060,0.000223823
EJ,Ref_cities,KualaLumpur,comm others,gas,2065,0.000222842
EJ,Ref_cities,KualaLumpur,comm others,gas,2070,0.000210685
EJ,Ref_cities,KualaLumpur,comm others,gas,2075,0.00020488
EJ,Ref_cities,KualaLumpur,comm others,gas,2080,0.000216797
EJ,Ref_cities,KualaLumpur,comm others,gas,2085,0.000219441
EJ,Ref_cities,KualaLumpur,comm others,gas,2090,0.000211934
EJ,Ref_cities,KualaLumpur,comm others,gas,2095,0.000196961
EJ,Ref_cities,KualaLumpur,comm others,gas,2100,0.00017892
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,1990,0.00160498
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2005,0.00505859
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2010,0.00832469
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2015,0.00523861
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2020,0.00421355
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2025,0.00432503
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2030,0.00409416
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2035,0.00379077
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2040,0.0035171
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2045,0.00324714
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2050,0.00314059
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2055,0.00298214
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2060,0.00269328
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2065,0.00246256
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2070,0.00213455
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2075,0.00190114
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2080,0.00185825
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2085,0.00176112
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2090,0.00162155
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2095,0.00144029
EJ,Ref_cities,KualaLumpur,comm others,refined liquids,2100,0.0012548
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,1975,0.00301542
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,1990,0.0047533
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2005,0.0054608
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2010,0.0018715
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2015,4.77e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2020,5.22514e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2025,5.6438e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2030,5.8258e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2035,5.91649e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2040,5.83205e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2045,5.79524e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2050,5.96485e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2055,6.08599e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2060,6.07295e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2065,6.09298e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2070,5.98199e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2075,5.90884e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2080,6.06669e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2085,6.19491e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2090,6.31736e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2095,6.39951e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,biomass,2100,6.47571e-05
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,1990,0.0003348
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2005,0.0002757
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2010,0.0029483
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2015,0.0026346
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2020,0.00272134
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2025,0.00290304
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2030,0.00292331
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2035,0.00295022
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2040,0.00301013
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2045,0.00308454
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2050,0.00326648
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2055,0.00340341
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2060,0.00342771
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2065,0.00345546
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2070,0.00339308
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2075,0.00335793
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2080,0.00348719
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2085,0.00358221
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2090,0.00367123
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2095,0.00371743
EJ,Ref_cities,KualaLumpur,industrial energy use,coal,2100,0.00376505
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,1975,0.00132851
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,1990,0.0049056
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2005,0.0189849
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2010,0.0291044
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2015,0.0342795
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2020,0.0436606
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2025,0.0497415
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2030,0.0582318
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2035,0.0676897
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2040,0.0764887
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2045,0.0829905
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2050,0.0859734
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2055,0.0884974
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2060,0.0924282
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2065,0.0947719
EJ,Ref_cities,KualaLumpur,industrial energy use,electricity,2070,0.0995619
