"","year","region","value"
"1",1970,"Thailand",0.00638393795793205
"2",1970,"Bangkok",0.0206996915994333
"3",1970,"Nonthaburi",0.00598112926825681
"4",1970,"Samut Prakan",0.0208309184309072
"5",1970,"Rest of Thailand",0.00463325058596127
"6",1971,"Thailand",0.00647122501830126
"7",1971,"Bangkok",0.0209827167857947
"8",1971,"Nonthaburi",0.00606290875843273
"9",1971,"Samut Prakan",0.021115737870978
"10",1971,"Rest of Thailand",0.00469660064140784
"11",1972,"Thailand",0.00699404689944215
"12",1972,"Bangkok",0.0226779481261315
"13",1972,"Nonthaburi",0.00655274203625955
"14",1972,"Samut Prakan",0.0228217162234787
"15",1972,"Rest of Thailand",0.0050760474347683
"16",1973,"Thailand",0.00904069466938604
"17",1973,"Bangkok",0.0293141306720267
"18",1973,"Nonthaburi",0.0084702520370286
"19",1973,"Samut Prakan",0.0294999692130033
"20",1973,"Rest of Thailand",0.00656143655380988
"21",1974,"Thailand",0.0111545287768253
"22",1974,"Bangkok",0.0361681625258276
"23",1974,"Nonthaburi",0.0104507091046815
"24",1974,"Samut Prakan",0.0363974525780828
"25",1974,"Rest of Thailand",0.00809558728983774
"26",1975,"Thailand",0.0118297993341001
"27",1975,"Bangkok",0.038357703272288
"28",1975,"Nonthaburi",0.0110833719721348
"29",1975,"Samut Prakan",0.0386008740383288
"30",1975,"Rest of Thailand",0.0085856762797047
"31",1976,"Thailand",0.0131905962212332
"32",1976,"Bangkok",0.0427700387427675
"33",1976,"Nonthaburi",0.0123583063689629
"34",1976,"Samut Prakan",0.043041181751796
"35",1976,"Rest of Thailand",0.00957329755927084
"36",1977,"Thailand",0.015015283806409
"37",1977,"Bangkok",0.0486865232899774
"38",1977,"Nonthaburi",0.0140678612539002
"39",1977,"Samut Prakan",0.0489951741776555
"40",1977,"Rest of Thailand",0.0108975953326706
"41",1978,"Thailand",0.0178238129885563
"42",1978,"Bangkok",0.0577930791966221
"43",1978,"Nonthaburi",0.0166991800735362
"44",1978,"Samut Prakan",0.0581594615954935
"45",1978,"Rest of Thailand",0.0129359327295285
"46",1979,"Thailand",0.0198852158414046
"47",1979,"Bangkok",0.0644771045736441
"48",1979,"Nonthaburi",0.0186305141526087
"49",1979,"Samut Prakan",0.0648858607183998
"50",1979,"Rest of Thailand",0.014432030598712
"51",1980,"Thailand",0.023009543091025
"52",1980,"Bangkok",0.0746076244735893
"53",1980,"Nonthaburi",0.0215577050619593
"54",1980,"Samut Prakan",0.0750806036054976
"55",1980,"Rest of Thailand",0.0166995637663945
"56",1981,"Thailand",0.0242713151411687
"57",1981,"Bangkok",0.0786988754348097
"58",1981,"Nonthaburi",0.0227398628129766
"59",1981,"Samut Prakan",0.0791977912768293
"60",1981,"Rest of Thailand",0.0176153161012702
"61",1982,"Thailand",0.0249709599239297
"62",1982,"Bangkok",0.0809674487398352
"63",1982,"Nonthaburi",0.0233953619602318
"64",1982,"Samut Prakan",0.0814807463268848
"65",1982,"Rest of Thailand",0.018123095096156
"66",1983,"Thailand",0.0267863438646761
"67",1983,"Bangkok",0.0868537665511359
"68",1983,"Nonthaburi",0.025096200234769
"69",1983,"Samut Prakan",0.0874043807731564
