region,year,value,units,source
KualaLumpur,1975,3.927,billion (1990 USD),GCAM output
KualaLumpur,1990,10.5787,billion (1990 USD),GCAM output
KualaLumpur,2005,15.1201,billion (1990 USD),GCAM output
KualaLumpur,2010,21.3492,billion (1990 USD),GCAM output
KualaLumpur,2015,26.1303,billion (1990 USD),GCAM output
KualaLumpur,2020,31.0632,billion (1990 USD),GCAM output
KualaLumpur,2025,33.799,billion (1990 USD),GCAM output
KualaLumpur,2030,37.3895,billion (1990 USD),GCAM output
KualaLumpur,2035,40.493,billion (1990 USD),GCAM output
KualaLumpur,2040,43.3829,billion (1990 USD),GCAM output
KualaLumpur,2045,45.7665,billion (1990 USD),GCAM output
KualaLumpur,2050,47.6996,billion (1990 USD),GCAM output
KualaLumpur,2055,49.616,billion (1990 USD),GCAM output
KualaLumpur,2060,51.0517,billion (1990 USD),GCAM output
KualaLumpur,2065,52.7248,billion (1990 USD),GCAM output
KualaLumpur,2070,54.1675,billion (1990 USD),GCAM output
KualaLumpur,2075,55.3609,billion (1990 USD),GCAM output
KualaLumpur,2080,56.561,billion (1990 USD),GCAM output
KualaLumpur,2085,57.4957,billion (1990 USD),GCAM output
KualaLumpur,2090,58.4581,billion (1990 USD),GCAM output
KualaLumpur,2095,59.1824,billion (1990 USD),GCAM output
KualaLumpur,2100,59.9267,billion (1990 USD),GCAM output
Malaysia,1975,19.456,billion (1990 USD),GCAM output
Malaysia,1990,53.9585,billion (1990 USD),GCAM output
Malaysia,2005,135.13,billion (1990 USD),GCAM output
Malaysia,2010,168.21,billion (1990 USD),GCAM output
Malaysia,2015,217.747,billion (1990 USD),GCAM output
Malaysia,2020,318.037,billion (1990 USD),GCAM output
Malaysia,2025,371.769,billion (1990 USD),GCAM output
Malaysia,2030,438.016,billion (1990 USD),GCAM output
Malaysia,2035,515.092,billion (1990 USD),GCAM output
Malaysia,2040,598.094,billion (1990 USD),GCAM output
Malaysia,2045,680.981,billion (1990 USD),GCAM output
Malaysia,2050,759.808,billion (1990 USD),GCAM output
Malaysia,2055,832.439,billion (1990 USD),GCAM output
Malaysia,2060,898.807,billion (1990 USD),GCAM output
Malaysia,2065,959.568,billion (1990 USD),GCAM output
Malaysia,2070,1015.55,billion (1990 USD),GCAM output
Malaysia,2075,1068.83,billion (1990 USD),GCAM output
Malaysia,2080,1123.91,billion (1990 USD),GCAM output
Malaysia,2085,1183.51,billion (1990 USD),GCAM output
Malaysia,2090,1247.66,billion (1990 USD),GCAM output
Malaysia,2095,1315.15,billion (1990 USD),GCAM output
Malaysia,2100,1385.22,billion (1990 USD),GCAM output
Rest of Malaysia,1975,15.529,billion (1990 USD),GCAM output
Rest of Malaysia,1990,43.3828,billion (1990 USD),GCAM output
Rest of Malaysia,2005,120.01,billion (1990 USD),GCAM output
Rest of Malaysia,2010,146.864,billion (1990 USD),GCAM output
Rest of Malaysia,2015,191.61,billion (1990 USD),GCAM output
Rest of Malaysia,2020,286.97,billion (1990 USD),GCAM output
Rest of Malaysia,2025,337.962,billion (1990 USD),GCAM output
Rest of Malaysia,2030,400.62,billion (1990 USD),GCAM output
Rest of Malaysia,2035,474.589,billion (1990 USD),GCAM output
Rest of Malaysia,2040,554.705,billion (1990 USD),GCAM output
Rest of Malaysia,2045,635.19,billion (1990 USD),GCAM output
Rest of Malaysia,2050,712.1,billion (1990 USD),GCAM output
Rest of Malaysia,2055,782.788,billion (1990 USD),GCAM output
Rest of Malaysia,2060,847.735,billion (1990 USD),GCAM output
Rest of Malaysia,2065,906.826,billion (1990 USD),GCAM output
Rest of Malaysia,2070,961.347,billion (1990 USD),GCAM output
Rest of Malaysia,2075,1013.44,billion (1990 USD),GCAM output
Rest of Malaysia,2080,1067.28,billion (1990 USD),GCAM output
Rest of Malaysia,2085,1125.96,billion (1990 USD),GCAM output
Rest of Malaysia,2090,1189.13,billion (1990 USD),GCAM output
Rest of Malaysia,2095,1255.9,billion (1990 USD),GCAM output
Rest of Malaysia,2100,1325.24,billion (1990 USD),GCAM output
