"","region","year","value"
"1","Thailand",2010,268744450830
"2","Thailand",2011,281146242555
"3","Thailand",2012,307265358560
"4","Thailand",2013,321135428535
"5","Thailand",2014,328971558690
"6","Thailand",2015,341731580470
"7","Thailand",2016,362788729505
"8","Thailand",2017,385125630360
"9","Thailand",2018,407007999015
"10","Thailand",2019,420170908390
"11","Bangkok",2010,77174345910
"12","Bangkok",2011,83354317875
"13","Bangkok",2012,91007292440
"14","Bangkok",2013,98367257845
"15","Bangkok",2014,104539372470
"16","Bangkok",2015,111091299970
"17","Bangkok",2016,118881206090
"18","Bangkok",2017,126105060485
"19","Bangkok",2018,134512165635
"20","Bangkok",2019,141977658100
"21","Samut Prakan",2010,16466821385
"22","Samut Prakan",2011,14973653270
"23","Samut Prakan",2012,17437874230
"24","Samut Prakan",2013,16307958900
"25","Samut Prakan",2014,16560164595
"26","Samut Prakan",2015,17094016145
"27","Samut Prakan",2016,17477235525
"28","Samut Prakan",2017,18142772115
"29","Samut Prakan",2018,19686814020
"30","Samut Prakan",2019,19208162770
"31","Nonthaburi",2010,4411374245
"32","Nonthaburi",2011,4390960080
"33","Nonthaburi",2012,4948284190
"34","Nonthaburi",2013,5516126195
"35","Nonthaburi",2014,6299199640
"36","Nonthaburi",2015,6771634640
"37","Nonthaburi",2016,7197845605
"38","Nonthaburi",2017,7885636370
"39","Nonthaburi",2018,8119441965
"40","Nonthaburi",2019,8588644515
