"","region","year","value","param"
"1","Thailand",2010,268744450830,"GDP"
"2","Thailand",2011,281146242555,"GDP"
"3","Thailand",2012,307265358560,"GDP"
"4","Thailand",2013,321135428535,"GDP"
"5","Thailand",2014,328971558690,"GDP"
"6","Thailand",2015,341731580470,"GDP"
"7","Thailand",2016,362788729505,"GDP"
"8","Thailand",2017,385125630360,"GDP"
"9","Thailand",2018,407007999015,"GDP"
"10","Thailand",2019,420170908390,"GDP"
"11","Thailand",2020,436557573817.21,"GDP"
"12","Thailand",2021,453146761622.264,"GDP"
"13","Thailand",2022,470819485325.532,"GDP"
"14","Thailand",2023,488710625767.902,"GDP"
"15","Thailand",2024,507770340172.851,"GDP"
"16","Thailand",2025,527065613099.419,"GDP"
"17","Thailand",2026,546567040784.097,"GDP"
"18","Thailand",2027,567336588333.893,"GDP"
"19","Thailand",2028,588328042102.247,"GDP"
"20","Thailand",2029,610096179660.03,"GDP"
"21","Thailand",2030,632669738307.451,"GDP"
"22","Thailand",2031,656078518624.827,"GDP"
"23","Thailand",2032,680353423813.945,"GDP"
"24","Thailand",2033,705526500495.061,"GDP"
"25","Thailand",2034,730925454512.884,"GDP"
"26","Thailand",2035,757238770875.348,"GDP"
"27","Thailand",2036,784499366626.86,"GDP"
"28","Thailand",2037,812741343825.427,"GDP"
"29","Thailand",2038,842000032203.143,"GDP"
"30","Thailand",2039,872312033362.456,"GDP"
"31","Thailand",2040,903715266563.504,"GDP"
"32","Thailand",2041,936249016159.79,"GDP"
"33","Thailand",2042,969953980741.543,"GDP"
"34","Thailand",2043,1004872324048.24,"GDP"
"35","Thailand",2044,1041047727713.97,"GDP"
"36","Thailand",2045,1078525445911.68,"GDP"
"37","Thailand",2046,1117352361964.5,"GDP"
"38","Thailand",2047,1157577046995.22,"GDP"
"39","Thailand",2048,1199249820687.05,"GDP"
"40","Thailand",2049,1242422814231.78,"GDP"
"41","Thailand",2050,1287150035544.13,"GDP"
"42","Thailand",2051,1333487436823.72,"GDP"
"43","Thailand",2052,1381492984549.37,"GDP"
"44","Thailand",2053,1431226731993.15,"GDP"
"45","Thailand",2054,1482750894344.9,"GDP"
"46","Thailand",2055,1536129926541.32,"GDP"
"47","Thailand",2056,1591430603896.8,"GDP"
"48","Thailand",2057,1648722105637.09,"GDP"
"49","Thailand",2058,1708076101440.02,"GDP"
"50","Thailand",2059,1769566841091.86,"GDP"
"51","Thailand",2060,1833271247371.17,"GDP"
"52","Thailand",2061,1899269012276.53,"GDP"
"53","Thailand",2062,1967642696718.49,"GDP"
"54","Thailand",2063,2038477833800.36,"GDP"
"55","Thailand",2064,2111863035817.17,"GDP"
"56","Thailand",2065,2187890105106.59,"GDP"
"57","Thailand",2066,2266654148890.42,"GDP"
"58","Thailand",2067,2348253698250.48,"GDP"
"59","Thailand",2068,2432790831387.5,"GDP"
"60","Thailand",2069,2520371301317.45,"GDP"
