year,region,value
1970,Thailand,28611152468.168194
1970,Bangkok,8216158401.197684
1970,Samut Prakan,1753095685.723959
1970,Nonthaburi,469645050.262582
1970,Rest of Thailand,18172253330.98397
1971,Thailand,28336807243.127354
1971,Bangkok,8137375701.757123
1971,Samut Prakan,1736285687.2119048
1971,Nonthaburi,465141740.6826218
1971,Rest of Thailand,17998004113.475704
1972,Thailand,30117192900.206738
1972,Bangkok,8648642439.091776
1972,Samut Prakan,1845375540.1223462
1972,Nonthaburi,494366334.56558746
1972,Rest of Thailand,19128808586.42703
1973,Thailand,37856246872.75331
1973,Bangkok,10871037827.904013
1973,Samut Prakan,2319571822.3570724
1973,Nonthaburi,621401007.3549906
1973,Rest of Thailand,24044236215.137234
1974,Thailand,43915674764.08877
1974,Bangkok,12611101232.59338
1974,Samut Prakan,2690852109.1639085
1974,Nonthaburi,720865029.9858458
1974,Rest of Thailand,27892856392.34563
1975,Thailand,43654035868.89895
1975,Bangkok,12535967362.708706
1975,Samut Prakan,2674820667.617289
1975,Nonthaburi,716570291.6938885
1975,Rest of Thailand,27726677546.879063
1976,Thailand,47227748478.01736
1976,Bangkok,13562217140.991552
1976,Samut Prakan,2893793327.457996
1976,Nonthaburi,775231907.6424507
1976,Rest of Thailand,29996506101.925354
1977,Thailand,51784819805.26427
1977,Bangkok,14870854390.465271
1977,Samut Prakan,3173019482.0919695
1977,Nonthaburi,850035115.7591517
1977,Rest of Thailand,32890910816.947872
1978,Thailand,58728694684.69401
1978,Bangkok,16864901152.159554
1978,Samut Prakan,3598492629.5605597
1978,Nonthaburi,964017118.7698697
1978,Rest of Thailand,37301283784.204025
1979,Thailand,61854956400.70269
1979,Bangkok,17762658119.164104
1979,Samut Prakan,3790048559.8180485
1979,Nonthaburi,1015333938.0550206
1979,Rest of Thailand,39286915783.66552
1980,Thailand,67064657493.64031
1980,Bangkok,19258708634.7835
1980,Samut Prakan,4109263401.656437
1980,Nonthaburi,1100849903.7040045
1980,Rest of Thailand,42595835553.49637
1981,Thailand,66063968879.01187
1981,Bangkok,18971344601.572685
1981,Samut Prakan,4047948049.3647046
1981,Nonthaburi,1084423845.5353503
1981,Rest of Thailand,41960252382.53913
1982,Thailand,65317724146.51108
1982,Bangkok,18757048273.065567
1982,Samut Prakan,4002223277.442397
1982,Nonthaburi,1072174421.28397
1982,Rest of Thailand,41486278174.71914
1983,Thailand,68766162616.13129
1983,Bangkok,19747323541.938625
1983,Samut Prakan,4213519995.052835
1983,Nonthaburi,1128779692.9588544
1983,Rest of Thailand,43676539386.18097
1984,Thailand,69319528746.98813
1984,Bangkok,19906231638.703903
1984,Samut Prakan,4247426485.8071027
1984,Nonthaburi,1137863062.2718878
1984,Rest of Thailand,44028007560.20523
1985,Thailand,62515669482.729836
1985,Bangkok,17952392641.24315
