region,year,value
Bangkok,2011,5674843
Bangkok,2012,5673560
Bangkok,2013,5686252
Bangkok,2014,5692284
Bangkok,2015,5696409
Bangkok,2016,5686646
Bangkok,2017,5682415
Bangkok,2018,5676648
Bangkok,2019,5666264
Bangkok,2020,5588222
Samutprakarn,2011,1203223
Samutprakarn,2012,1223302
Samutprakarn,2013,1241610
Samutprakarn,2014,1261530
Samutprakarn,2015,1279310
Samutprakarn,2016,1293553
Samutprakarn,2017,1310766
Samutprakarn,2018,1326608
Samutprakarn,2019,1344875
Samutprakarn,2020,1351479
Nonthaburi,2011,1122627
Nonthaburi,2012,1141673
Nonthaburi,2013,1156271
Nonthaburi,2014,1173870
Nonthaburi,2015,1193711
Nonthaburi,2016,1211924
Nonthaburi,2017,1229735
Nonthaburi,2018,1246295
Nonthaburi,2019,1265387
Nonthaburi,2020,1276745
Thailand,2011,64076033
Thailand,2012,64456695
Thailand,2013,64785909
Thailand,2014,65124716
Thailand,2015,65729098
Thailand,2016,65931550
Thailand,2017,66188503
Thailand,2018,66413979
Thailand,2019,66558935
Thailand,2020,66186727
