"year","Units","class","value","scenario","region"
1986,"EJ","coal",0.005777784,"EPPO","Thailand"
1986,"EJ","lignite",0.01339776,"EPPO","Thailand"
1986,"EJ","liquefied_petroleum_gas",0.031107924,"EPPO","Thailand"
1986,"EJ","petroleum_premium",0.02909826,"EPPO","Thailand"
1986,"EJ","petroleum_regular",0.041700528,"EPPO","Thailand"
1986,"EJ","petroleum_JP",0.04689216,"EPPO","Thailand"
1986,"EJ","kerosene",0.004898556,"EPPO","Thailand"
1986,"EJ","diesel",0.206744184,"EPPO","Thailand"
1986,"EJ","oil_fuel",0.060876072,"EPPO","Thailand"
1986,"EJ","electricity",0.078628104,"EPPO","Thailand"
1986,"EJ","natural_gas_industry_energy",0.006950088,"EPPO","Thailand"
1986,"EJ","natural_gas_industry_other",0,"EPPO","Thailand"
1987,"EJ","coal",0.008122392,"EPPO","Thailand"
1987,"EJ","lignite",0.019301148,"EPPO","Thailand"
1987,"EJ","liquefied_petroleum_gas",0.033201324,"EPPO","Thailand"
1987,"EJ","petroleum_premium",0.034708572,"EPPO","Thailand"
1987,"EJ","petroleum_regular",0.046306008,"EPPO","Thailand"
1987,"EJ","petroleum_JP",0.050995224,"EPPO","Thailand"
1987,"EJ","kerosene",0.00439614,"EPPO","Thailand"
1987,"EJ","diesel",0.231823116,"EPPO","Thailand"
1987,"EJ","oil_fuel",0.071761752,"EPPO","Thailand"
1987,"EJ","electricity",0.088802028,"EPPO","Thailand"
1987,"EJ","natural_gas_industry_energy",0.002679552,"EPPO","Thailand"
1987,"EJ","natural_gas_industry_other",0,"EPPO","Thailand"
1988,"EJ","coal",0.0094203,"EPPO","Thailand"
1988,"EJ","lignite",0.024032232,"EPPO","Thailand"
1988,"EJ","liquefied_petroleum_gas",0.036969444,"EPPO","Thailand"
1988,"EJ","petroleum_premium",0.040528224,"EPPO","Thailand"
1988,"EJ","petroleum_regular",0.05066028,"EPPO","Thailand"
1988,"EJ","petroleum_JP",0.062676396,"EPPO","Thailand"
1988,"EJ","kerosene",0.004312404,"EPPO","Thailand"
1988,"EJ","diesel",0.2627217,"EPPO","Thailand"
1988,"EJ","oil_fuel",0.075069324,"EPPO","Thailand"
1988,"EJ","electricity",0.10027386,"EPPO","Thailand"
1988,"EJ","natural_gas_industry_energy",0.003391308,"EPPO","Thailand"
1988,"EJ","natural_gas_industry_other",0,"EPPO","Thailand"
1989,"EJ","coal",0.011890512,"EPPO","Thailand"
1989,"EJ","lignite",0.032824512,"EPPO","Thailand"
1989,"EJ","liquefied_petroleum_gas",0.04144932,"EPPO","Thailand"
1989,"EJ","petroleum_premium",0.047603916,"EPPO","Thailand"
1989,"EJ","petroleum_regular",0.056019384,"EPPO","Thailand"
1989,"EJ","petroleum_JP",0.072306036,"EPPO","Thailand"
1989,"EJ","kerosene",0.004061196,"EPPO","Thailand"
1989,"EJ","diesel",0.311539788,"EPPO","Thailand"
1989,"EJ","oil_fuel",0.096128928,"EPPO","Thailand"
1989,"EJ","electricity",0.116853588,"EPPO","Thailand"
1989,"EJ","natural_gas_industry_energy",0.003600648,"EPPO","Thailand"
1989,"EJ","natural_gas_industry_other",0.000962964,"EPPO","Thailand"
1990,"EJ","coal",0.008917884,"EPPO","Thailand"
1990,"EJ","lignite",0.047478312,"EPPO","Thailand"
1990,"EJ","liquefied_petroleum_gas",0.045301176,"EPPO","Thailand"
1990,"EJ","petroleum_premium",0.054470268,"EPPO","Thailand"
1990,"EJ","petroleum_regular",0.060541128,"EPPO","Thailand"
1990,"EJ","petroleum_JP",0.078460632,"EPPO","Thailand"
1990,"EJ","kerosene",0.004228668,"EPPO","Thailand"
1990,"EJ","diesel",0.352402956,"EPPO","Thailand"
1990,"EJ","oil_fuel",0.105549228,"EPPO","Thailand"
1990,"EJ","electricity",0.136196604,"EPPO","Thailand"
1990,"EJ","natural_gas_industry_energy",0.005694048,"EPPO","Thailand"
1990,"EJ","natural_gas_industry_other",0.005149764,"EPPO","Thailand"
1991,"EJ","coal",0.012267324,"EPPO","Thailand"
1991,"EJ","lignite",0.051162696,"EPPO","Thailand"
1991,"EJ","liquefied_petroleum_gas",0.048692484,"EPPO","Thailand"
1991,"EJ","petroleum_premium",0.05882454,"EPPO","Thailand"
1991,"EJ","petroleum_regular",0.062550792,"EPPO","Thailand"
1991,"EJ","petroleum_JP",0.084447756,"EPPO","Thailand"
1991,"EJ","kerosene",0.003809988,"EPPO","Thailand"
1991,"EJ","diesel",0.356882832,"EPPO","Thailand"
1991,"EJ","oil_fuel",0.116267436,"EPPO","Thailand"
1991,"EJ","electricity",0.157716756,"EPPO","Thailand"
1991,"EJ","natural_gas_industry_energy",0.007913052,"EPPO","Thailand"
1991,"EJ","natural_gas_industry_other",0.006238332,"EPPO","Thailand"
1992,"EJ","coal",0.013104684,"EPPO","Thailand"
1992,"EJ","lignite",0.057317292,"EPPO","Thailand"
1992,"EJ","liquefied_petroleum_gas",0.054302796,"EPPO","Thailand"
1992,"EJ","petroleum_premium",0.069165936,"EPPO","Thailand"
1992,"EJ","petroleum_regular",0.066067704,"EPPO","Thailand"
1992,"EJ","petroleum_JP",0.093240036,"EPPO","Thailand"
1992,"EJ","kerosene",0.003851856,"EPPO","Thailand"
1992,"EJ","diesel",0.371076084,"EPPO","Thailand"
