final energy consumption by sector and fuel
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,resid others,electricity,0.00205589,0.00641282,0.00828851,0.0118349,0.0200976,0.0263112,0.03444,0.0435467,0.0530708,0.0614687,0.069073,0.0769263,0.0835184,0.08774,0.0901279,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,resid others,refined liquids,0.00645028,0.0157742,0.0198749,0.0224975,0.0225298,0.0239957,0.0241776,0.0236497,0.0230029,0.0225044,0.0217958,0.018985,0.0154807,0.0122845,0.00905821,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,resid others,traditional biomass,0.0335897,0.0332781,0.0381061,0.0433112,0.0368013,0.0321974,0.0268353,0.0213409,0.0170258,0.0138237,0.0112215,0.00828306,0.00574594,0.0038306,0.00236065,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,trn_aviation_intl,refined liquids,0.00657827,0.011972,0.0131337,0.0164542,0.0195545,0.021763,0.0238668,0.0255935,0.0272634,0.0286688,0.0297984,0.0311334,0.0321738,0.0329183,0.0333583,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,trn_freight,electricity,0.0,9.4001E-6,1.11995E-5,2.86E-5,3.5768E-5,4.11313E-5,4.78709E-5,5.5231E-5,6.3044E-5,7.22033E-5,8.21954E-5,9.44571E-5,1.09133E-4,1.26015E-4,1.46692E-4,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,trn_freight,refined liquids,0.0014668889999999999,5.96507E-4,6.32174E-4,9.276E-4,0.001081176,0.001251532,0.001456743,0.0016923239999999998,0.001952759,0.002272025,0.00262593,0.0030107800000000002,0.0034428,0.00394249,0.00451272,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,trn_freight_road,electricity,0.0,0.0,0.0,0.0,5.0104342E-7,2.3780846900000003E-6,9.64772957E-6,2.1907365884999997E-5,3.542533145E-5,5.2786458300000014E-5,7.60160981E-5,9.73734152E-5,1.17812134E-4,1.37897396E-4,1.60289492E-4,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,trn_freight_road,gas,0.0,0.0,0.0,0.0,4.222085E-4,0.0010357097,0.0018893706999999998,0.00312597013,0.0040889561,0.0052894978,0.006828350100000001,0.0087567979,0.0111541172,0.0140485155,0.0175742779,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,trn_freight_road,refined liquids,0.012402554,0.02580646,0.02570384,0.028464209999999997,0.03432481,0.037584138,0.039787877,0.040776527,0.043157426,0.04619264000000001,0.050064128,0.05518101300000001,0.061495981,0.068789184,0.077033135,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,trn_pass,electricity,0.0,8.5E-6,1.02E-5,2.58999E-5,5.25214E-5,9.31614E-5,1.508758E-4,2.2740089999999998E-4,3.39631E-4,4.792658E-4,6.457092E-4,7.977185E-4,9.534691E-4,0.0011042639,0.0012479249,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,trn_pass,refined liquids,6.06697E-4,0.0011554999999999998,0.0012260959999999999,0.001476299,0.0018257629999999998,0.0021094720000000003,0.002401597,0.002672868,0.002901727,0.0030881610000000003,0.003230722,0.0033518389999999997,0.003417641,0.003434453,0.003408224,0.0,0.0,EJ,
"Ref,date=2022-21-4T07:50:00-07:00",Bangkok,trn_pass_road,electricity,0.0,0.0,0.0,0.0,1.11045E-4,2.724334E-4,5.304273000000001E-4,6.348279E-4,6.55499E-4,6.20797E-4,5.927179999999999E-4,5.58692E-4,5.22572E-4,4.84139E-4,4.42239E-4,0.0,0.0,EJ,
