year,class,Units,region,value,scenario
1987,coal,KT,Thailand,9.5402,EPPO
1987,gas,KT,Thailand,8.14995,EPPO
1987,oil,KT,Thailand,32.15218,EPPO
1988,coal,KT,Thailand,9.82432,EPPO
1988,gas,KT,Thailand,9.77657,EPPO
1988,oil,KT,Thailand,36.60921,EPPO
1989,coal,KT,Thailand,11.96387,EPPO
1989,gas,KT,Thailand,10.04727,EPPO
1989,oil,KT,Thailand,43.90949,EPPO
1990,coal,KT,Thailand,16.59367,EPPO
1990,gas,KT,Thailand,9.98676,EPPO
1990,oil,KT,Thailand,53.22148,EPPO
1991,coal,KT,Thailand,19.42512,EPPO
1991,gas,KT,Thailand,12.83531,EPPO
1991,oil,KT,Thailand,56.49543,EPPO
1992,coal,KT,Thailand,20.79033,EPPO
1992,gas,KT,Thailand,13.75444,EPPO
1992,oil,KT,Thailand,62.41728,EPPO
1993,coal,KT,Thailand,23.1087,EPPO
1993,gas,KT,Thailand,15.60131,EPPO
1993,oil,KT,Thailand,70.67224,EPPO
1994,coal,KT,Thailand,26.66437,EPPO
1994,gas,KT,Thailand,17.7931,EPPO
1994,oil,KT,Thailand,78.41866,EPPO
1995,coal,KT,Thailand,30.33855,EPPO
1995,gas,KT,Thailand,18.57566,EPPO
1995,oil,KT,Thailand,88.77747,EPPO
1996,coal,KT,Thailand,36.77727,EPPO
1996,gas,KT,Thailand,21.86036,EPPO
1996,oil,KT,Thailand,96.91551,EPPO
1997,coal,KT,Thailand,38.02401,EPPO
1997,gas,KT,Thailand,27.59345,EPPO
1997,oil,KT,Thailand,95.4401,EPPO
1998,coal,KT,Thailand,30.63681,EPPO
1998,gas,KT,Thailand,29.39994,EPPO
1998,oil,KT,Thailand,85.41479,EPPO
1999,coal,KT,Thailand,32.37297,EPPO
1999,gas,KT,Thailand,32.85484,EPPO
1999,oil,KT,Thailand,84.6537,EPPO
2000,coal,KT,Thailand,33.09959,EPPO
2000,gas,KT,Thailand,38.38526,EPPO
2000,oil,KT,Thailand,79.34712,EPPO
2001,coal,KT,Thailand,36.80985,EPPO
2001,gas,KT,Thailand,41.56991,EPPO
2001,oil,KT,Thailand,75.16545,EPPO
2002,coal,KT,Thailand,39.24366,EPPO
2002,gas,KT,Thailand,45.37667,EPPO
2002,oil,KT,Thailand,78.93774,EPPO
2003,coal,KT,Thailand,39.90326,EPPO
2003,gas,KT,Thailand,48.29088,EPPO
2003,oil,KT,Thailand,83.85966,EPPO
2004,coal,KT,Thailand,44.76274,EPPO
2004,gas,KT,Thailand,50.90241,EPPO
2004,oil,KT,Thailand,91.75307,EPPO
2005,coal,KT,Thailand,48.33264,EPPO
2005,gas,KT,Thailand,53.40358,EPPO
2005,oil,KT,Thailand,90.83865,EPPO
2006,coal,KT,Thailand,51.31309,EPPO
2006,gas,KT,Thailand,54.6131,EPPO
2006,oil,KT,Thailand,87.30781,EPPO
2007,coal,KT,Thailand,57.80302,EPPO
2007,gas,KT,Thailand,58.23237,EPPO
2007,oil,KT,Thailand,84.63281,EPPO
2008,coal,KT,Thailand,62.2508,EPPO
2008,gas,KT,Thailand,62.62443,EPPO
2008,oil,KT,Thailand,78.48359,EPPO
2009,coal,KT,Thailand,62.40338,EPPO
2009,gas,KT,Thailand,66.04521,EPPO
2009,oil,KT,Thailand,79.82189,EPPO
2010,coal,KT,Thailand,65.00844,EPPO
2010,gas,KT,Thailand,75.83284,EPPO
2010,oil,KT,Thailand,80.78516,EPPO
2011,coal,KT,Thailand,65.34966,EPPO
2011,gas,KT,Thailand,74.5198,EPPO
2011,oil,KT,Thailand,84.60948,EPPO
2012,coal,KT,Thailand,68.15479,EPPO
2012,gas,KT,Thailand,82.13247,EPPO
2012,oil,KT,Thailand,90.80378,EPPO
2013,coal,KT,Thailand,67.14874,EPPO
2013,gas,KT,Thailand,83.83544,EPPO
2013,oil,KT,Thailand,91.37563,EPPO
2014,coal,KT,Thailand,73.79377,EPPO
2014,gas,KT,Thailand,85.5562,EPPO
2014,oil,KT,Thailand,91.13677,EPPO
2015,coal,KT,Thailand,72.14251,EPPO
2015,gas,KT,Thailand,87.50191,EPPO
2015,oil,KT,Thailand,94.78613,EPPO
