year,Units,region,class,value,scenario
2011,EJ,MEA area,Residential,0.03645,MEA
2011,EJ,MEA area,Business,0.060012,MEA
2011,EJ,MEA area,Industrial,0.0511884,MEA
2011,EJ,MEA area,Government and Non-Profit(1),0.0046548,MEA
2011,EJ,MEA area,Agriculture,NA,MEA
2011,EJ,MEA area,Other,0.0055476,MEA
2011,EJ,MEA area,Free of Charge,0.0012492,MEA
2012,EJ,MEA area,Residential,0.0410364,MEA
2012,EJ,MEA area,Business,0.0657792,MEA
2012,EJ,MEA area,Industrial,0.054018,MEA
2012,EJ,MEA area,Government and Non-Profit(1),0.0037764,MEA
2012,EJ,MEA area,Agriculture,NA,MEA
2012,EJ,MEA area,Other,0.0077796,MEA
2012,EJ,MEA area,Free of Charge,0.0012924,MEA
2013,EJ,MEA area,Residential,0.041112,MEA
2013,EJ,MEA area,Business,0.0694512,MEA
2013,EJ,MEA area,Industrial,0.0522756,MEA
2013,EJ,MEA area,Government and Non-Profit(1),0.000342,MEA
2013,EJ,MEA area,Agriculture,NA,MEA
2013,EJ,MEA area,Other,0.008244,MEA
2013,EJ,MEA area,Free of Charge,0.0013176,MEA
2014,EJ,MEA area,Residential,0.042102,MEA
2014,EJ,MEA area,Business,0.069642,MEA
2014,EJ,MEA area,Industrial,0.0512892,MEA
2014,EJ,MEA area,Government and Non-Profit(1),0.0003456,MEA
2014,EJ,MEA area,Agriculture,NA,MEA
2014,EJ,MEA area,Other,0.0089028,MEA
2014,EJ,MEA area,Free of Charge,0.001602,MEA
2015,EJ,MEA area,Residential,0.0445284,MEA
2015,EJ,MEA area,Business,0.0723096,MEA
2015,EJ,MEA area,Industrial,0.0505008,MEA
2015,EJ,MEA area,Government and Non-Profit(1),0.0003924,MEA
2015,EJ,MEA area,Agriculture,NA,MEA
2015,EJ,MEA area,Other,0.0099072,MEA
2015,EJ,MEA area,Free of Charge,0.00171,MEA
2016,EJ,MEA area,Residential,0.0467928,MEA
2016,EJ,MEA area,Business,0.074394,MEA
2016,EJ,MEA area,Industrial,0.050994,MEA
2016,EJ,MEA area,Government and Non-Profit(1),0.00045,MEA
2016,EJ,MEA area,Agriculture,NA,MEA
2016,EJ,MEA area,Other,0.0106164,MEA
2016,EJ,MEA area,Free of Charge,0.0018396,MEA
2017,EJ,MEA area,Residential,0.0469476,MEA
2017,EJ,MEA area,Business,0.0744264,MEA
2017,EJ,MEA area,Industrial,0.049878,MEA
2017,EJ,MEA area,Government and Non-Profit(1),0.0004716,MEA
2017,EJ,MEA area,Agriculture,NA,MEA
2017,EJ,MEA area,Other,0.0107964,MEA
2017,EJ,MEA area,Free of Charge,0.0018648,MEA
2018,EJ,MEA area,Residential,0.0472824,MEA
2018,EJ,MEA area,Business,0.0755748,MEA
2018,EJ,MEA area,Industrial,0.0493416,MEA
2018,EJ,MEA area,Government and Non-Profit(1),0.000468,MEA
2018,EJ,MEA area,Agriculture,NA,MEA
2018,EJ,MEA area,Other,0.0113256,MEA
2018,EJ,MEA area,Free of Charge,0.001908,MEA
2019,EJ,MEA area,Residential,0.0514656,MEA
2019,EJ,MEA area,Business,0.0790884,MEA
2019,EJ,MEA area,Industrial,0.047214,MEA
2019,EJ,MEA area,Government and Non-Profit(1),0.0004824,MEA
2019,EJ,MEA area,Agriculture,NA,MEA
2019,EJ,MEA area,Other,0.011844,MEA
2019,EJ,MEA area,Free of Charge,0.0019476,MEA
2020,EJ,MEA area,Residential,0.0564984,MEA
2020,EJ,MEA area,Business,0.0704664,MEA
2020,EJ,MEA area,Industrial,0.0425448,MEA
2020,EJ,MEA area,Government and Non-Profit(1),0.0004788,MEA
2020,EJ,MEA area,Agriculture,NA,MEA
2020,EJ,MEA area,Other,0.010566,MEA
2020,EJ,MEA area,Free of Charge,0.0019764,MEA
