Source: MOT https://datagov.mot.go.th/dataset/transport-ghg,,,,,
class,year,value,region,scenario,Units
road,2004,54.6009,Thailand,MOT,
road,2005,55.5565,Thailand,MOT,
road,2006,53.0936,Thailand,MOT,
road,2007,53.9074,Thailand,MOT,
road,2008,51.4361,Thailand,MOT,
road,2009,54.8142,Thailand,MOT,
road,2010,55.4283,Thailand,MOT,
road,2011,57.4044,Thailand,MOT,
road,2012,59.6141,Thailand,MOT,
road,2013,58.6461,Thailand,MOT,
road,2014,57.5682,Thailand,MOT,
road,2015,60.86326,Thailand,MOT,
road,2016,63.69772,Thailand,MOT,
rail,2004,0.3066,Thailand,MOT,
rail,2005,0.3075,Thailand,MOT,
rail,2006,0.3075,Thailand,MOT,
rail,2007,0.3075,Thailand,MOT,
rail,2008,0.2816,Thailand,MOT,
rail,2009,0.2657,Thailand,MOT,
rail,2010,0.2508,Thailand,MOT,
rail,2011,0.2365,Thailand,MOT,
rail,2012,0.2318,Thailand,MOT,
rail,2013,0.2282,Thailand,MOT,
rail,2014,0.21506,Thailand,MOT,
rail,2015,0.22324,Thailand,MOT,
rail,2016,0.19603,Thailand,MOT,
ship,2004,0.2472,Thailand,MOT,
ship,2005,0.2104,Thailand,MOT,
ship,2006,0.1969,Thailand,MOT,
ship,2007,0.1672,Thailand,MOT,
ship,2008,0.1886,Thailand,MOT,
ship,2009,0.2046,Thailand,MOT,
ship,2010,0.235,Thailand,MOT,
ship,2011,0.4419,Thailand,MOT,
ship,2012,0.4533,Thailand,MOT,
ship,2013,0.4563,Thailand,MOT,
ship,2014,0.40968,Thailand,MOT,
ship,2015,0.43887,Thailand,MOT,
ship,2016,0.45672,Thailand,MOT,
air,2004,0.8487,Thailand,MOT,
air,2005,0.6225,Thailand,MOT,
air,2006,0.7827,Thailand,MOT,
air,2007,0.8945,Thailand,MOT,
air,2008,0.9099,Thailand,MOT,
air,2009,0.9214,Thailand,MOT,
air,2010,0.9823,Thailand,MOT,
air,2011,1.0718,Thailand,MOT,
air,2012,1.2641,Thailand,MOT,
air,2013,1.3536,Thailand,MOT,
air,2014,1.67243,Thailand,MOT,
air,2015,1.99128,Thailand,MOT,
air,2016,2.31012,Thailand,MOT,
