"","year","region","value"
"1",1970,"Thailand",NA
"2",1970,"Bangkok",NA
"3",1970,"Samut Prakan",NA
"4",1970,"Nonthaburi",NA
"5",1970,"Rest of Thailand",NA
"6",1971,"Thailand",-0.958875128662042
"7",1971,"Bangkok",-0.95887512866203
"8",1971,"Samut Prakan",-0.958875128662039
"9",1971,"Nonthaburi",-0.958875128662031
"10",1971,"Rest of Thailand",-0.958875128662047
"11",1972,"Thailand",6.28294374099322
"12",1972,"Bangkok",6.28294374099322
"13",1972,"Samut Prakan",6.28294374099322
"14",1972,"Nonthaburi",6.28294374099322
"15",1972,"Rest of Thailand",6.2829437409932
"16",1973,"Thailand",25.6964651326899
"17",1973,"Bangkok",25.6964651326899
"18",1973,"Samut Prakan",25.6964651326899
"19",1973,"Nonthaburi",25.6964651326899
"20",1973,"Rest of Thailand",25.6964651326899
"21",1974,"Thailand",16.0064147713932
"22",1974,"Bangkok",16.0064147713932
"23",1974,"Samut Prakan",16.0064147713932
"24",1974,"Nonthaburi",16.0064147713932
"25",1974,"Rest of Thailand",16.0064147713932
"26",1975,"Thailand",-0.595775646384385
"27",1975,"Bangkok",-0.595775646384391
"28",1975,"Samut Prakan",-0.595775646384393
"29",1975,"Nonthaburi",-0.595775646384382
"30",1975,"Rest of Thailand",-0.595775646384372
"31",1976,"Thailand",8.18644264610705
"32",1976,"Bangkok",8.18644264610705
"33",1976,"Samut Prakan",8.18644264610705
"34",1976,"Nonthaburi",8.18644264610704
"35",1976,"Rest of Thailand",8.18644264610704
"36",1977,"Thailand",9.64913948707094
"37",1977,"Bangkok",9.64913948707094
"38",1977,"Samut Prakan",9.64913948707095
"39",1977,"Nonthaburi",9.64913948707094
"40",1977,"Rest of Thailand",9.64913948707095
"41",1978,"Thailand",13.4090934477363
"42",1978,"Bangkok",13.4090934477363
"43",1978,"Samut Prakan",13.4090934477363
"44",1978,"Nonthaburi",13.4090934477363
"45",1978,"Rest of Thailand",13.4090934477363
"46",1979,"Thailand",5.32322697242486
"47",1979,"Bangkok",5.32322697242486
"48",1979,"Samut Prakan",5.32322697242486
"49",1979,"Nonthaburi",5.32322697242485
"50",1979,"Rest of Thailand",5.32322697242488
"51",1980,"Thailand",8.42244728003468
"52",1980,"Bangkok",8.42244728003469
"53",1980,"Samut Prakan",8.42244728003468
"54",1980,"Nonthaburi",8.42244728003468
"55",1980,"Rest of Thailand",8.42244728003468
"56",1981,"Thailand",-1.49212514016542
"57",1981,"Bangkok",-1.49212514016542
"58",1981,"Samut Prakan",-1.49212514016543
"59",1981,"Nonthaburi",-1.49212514016542
"60",1981,"Rest of Thailand",-1.49212514016544
"61",1982,"Thailand",-1.12957902039982
"62",1982,"Bangkok",-1.12957902039982
"63",1982,"Samut Prakan",-1.12957902039982
"64",1982,"Nonthaburi",-1.12957902039982
"65",1982,"Rest of Thailand",-1.12957902039981
"66",1983,"Thailand",5.27948350111705
"67",1983,"Bangkok",5.27948350111705
"68",1983,"Samut Prakan",5.27948350111707
"69",1983,"Nonthaburi",5.27948350111706
"70",1983,"Rest of Thailand",5.27948350111704
"71",1984,"Thailand",0.80470700967549
"72",1984,"Bangkok",0.804707009675465
"73",1984,"Samut Prakan",0.804707009675468
"74",1984,"Nonthaburi",0.804707009675476
"75",1984,"Rest of Thailand",0.804707009675539
"76",1985,"Thailand",-9.81521280834432
"77",1985,"Bangkok",-9.81521280834431
"78",1985,"Samut Prakan",-9.81521280834431
"79",1985,"Nonthaburi",-9.81521280834432
"80",1985,"Rest of Thailand",-9.81521280834435
"81",1986,"Thailand",8.59531984529273
"82",1986,"Bangkok",8.59531984529274
"83",1986,"Samut Prakan",8.59531984529272
"84",1986,"Nonthaburi",8.59531984529272
"85",1986,"Rest of Thailand",8.59531984529271
"86",1987,"Thailand",14.3428907523812
"87",1987,"Bangkok",14.3428907523812
"88",1987,"Samut Prakan",14.3428907523812
"89",1987,"Nonthaburi",14.3428907523812
"90",1987,"Rest of Thailand",14.3428907523812
"91",1988,"Thailand",17.8991452700079
"92",1988,"Bangkok",17.8991452700078
"93",1988,"Samut Prakan",17.8991452700079
"94",1988,"Nonthaburi",17.8991452700079
"95",1988,"Rest of Thailand",17.8991452700079
"96",1989,"Thailand",12.7775273015114
"97",1989,"Bangkok",12.7775273015114
"98",1989,"Samut Prakan",12.7775273015114
"99",1989,"Nonthaburi",12.7775273015114
"100",1989,"Rest of Thailand",12.7775273015114
"101",1990,"Thailand",13.9084994517495
"102",1990,"Bangkok",13.9084994517495
"103",1990,"Samut Prakan",13.9084994517495
"104",1990,"Nonthaburi",13.9084994517495
"105",1990,"Rest of Thailand",13.9084994517494
"106",1991,"Thailand",11.3970394208342
"107",1991,"Bangkok",11.3970394208343
"108",1991,"Samut Prakan",11.3970394208343
"109",1991,"Nonthaburi",11.3970394208342
"110",1991,"Rest of Thailand",11.3970394208343
"111",1992,"Thailand",10.9268828044791
"112",1992,"Bangkok",10.9268828044791
"113",1992,"Samut Prakan",10.9268828044791
"114",1992,"Nonthaburi",10.9268828044791
"115",1992,"Rest of Thailand",10.9268828044791
"116",1993,"Thailand",12.9567596016414
"117",1993,"Bangkok",12.9567596016414
"118",1993,"Samut Prakan",12.9567596016414
"119",1993,"Nonthaburi",12.9567596016414
"120",1993,"Rest of Thailand",12.9567596016414
"121",1994,"Thailand",11.4350153330786
"122",1994,"Bangkok",11.4350153330785
"123",1994,"Samut Prakan",11.4350153330786
"124",1994,"Nonthaburi",11.4350153330786
"125",1994,"Rest of Thailand",11.4350153330785
"126",1995,"Thailand",13.0467309415413
"127",1995,"Bangkok",13.0467309415413
"128",1995,"Samut Prakan",13.0467309415413
"129",1995,"Nonthaburi",13.0467309415413
"130",1995,"Rest of Thailand",13.0467309415413
"131",1996,"Thailand",6.18782655949928
"132",1996,"Bangkok",6.18782655949927
"133",1996,"Samut Prakan",6.18782655949929
"134",1996,"Nonthaburi",6.18782655949928
"135",1996,"Rest of Thailand",6.18782655949932
"136",1997,"Thailand",-19.3305422257369
"137",1997,"Bangkok",-19.3305422257369
"138",1997,"Samut Prakan",-19.3305422257369
"139",1997,"Nonthaburi",-19.3305422257369
"140",1997,"Rest of Thailand",-19.3305422257369
"141",1998,"Thailand",-25.1203271862804
"142",1998,"Bangkok",-25.1203271862804
"143",1998,"Samut Prakan",-25.1203271862804
"144",1998,"Nonthaburi",-25.1203271862804
"145",1998,"Rest of Thailand",-25.1203271862804
"146",1999,"Thailand",9.7514119627375
"147",1999,"Bangkok",9.75141196273751
"148",1999,"Samut Prakan",9.75141196273752
"149",1999,"Nonthaburi",9.7514119627375
"150",1999,"Rest of Thailand",9.75141196273748
"151",2000,"Thailand",-2.43883191212788
"152",2000,"Bangkok",-2.4388319121279
"153",2000,"Samut Prakan",-2.43883191212791
"154",2000,"Nonthaburi",-2.43883191212789
"155",2000,"Rest of Thailand",-2.43883191212786
"156",2001,"Thailand",-6.94472355325747
"157",2001,"Bangkok",-6.94472355325746
"158",2001,"Samut Prakan",-6.94472355325746
"159",2001,"Nonthaburi",-6.94472355325745
"160",2001,"Rest of Thailand",-6.94472355325747
"161",2002,"Thailand",9.95512403693978
"162",2002,"Bangkok",9.95512403693978
"163",2002,"Samut Prakan",9.95512403693979
"164",2002,"Nonthaburi",9.95512403693976
"165",2002,"Rest of Thailand",9.95512403693976
"166",2003,"Thailand",11.1706731527318
"167",2003,"Bangkok",11.1706731527318
"168",2003,"Samut Prakan",11.1706731527318
"169",2003,"Nonthaburi",11.1706731527318
"170",2003,"Rest of Thailand",11.1706731527318
"171",2004,"Thailand",10.4990211271643
"172",2004,"Bangkok",10.4990211271643
"173",2004,"Samut Prakan",10.4990211271643
"174",2004,"Nonthaburi",10.4990211271643
"175",2004,"Rest of Thailand",10.4990211271643
"176",2005,"Thailand",6.08482327773226
"177",2005,"Bangkok",6.08482327773226
"178",2005,"Samut Prakan",6.08482327773225
"179",2005,"Nonthaburi",6.08482327773225
"180",2005,"Rest of Thailand",6.08482327773226
"181",2006,"Thailand",13.6432909846289
"182",2006,"Bangkok",13.6432909846289
"183",2006,"Samut Prakan",13.6432909846289
"184",2006,"Nonthaburi",13.6432909846289
"185",2006,"Rest of Thailand",13.6432909846289
"186",2007,"Thailand",15.4981898890348
"187",2007,"Bangkok",15.4981898890348
"188",2007,"Samut Prakan",15.4981898890348
"189",2007,"Nonthaburi",15.4981898890348
