"","year","region","value"
"1",1970,"Thailand",224541.750271506
"2",1970,"Bangkok",64480.8205459536
"3",1970,"Samut Prakan",13758.382298785
"4",1970,"Nonthaburi",3685.79775699827
"5",1970,"Rest of Thailand",142616.74966977
"6",1971,"Thailand",233681.850190983
"7",1971,"Bangkok",67105.5490962889
"8",1971,"Samut Prakan",14318.4250916697
"9",1971,"Nonthaburi",3835.83025536979
"10",1971,"Rest of Thailand",148422.045747655
"11",1972,"Thailand",259121.788037204
"12",1972,"Bangkok",74411.0415714249
"13",1972,"Samut Prakan",15877.2104405966
"14",1972,"Nonthaburi",4253.42059542191
"15",1972,"Rest of Thailand",164580.115429761
"16",1973,"Thailand",343427.951055156
"17",1973,"Bangkok",98620.9293179366
"18",1973,"Samut Prakan",21042.9153464421
"19",1973,"Nonthaburi",5637.28558345628
"20",1973,"Rest of Thailand",218126.820807321
"21",1974,"Thailand",434188.814453952
"22",1974,"Bangkok",124684.389402029
"23",1974,"Samut Prakan",26604.1201330733
"24",1974,"Nonthaburi",7127.1028950877
"25",1974,"Rest of Thailand",275773.202023762
"26",1975,"Thailand",471569.9073536
"27",1975,"Bangkok",135418.979028053
"28",1975,"Samut Prakan",28894.5777706301
"29",1975,"Nonthaburi",7740.70436651593
"30",1975,"Rest of Thailand",299515.646188401
"31",1976,"Thailand",538187.871669869
"32",1976,"Bangkok",154549.412441973
"33",1976,"Samut Prakan",32976.4708703401
"34",1976,"Nonthaburi",8834.22191127453
"35",1976,"Rest of Thailand",341827.766446282
"36",1977,"Thailand",626720.942290832
"37",1977,"Bangkok",179973.125547397
"38",1977,"Samut Prakan",38401.1717565481
"39",1977,"Nonthaburi",10287.470550872
"40",1977,"Rest of Thailand",398059.174436015
"41",1978,"Thailand",760664.368498818
"42",1978,"Bangkok",218437.161826548
"43",1978,"Samut Prakan",46608.308567187
"44",1978,"Nonthaburi",12486.1190395612
"45",1978,"Rest of Thailand",483132.779065522
"46",1979,"Thailand",867290.747630008
"47",1979,"Bangkok",249056.663143829
"48",1979,"Samut Prakan",53141.6436171199
"49",1979,"Nonthaburi",14236.3649005798
"50",1979,"Rest of Thailand",550856.075968479
"51",1980,"Thailand",1025140.59180018
"52",1980,"Bangkok",294385.816688042
"53",1980,"Samut Prakan",62813.602169464
"54",1980,"Nonthaburi",16827.4313765534
"55",1980,"Rest of Thailand",651113.741566117
"56",1981,"Thailand",1104122.43127428
"57",1981,"Bangkok",317066.738215379
"58",1981,"Samut Prakan",67653.068953846
"59",1981,"Nonthaburi",18123.8988995207
"60",1981,"Rest of Thailand",701278.725205532
"61",1982,"Thailand",1159372.42488311
"62",1982,"Bangkok",332932.673698416
"63",1982,"Samut Prakan",71038.410580321
"64",1982,"Nonthaburi",19030.8139933567
"65",1982,"Rest of Thailand",736370.526611012
"66",1983,"Thailand",1268783.95838958
"67",1983,"Bangkok",364351.977454435
"68",1983,"Samut Prakan",77742.4008362902
"69",1983,"Nonthaburi",20826.7774803265
"70",1983,"Rest of Thailand",805862.802618531
"71",1984,"Thailand",1324384.92546959
"72",1984,"Bangkok",380318.700685783
"73",1984,"Samut Prakan",81149.2477159637
"74",1984,"Nonthaburi",21739.4537176081
"75",1984,"Rest of Thailand",841177.523350236
"76",1985,"Thailand",1232594.68706018
"77",1985,"Bangkok",353959.638802675
"78",1985,"Samut Prakan",75524.9698709467
"79",1985,"Nonthaburi",20232.7394676538
"80",1985,"Rest of Thailand",782877.338918899
"81",1986,"Thailand",1365549.46959008
"82",1986,"Bangkok",392139.769948314
"83",1986,"Samut Prakan",83671.5293606027
"84",1986,"Nonthaburi",22415.1596128535
"85",1986,"Rest of Thailand",867323.010668313
"86",1987,"Thailand",1601249.46118838
"87",1987,"Bangkok",459824.86121778
"88",1987,"Samut Prakan",98113.6123509984
"89",1987,"Nonthaburi",26284.1171644316
"90",1987,"Rest of Thailand",1017026.87045517
"91",1988,"Thailand",1953966.82123996
"92",1988,"Bangkok",561113.39561919
"93",1988,"Samut Prakan",119725.719129092
"94",1988,"Nonthaburi",32073.8861181362
"95",1988,"Rest of Thailand",1241053.82037354
"96",1989,"Thailand",2289317.78388435
"97",1989,"Bangkok",657414.886170677
"98",1989,"Samut Prakan",140273.731882837
"99",1989,"Nonthaburi",37578.5899178855
"100",1989,"Rest of Thailand",1454050.57591295
"101",1990,"Thailand",2704152.54557867
"102",1990,"Bangkok",776541.444116765
"103",1990,"Samut Prakan",165691.968069713
"104",1990,"Nonthaburi",44388.0007839227
"105",1990,"Rest of Thailand",1717531.13260827
"106",1991,"Thailand",3112632.59316096
"107",1991,"Bangkok",893843.142410771
"108",1991,"Samut Prakan",190720.830850321
"109",1991,"Nonthaburi",51093.1005764418
"110",1991,"Rest of Thailand",1976975.51932342
"111",1992,"Thailand",3531463.47994313
"112",1992,"Bangkok",1014117.25275795
"113",1992,"Samut Prakan",216383.922243884
"114",1992,"Nonthaburi",57968.1068556603
"115",1992,"Rest of Thailand",2242994.19808563
"116",1993,"Thailand",4083934.90050864
"117",1993,"Bangkok",1172768.41889154
"118",1993,"Samut Prakan",250235.591272482
"119",1993,"Nonthaburi",67036.7897187083
"120",1993,"Rest of Thailand",2593894.10062591
"121",1994,"Thailand",4647749.79254482
"122",1994,"Bangkok",1334677.04760118
"123",1994,"Samut Prakan",284782.310628692
"124",1994,"Nonthaburi",76291.6728837161
"125",1994,"Rest of Thailand",2951998.76143123
"126",1995,"Thailand",5363719.29352545
"127",1995,"Bangkok",1540279.35030562
"128",1995,"Samut Prakan",328652.023485437
"129",1995,"Nonthaburi",88044.1366353469
"130",1995,"Rest of Thailand",3406743.78309905
"131",1996,"Thailand",5799587.43193445
"132",1996,"Bangkok",1665445.98493133
"133",1996,"Samut Prakan",355359.041101714
"134",1996,"Nonthaburi",95198.8052212662
"135",1996,"Rest of Thailand",3683583.60068014
"136",1997,"Thailand",4758586.28194251
"137",1997,"Bangkok",1366505.55064863
"138",1997,"Samut Prakan",291573.612433122
"139",1997,"Nonthaburi",78111.0266721391
"140",1997,"Rest of Thailand",3022396.09218862
"141",1998,"Thailand",3601900.73435452
"142",1998,"Bangkok",1034344.45752481
"143",1998,"Samut Prakan",220699.835311708
"144",1998,"Nonthaburi",59124.3171105671
"145",1998,"Rest of Thailand",2287732.12440744
"146",1999,"Thailand",4013592.70312074
"147",1999,"Bangkok",1152568.51129711
"148",1999,"Samut Prakan",245925.502648745
"149",1999,"Nonthaburi",65882.1398015274
"150",1999,"Rest of Thailand",2549216.54937336
"151",2000,"Thailand",4004815.7712845
"152",2000,"Bangkok",1150048.07237654
"153",2000,"Samut Prakan",245387.712311458
